lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0000000,0000291,0000041,0001007,0007474,0007824,0008025,0000016,001024,000,000,16384
0000000,0004671,0002344,0001167,0019848,0018776,0020619,0003411,001024,000,000,16384
0000000,0000321,0000050,0001005,0005160,0006022,0005209,0000013,001024,001,000,16384
0000000,0003680,0003196,0001108,0008045,0015399,0007995,0002433,001024,001,000,16384
0000000,0000310,0000050,0001006,0005180,0006011,0005220,0000013,001024,002,000,16384
0000000,0002820,0003277,0001085,0008616,0015590,0008707,0001643,001024,002,000,16384
0000000,0000291,0000041,0001007,0007514,0007854,0008065,0000016,001024,000,001,16384
0000000,0004695,0002494,0001166,0019747,0018735,0020528,0003406,001024,000,001,16384
0000000,0000320,0000050,0001007,0005160,0005981,0005200,0000013,001024,001,001,16384
0000000,0002854,0003286,0001089,0008295,0015589,0008285,0001672,001024,001,001,16384
0000000,0000310,0000050,0001006,0005180,0006052,0005220,0000013,001024,002,001,16384
0000000,0003634,0003076,0001117,0008275,0015399,0008256,0002383,001024,002,001,16384
0000000,0000300,0000050,0001007,0007524,0007855,0008065,0000017,001024,000,002,16384
0000000,0004741,0002575,0001170,0019907,0018796,0020679,0003479,001024,000,002,16384
0000000,0000311,0000050,0001006,0005150,0005971,0005190,0000013,001024,001,002,16384
0000000,0002860,0003236,0001085,0007825,0015539,0007905,0001684,001024,001,002,16384
0000000,0000311,0000050,0001006,0005189,0006061,0005230,0000013,001024,002,002,16384
0000000,0003589,0003065,0001120,0008406,0015369,0008406,0002344,001024,002,002,16384
