lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0010249,0000141,0000030,0001009,0007655,0009899,0009318,0000000,001024,000,000,16384
0020959,0003603,0000531,0001241,0020569,0020569,0023114,0000000,001024,000,000,16384
0009879,0000141,0000030,0001009,0007114,0009528,0008566,0000000,001024,001,000,16384
0020258,0003674,0000531,0001238,0019297,0019887,0021771,0000000,001024,001,000,16384
0009759,0000150,0000031,0001008,0006953,0009408,0008336,0000000,001024,002,000,16384
0020188,0003712,0000531,0001239,0018965,0019817,0021440,0000000,001024,002,000,16384
0010089,0000141,0000030,0001009,0007434,0009738,0009007,0000000,001024,000,001,16384
0020779,0003656,0000531,0001241,0020238,0020388,0022843,0000000,001024,000,001,16384
0009778,0000141,0000030,0001008,0007023,0009427,0008406,0000000,001024,001,001,16384
0020018,0003707,0000531,0001237,0019046,0019647,0021421,0000000,001024,001,001,16384
0009888,0000150,0000031,0001009,0007173,0009528,0008616,0000000,001024,002,001,16384
0020108,0003676,0000521,0001237,0019317,0019727,0021641,0000000,001024,002,001,16384
0009848,0000141,0000030,0001009,0007083,0009498,0008516,0000000,001024,000,002,16384
0020178,0003678,0000531,0001237,0019156,0019807,0021631,0000000,001024,000,002,16384
0010079,0000141,0000030,0001009,0007444,0009728,0008997,0000000,001024,001,002,16384
0020719,0003656,0000531,0001243,0020338,0020328,0022842,0000000,001024,001,002,16384
0009849,0000150,0000031,0001009,0007093,0009488,0008526,0000000,001024,002,002,16384
0020148,0003685,0000531,0001237,0019277,0019768,0021751,0000000,001024,002,002,16384
