lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0000000,0000380,0000050,0001007,0007714,0008727,0008306,0000018,001024,000,000,16384
0000000,0004203,0000321,0001290,0018224,0017874,0018866,0003200,001024,000,000,16384
0000000,0000381,0000050,0001007,0005430,0008176,0005611,0000015,001024,001,000,16384
0000000,0005038,0000321,0001324,0012263,0016761,0012874,0003994,001024,001,000,16384
0000000,0000481,0000040,0001007,0005320,0007635,0005370,0000061,001024,002,000,16384
0000000,0003433,0000321,0001340,0010089,0015800,0009999,0002420,001024,002,000,16384
0000000,0000371,0000041,0001016,0021050,0016462,0021882,0000120,001024,003,000,16384
0000000,0003350,0000320,0001482,0036800,0025118,0037732,0002423,001024,003,000,16384
0000000,0000361,0000051,0001005,0004719,0005440,0004939,0000013,001024,000,001,16384
0000000,0003102,0000331,0001161,0013496,0013676,0014007,0001640,001024,000,001,16384
0000000,0000381,0000050,0001006,0005891,0007154,0006232,0000015,001024,001,001,16384
0000000,0004478,0000321,0001297,0014548,0014658,0015399,0003443,001024,001,001,16384
0000000,0000481,0000041,0001006,0005390,0006732,0005450,0000055,001024,002,001,16384
0000000,0002959,0000321,0001282,0009699,0013806,0009839,0001942,001024,002,001,16384
0000000,0000390,0000041,0001014,0020609,0015109,0021340,0000111,001024,003,001,16384
0000000,0003887,0000320,0001554,0037731,0024106,0038564,0002977,001024,003,001,16384
0000000,0000371,0000050,0001006,0006492,0007194,0006923,0000016,001024,000,002,16384
0000000,0003653,0000321,0001257,0016962,0016461,0017824,0002648,001024,000,002,16384
0000000,0000441,0000050,0001006,0005110,0006583,0005159,0000013,001024,001,002,16384
0000000,0005131,0000371,0001331,0008476,0014367,0008526,0004076,001024,001,002,16384
0000000,0000380,0000041,0001013,0018876,0014347,0019627,0000103,001024,002,002,16384
0000000,0004422,0000321,0001554,0036910,0024716,0037641,0003470,001024,002,002,16384
0000000,0000390,0000041,0001013,0018885,0014357,0019628,0000104,001024,003,002,16384
0000000,0004404,0000321,0001554,0037210,0024797,0037792,0003463,001024,003,002,16384
