lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0000000,0000150,0000030,0001021,0025939,0022132,0026911,0000049,001024,000,000,16384
0000000,0001764,0000440,0001596,0043552,0043612,0044774,0000723,001024,000,000,16384
0000000,0000141,0000031,0001013,0005270,0012964,0005330,0000020,001024,001,000,16384
0000000,0001614,0000892,0001433,0021040,0036088,0021390,0000562,001024,001,000,16384
0000000,0000150,0000040,0001017,0015079,0017644,0016211,0000035,001024,002,000,16384
0000000,0001550,0000461,0001467,0032040,0040797,0033042,0000532,001024,002,000,16384
0000000,0000150,0000040,0001017,0013876,0017403,0015048,0000033,001024,003,000,16384
0000000,0001631,0000461,0001503,0031078,0040417,0032051,0000599,001024,003,000,16384
0000000,0000150,0000030,0001021,0026370,0022522,0027341,0000051,001024,000,001,16384
0000000,0001691,0000421,0001544,0044063,0044193,0045275,0000654,001024,000,001,16384
0000000,0000150,0000040,0001013,0005280,0012985,0005340,0000021,001024,001,001,16384
0000000,0001481,0001182,0001382,0021601,0036449,0021871,0000454,001024,001,001,16384
0000000,0000150,0000040,0001017,0015279,0017663,0016411,0000035,001024,002,001,16384
0000000,0001449,0000441,0001420,0032601,0041218,0033613,0000451,001024,002,001,16384
0000000,0000150,0000040,0001017,0014196,0017483,0015349,0000034,001024,003,001,16384
0000000,0001539,0000441,0001458,0031820,0040877,0032752,0000521,001024,003,001,16384
0000000,0000150,0000030,0001017,0021781,0018305,0022583,0000035,001024,000,002,16384
0000000,0002312,0000441,0001694,0038703,0037100,0039495,0001233,001024,000,002,16384
0000000,0000141,0000030,0001014,0010369,0015148,0011341,0000025,001024,001,002,16384
0000000,0003389,0000461,0001714,0028664,0035316,0030337,0002158,001024,001,002,16384
0000000,0000141,0000030,0001011,0005170,0011251,0005220,0000019,001024,002,002,16384
0000000,0003626,0000511,0001713,0014668,0032411,0015198,0002400,001024,002,002,16384
0000000,0000141,0000040,0001013,0008897,0014608,0009808,0000025,001024,003,002,16384
0000000,0003367,0000521,0001703,0025879,0035056,0027292,0002147,001024,003,002,16384
