tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00000000,00375626,020,00182315,00006902,00006771,001024,000,000,00016384
001,00000000,00376268,020,00182041,00006793,00006640,001024,000,000,00016384
002,00000000,00375898,020,00182198,00007008,00006881,001024,000,000,00016384
003,00000000,00376459,020,00182156,00006923,00006799,001024,000,000,00016384
004,00000000,00376035,020,00182177,00006706,00006593,001024,000,000,00016384
005,00000000,00375730,020,00182424,00006917,00006785,001024,000,000,00016384
006,00000000,00375651,020,00181726,00007006,00006865,001024,000,000,00016384
007,00000000,00375438,020,00182259,00007062,00006933,001024,000,000,00016384
008,00000000,00375746,020,00181942,00006775,00006643,001024,000,000,00016384
009,00000000,00376505,020,00182202,00006867,00006750,001024,000,000,00016384
010,00000000,00375855,020,00181999,00006741,00006617,001024,000,000,00016384
011,00000000,00375863,020,00181853,00006961,00006841,001024,000,000,00016384
012,00000000,00376084,020,00181966,00006952,00006828,001024,000,000,00016384
013,00000000,00376469,020,00182060,00006988,00006852,001024,000,000,00016384
014,00000000,00376349,020,00181889,00007319,00007206,001024,000,000,00016384
015,00000000,00375625,020,00182106,00007006,00006884,001024,000,000,00016384
016,00000000,00375802,020,00182068,00006979,00006850,001024,000,000,00016384
017,00000000,00375534,020,00181715,00006870,00006762,001024,000,000,00016384
018,00000000,00376351,020,00181988,00007434,00007306,001024,000,000,00016384
019,00000000,00375502,020,00182016,00006850,00006749,001024,000,000,00016384
020,00000000,00375577,020,00181999,00006952,00006820,001024,000,000,00016384
021,00000000,00375562,020,00181647,00006917,00006794,001024,000,000,00016384
022,00000000,00374946,020,00182004,00006915,00006794,001024,000,000,00016384
023,00000000,00375122,020,00182049,00006999,00006871,001024,000,000,00016384
024,00000000,00375680,020,00181814,00006908,00006794,001024,000,000,00016384
025,00000000,00374693,020,00181911,00006811,00006697,001024,000,000,00016384
026,00000000,00375784,020,00181779,00006854,00006730,001024,000,000,00016384
027,00000000,00375501,020,00181832,00006921,00006785,001024,000,000,00016384
028,00000000,00375050,020,00182092,00006844,00006727,001024,000,000,00016384
029,00000000,00375823,020,00181676,00006923,00006801,001024,000,000,00016384
030,00000000,00374909,020,00181968,00006987,00006847,001024,000,000,00016384
031,00000000,00375499,020,00181725,00006810,00006672,001024,000,000,00016384
000,00000000,00377761,020,00182807,00007058,00006936,001024,000,001,00016384
001,00000000,00376980,020,00182534,00006965,00006822,001024,000,001,00016384
002,00000000,00376602,020,00182690,00006771,00006617,001024,000,001,00016384
003,00000000,00376881,020,00182668,00007050,00006902,001024,000,001,00016384
004,00000000,00376370,020,00182619,00006980,00006836,001024,000,001,00016384
005,00000000,00376813,020,00182628,00006900,00006761,001024,000,001,00016384
006,00000000,00377190,020,00182218,00006901,00006775,001024,000,001,00016384
007,00000000,00376041,020,00182738,00006911,00006792,001024,000,001,00016384
008,00000000,00377305,020,00182727,00006962,00006824,001024,000,001,00016384
009,00000000,00377203,020,00182383,00006974,00006853,001024,000,001,00016384
010,00000000,00377534,020,00182533,00006914,00006771,001024,000,001,00016384
011,00000000,00376927,020,00182662,00006824,00006681,001024,000,001,00016384
012,00000000,00376655,020,00182539,00006932,00006784,001024,000,001,00016384
013,00000000,00377034,020,00182692,00006842,00006705,001024,000,001,00016384
014,00000000,00377397,020,00182421,00006907,00006771,001024,000,001,00016384
015,00000000,00377213,020,00182202,00007024,00006877,001024,000,001,00016384
016,00000000,00376398,020,00182292,00007017,00006887,001024,000,001,00016384
017,00000000,00376179,020,00182238,00006938,00006809,001024,000,001,00016384
018,00000000,00376749,020,00182145,00006945,00006796,001024,000,001,00016384
019,00000000,00376898,020,00182283,00006877,00006728,001024,000,001,00016384
020,00000000,00376092,020,00182448,00006962,00006836,001024,000,001,00016384
021,00000000,00376212,020,00182091,00007131,00006973,001024,000,001,00016384
022,00000000,00376257,020,00182373,00006918,00006770,001024,000,001,00016384
023,00000000,00375860,020,00182411,00006876,00006750,001024,000,001,00016384
024,00000000,00377118,020,00182328,00006811,00006670,001024,000,001,00016384
025,00000000,00376651,020,00182233,00006873,00006735,001024,000,001,00016384
026,00000000,00376415,020,00182448,00006931,00006782,001024,000,001,00016384
027,00000000,00375483,020,00182308,00006831,00006689,001024,000,001,00016384
028,00000000,00377108,020,00182315,00006957,00006816,001024,000,001,00016384
029,00000000,00376717,020,00182197,00006957,00006821,001024,000,001,00016384
030,00000000,00376509,020,00182317,00006914,00006791,001024,000,001,00016384
031,00000000,00376295,020,00182661,00006878,00006738,001024,000,001,00016384
000,00000000,00408269,020,00197796,00007523,00007342,001024,000,002,00016384
001,00000000,00408267,020,00197714,00007578,00007401,001024,000,002,00016384
002,00000000,00409444,020,00197863,00007642,00007459,001024,000,002,00016384
003,00000000,00408462,020,00197632,00007574,00007395,001024,000,002,00016384
004,00000000,00408418,020,00197834,00007593,00007425,001024,000,002,00016384
005,00000000,00408654,020,00198088,00007623,00007451,001024,000,002,00016384
006,00000000,00409207,020,00197907,00007556,00007371,001024,000,002,00016384
007,00000000,00409651,020,00197878,00007598,00007414,001024,000,002,00016384
008,00000000,00409636,020,00197750,00007713,00007519,001024,000,002,00016384
009,00000000,00409202,020,00198157,00007560,00007394,001024,000,002,00016384
010,00000000,00408758,020,00197941,00007531,00007356,001024,000,002,00016384
011,00000000,00409009,020,00197760,00007625,00007445,001024,000,002,00016384
012,00000000,00408758,020,00197631,00007578,00007403,001024,000,002,00016384
013,00000000,00407800,020,00197556,00007577,00007377,001024,000,002,00016384
014,00000000,00408563,020,00197491,00007453,00007260,001024,000,002,00016384
015,00000000,00408962,020,00197704,00007448,00007258,001024,000,002,00016384
016,00000000,00408210,020,00197787,00007519,00007329,001024,000,002,00016384
017,00000000,00407354,020,00197834,00007406,00007252,001024,000,002,00016384
018,00000000,00408628,020,00197457,00007525,00007351,001024,000,002,00016384
019,00000000,00408684,020,00197639,00007524,00007320,001024,000,002,00016384
020,00000000,00408554,020,00197985,00007526,00007351,001024,000,002,00016384
021,00000000,00407994,020,00197976,00007513,00007341,001024,000,002,00016384
022,00000000,00409108,020,00197718,00007480,00007300,001024,000,002,00016384
023,00000000,00408071,020,00198000,00007557,00007369,001024,000,002,00016384
024,00000000,00408077,020,00198027,00007499,00007295,001024,000,002,00016384
