tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00112587,00112587,020,00131413,00003620,00000000,001024,000,000,00000512
001,00112283,00112283,020,00130773,00003747,00000000,001024,000,000,00000512
002,00111808,00111808,020,00130425,00003554,00000000,001024,000,000,00000512
003,00111503,00111503,020,00129995,00003526,00000000,001024,000,000,00000512
004,00110823,00110823,020,00129554,00003614,00000000,001024,000,000,00000512
005,00110637,00110637,020,00128840,00003468,00000000,001024,000,000,00000512
006,00110257,00110257,020,00128484,00003413,00000000,001024,000,000,00000512
007,00110207,00110207,020,00127946,00003518,00000000,001024,000,000,00000512
008,00109541,00109541,020,00127220,00003625,00000000,001024,000,000,00000512
009,00109314,00109314,020,00127003,00003631,00000000,001024,000,000,00000512
010,00108717,00108717,020,00126694,00003623,00000000,001024,000,000,00000512
011,00108527,00108527,020,00126329,00003515,00000000,001024,000,000,00000512
012,00108326,00108326,020,00125979,00003632,00000000,001024,000,000,00000512
013,00108019,00108019,020,00125450,00003556,00000000,001024,000,000,00000512
014,00107650,00107650,020,00125253,00003476,00000000,001024,000,000,00000512
015,00107422,00107422,020,00125048,00003584,00000000,001024,000,000,00000512
016,00107210,00107210,020,00124412,00003679,00000000,001024,000,000,00000512
017,00106827,00106827,020,00124205,00003595,00000000,001024,000,000,00000512
018,00106820,00106820,020,00124034,00003542,00000000,001024,000,000,00000512
019,00106344,00106344,020,00123857,00003557,00000000,001024,000,000,00000512
020,00106245,00106245,020,00123245,00003473,00000000,001024,000,000,00000512
021,00105813,00105813,020,00123056,00003539,00000000,001024,000,000,00000512
022,00105728,00105728,020,00122935,00003565,00000000,001024,000,000,00000512
023,00105412,00105412,020,00122048,00003526,00000000,001024,000,000,00000512
024,00105163,00105163,020,00121993,00003522,00000000,001024,000,000,00000512
025,00104612,00104612,020,00121713,00003509,00000000,001024,000,000,00000512
026,00104750,00104750,020,00121444,00003549,00000000,001024,000,000,00000512
027,00104288,00104288,020,00121307,00003405,00000000,001024,000,000,00000512
028,00104234,00104234,020,00120799,00003472,00000000,001024,000,000,00000512
029,00103867,00103867,020,00120415,00003530,00000000,001024,000,000,00000512
030,00103625,00103625,020,00119927,00003558,00000000,001024,000,000,00000512
031,00103271,00103271,020,00119833,00003397,00000000,001024,000,000,00000512
000,00154457,00154457,020,00183016,00005329,00000000,001024,001,000,00000512
001,00152981,00152981,020,00180983,00005329,00000000,001024,001,000,00000512
002,00151593,00151593,020,00179069,00005164,00000000,001024,001,000,00000512
003,00150171,00150171,020,00177683,00005213,00000000,001024,001,000,00000512
004,00149120,00149120,020,00176055,00005163,00000000,001024,001,000,00000512
005,00147866,00147866,020,00174182,00005163,00000000,001024,001,000,00000512
006,00146608,00146608,020,00172745,00005107,00000000,001024,001,000,00000512
007,00145793,00145793,020,00171248,00005057,00000000,001024,001,000,00000512
008,00144526,00144526,020,00170002,00005174,00000000,001024,001,000,00000512
009,00143666,00143666,020,00168874,00005073,00000000,001024,001,000,00000512
010,00142714,00142714,020,00167597,00004999,00000000,001024,001,000,00000512
011,00141787,00141787,020,00167027,00005010,00000000,001024,001,000,00000512
012,00141010,00141010,020,00165117,00004985,00000000,001024,001,000,00000512
013,00140121,00140121,020,00164599,00005032,00000000,001024,001,000,00000512
014,00139310,00139310,020,00163087,00005081,00000000,001024,001,000,00000512
015,00138757,00138757,020,00161967,00005153,00000000,001024,001,000,00000512
016,00137549,00137549,020,00161356,00004896,00000000,001024,001,000,00000512
017,00136989,00136989,020,00160352,00004893,00000000,001024,001,000,00000512
018,00136270,00136270,020,00159489,00004942,00000000,001024,001,000,00000512
019,00135866,00135866,020,00158835,00004957,00000000,001024,001,000,00000512
020,00134954,00134954,020,00157550,00004945,00000000,001024,001,000,00000512
021,00134587,00134587,020,00156978,00004802,00000000,001024,001,000,00000512
