tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00120936,00120936,020,00139933,00003964,00003964,001024,000,000,00000512
001,00120321,00120321,020,00139036,00003797,00003797,001024,000,000,00000512
002,00119793,00119793,020,00139218,00003655,00003655,001024,000,000,00000512
003,00119021,00119021,020,00137950,00003879,00003879,001024,000,000,00000512
004,00118641,00118641,020,00137451,00003798,00003798,001024,000,000,00000512
005,00118113,00118113,020,00136522,00003764,00003764,001024,000,000,00000512
006,00117826,00117826,020,00136725,00003788,00003788,001024,000,000,00000512
007,00117117,00117117,020,00135397,00003772,00003772,001024,000,000,00000512
008,00117074,00117074,020,00135213,00003826,00003826,001024,000,000,00000512
009,00116485,00116485,020,00135024,00003753,00003753,001024,000,000,00000512
010,00116368,00116368,020,00134471,00003892,00003892,001024,000,000,00000512
011,00115895,00115895,020,00134360,00003858,00003858,001024,000,000,00000512
012,00115616,00115616,020,00133592,00003864,00003864,001024,000,000,00000512
013,00115513,00115513,020,00133659,00003865,00003865,001024,000,000,00000512
014,00114833,00114833,020,00132831,00003845,00003845,001024,000,000,00000512
015,00114652,00114652,020,00133039,00003795,00003795,001024,000,000,00000512
016,00114579,00114579,020,00132193,00003782,00003782,001024,000,000,00000512
017,00114092,00114092,020,00132439,00003888,00003888,001024,000,000,00000512
018,00113822,00113822,020,00131905,00003831,00003831,001024,000,000,00000512
019,00113571,00113571,020,00131604,00003824,00003824,001024,000,000,00000512
020,00113321,00113321,020,00130934,00003838,00003838,001024,000,000,00000512
021,00113028,00113028,020,00131030,00003813,00003813,001024,000,000,00000512
022,00112942,00112942,020,00130531,00003935,00003935,001024,000,000,00000512
023,00112641,00112641,020,00130399,00003826,00003826,001024,000,000,00000512
024,00112282,00112282,020,00130294,00003761,00003761,001024,000,000,00000512
025,00112398,00112398,020,00129923,00003830,00003830,001024,000,000,00000512
026,00116390,00116390,020,00134248,00003686,00003686,001024,000,000,00000512
027,00116309,00116309,020,00133987,00003612,00003612,001024,000,000,00000512
028,00115888,00115888,020,00133637,00003747,00003747,001024,000,000,00000512
029,00115684,00115684,020,00132955,00003906,00003906,001024,000,000,00000512
030,00115399,00115399,020,00132613,00003776,00003776,001024,000,000,00000512
031,00114685,00114685,020,00132183,00003760,00003760,001024,000,000,00000512
000,00162987,00162987,020,00191097,00005642,00005642,001024,001,000,00000512
001,00161725,00161725,020,00189454,00005467,00005467,001024,001,000,00000512
002,00160155,00160155,020,00187664,00005494,00005494,001024,001,000,00000512
003,00158768,00158768,020,00185810,00005351,00005351,001024,001,000,00000512
004,00157167,00157167,020,00183960,00005494,00005494,001024,001,000,00000512
005,00155852,00155852,020,00182310,00005316,00005316,001024,001,000,00000512
006,00154887,00154887,020,00181246,00005281,00005281,001024,001,000,00000512
007,00154050,00154050,020,00179811,00005503,00005503,001024,001,000,00000512
008,00152715,00152715,020,00178476,00005367,00005367,001024,001,000,00000512
009,00152152,00152152,020,00177290,00005370,00005370,001024,001,000,00000512
010,00151156,00151156,020,00176393,00005257,00005257,001024,001,000,00000512
011,00150334,00150334,020,00175199,00005256,00005256,001024,001,000,00000512
012,00149044,00149044,020,00173936,00005207,00005207,001024,001,000,00000512
013,00148395,00148395,020,00172895,00005254,00005254,001024,001,000,00000512
014,00147800,00147800,020,00171637,00005351,00005351,001024,001,000,00000512
015,00146577,00146577,020,00170595,00005220,00005220,001024,001,000,00000512
016,00146099,00146099,020,00169723,00005383,00005383,001024,001,000,00000512
017,00145214,00145214,020,00168607,00005273,00005273,001024,001,000,00000512
018,00144743,00144743,020,00168025,00005248,00005248,001024,001,000,00000512
019,00144293,00144293,020,00166894,00005225,00005225,001024,001,000,00000512
020,00143573,00143573,020,00166235,00005358,00005358,001024,001,000,00000512
