tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00054800,00054800,010,00066092,00000000,00000000,001024,000,000,00000512
001,00055500,00055500,010,00066883,00000000,00000000,001024,000,000,00000512
002,00054400,00054400,010,00065944,00000000,00000000,001024,000,000,00000512
003,00054400,00054400,010,00066105,00000000,00000000,001024,000,000,00000512
004,00055300,00055300,010,00067615,00000000,00000000,001024,000,000,00000512
005,00054900,00054900,010,00066320,00000000,00000000,001024,000,000,00000512
006,00055000,00055000,010,00066422,00000000,00000000,001024,000,000,00000512
007,00054800,00054800,010,00066534,00000000,00000000,001024,000,000,00000512
008,00054628,00054628,010,00066021,00000000,00000000,001024,000,000,00000512
009,00055733,00055733,010,00067069,00000000,00000000,001024,000,000,00000512
010,00056900,00056900,010,00068250,00000000,00000000,001024,000,000,00000512
011,00056105,00056105,010,00067749,00000000,00000000,001024,000,000,00000512
012,00055400,00055400,010,00066634,00000000,00000000,001024,000,000,00000512
013,00056800,00056800,010,00068841,00000000,00000000,001024,000,000,00000512
014,00054800,00054800,010,00065806,00000000,00000000,001024,000,000,00000512
015,00057200,00057200,010,00068915,00000000,00000000,001024,000,000,00000512
016,00057100,00057100,010,00069120,00000000,00000000,001024,000,000,00000512
017,00057500,00057500,010,00070783,00000000,00000000,001024,000,000,00000512
018,00057427,00057427,010,00069534,00000000,00000000,001024,000,000,00000512
019,00058200,00058200,010,00070134,00000000,00000000,001024,000,000,00000512
020,00057795,00057795,010,00069777,00000000,00000000,001024,000,000,00000512
021,00057034,00057034,010,00069109,00000000,00000000,001024,000,000,00000512
022,00057460,00057460,010,00068846,00000000,00000000,001024,000,000,00000512
023,00057100,00057100,010,00069328,00000000,00000000,001024,000,000,00000512
024,00058100,00058100,010,00069774,00000000,00000000,001024,000,000,00000512
025,00058226,00058226,010,00069773,00000000,00000000,001024,000,000,00000512
026,00057483,00057483,010,00069715,00000000,00000000,001024,000,000,00000512
027,00057500,00057500,010,00069065,00000000,00000000,001024,000,000,00000512
028,00057854,00057854,010,00069780,00000000,00000000,001024,000,000,00000512
029,00058201,00058201,010,00070272,00000000,00000000,001024,000,000,00000512
030,00057796,00057796,010,00070948,00000000,00000000,001024,000,000,00000512
031,00057582,00057582,010,00069721,00000000,00000000,001024,000,000,00000512
000,00149276,00149276,010,00155191,00000000,00000000,001024,001,000,00000512
001,00149195,00149195,010,00155544,00000000,00000000,001024,001,000,00000512
002,00148276,00148276,010,00153962,00000000,00000000,001024,001,000,00000512
003,00148732,00148732,010,00154676,00000000,00000000,001024,001,000,00000512
004,00148827,00148827,010,00154507,00000000,00000000,001024,001,000,00000512
005,00149119,00149119,010,00155073,00000000,00000000,001024,001,000,00000512
006,00147800,00147800,010,00153672,00000000,00000000,001024,001,000,00000512
007,00149329,00149329,010,00155090,00000000,00000000,001024,001,000,00000512
008,00148676,00148676,010,00154495,00000000,00000000,001024,001,000,00000512
009,00148405,00148405,010,00154200,00000000,00000000,001024,001,000,00000512
010,00148407,00148407,010,00154149,00000000,00000000,001024,001,000,00000512
011,00148272,00148272,010,00153928,00000000,00000000,001024,001,000,00000512
012,00148862,00148862,010,00154335,00000000,00000000,001024,001,000,00000512
013,00147269,00147269,010,00152916,00000000,00000000,001024,001,000,00000512
014,00148534,00148534,010,00155149,00000000,00000000,001024,001,000,00000512
015,00152012,00152012,010,00158041,00000000,00000000,001024,001,000,00000512
016,00152466,00152466,010,00158485,00000000,00000000,001024,001,000,00000512
017,00151812,00151812,010,00157645,00000000,00000000,001024,001,000,00000512
018,00151086,00151086,010,00157125,00000000,00000000,001024,001,000,00000512
019,00152235,00152235,010,00158229,00000000,00000000,001024,001,000,00000512
020,00150926,00150926,010,00156858,00000000,00000000,001024,001,000,00000512
021,00151689,00151689,010,00157602,00000000,00000000,001024,001,000,00000512
022,00150842,00150842,010,00156582,00000000,00000000,001024,001,000,00000512
023,00151416,00151416,010,00157290,00000000,00000000,001024,001,000,00000512
024,00151359,00151359,010,00157418,00000000,00000000,001024,001,000,00000512
025,00151013,00151013,010,00157115,00000000,00000000,001024,001,000,00000512
026,00150611,00150611,010,00156487,00000000,00000000,001024,001,000,00000512
027,00150801,00150801,010,00156885,00000000,00000000,001024,001,000,00000512
028,00148311,00148311,010,00154292,00000000,00000000,001024,001,000,00000512
029,00150562,00150562,010,00156375,00000000,00000000,001024,001,000,00000512
030,00150727,00150727,010,00156460,00000000,00000000,001024,001,000,00000512
031,00150400,00150400,010,00156085,00000000,00000000,001024,001,000,00000512
000,00095338,00095338,010,00106063,00000000,00000000,001024,002,000,00000512
001,00096500,00096500,010,00107393,00000000,00000000,001024,002,000,00000512
002,00097106,00097106,010,00108146,00000000,00000000,001024,002,000,00000512
003,00097408,00097408,010,00108301,00000000,00000000,001024,002,000,00000512
004,00096400,00096400,010,00107277,00000000,00000000,001024,002,000,00000512
005,00096400,00096400,010,00107227,00000000,00000000,001024,002,000,00000512
006,00096700,00096700,010,00107672,00000000,00000000,001024,002,000,00000512
007,00096947,00096947,010,00108151,00000000,00000000,001024,002,000,00000512
008,00096334,00096334,010,00107898,00000000,00000000,001024,002,000,00000512
009,00096155,00096155,010,00106929,00000000,00000000,001024,002,000,00000512
010,00096400,00096400,010,00107030,00000000,00000000,001024,002,000,00000512
011,00096300,00096300,010,00107162,00000000,00000000,001024,002,000,00000512
012,00096500,00096500,010,00107110,00000000,00000000,001024,002,000,00000512
013,00096500,00096500,010,00107273,00000000,00000000,001024,002,000,00000512
014,00096881,00096881,010,00108029,00000000,00000000,001024,002,000,00000512
