tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00054000,00054000,010,00060611,00000154,00000154,001024,000,000,00000512
001,00053500,00053500,010,00059829,00000150,00000150,001024,000,000,00000512
002,00052638,00052638,010,00059089,00000166,00000166,001024,000,000,00000512
003,00053200,00053200,010,00059725,00000189,00000189,001024,000,000,00000512
004,00053600,00053600,010,00060206,00000148,00000148,001024,000,000,00000512
005,00053500,00053500,010,00059836,00000191,00000191,001024,000,000,00000512
006,00053200,00053200,010,00059940,00000163,00000163,001024,000,000,00000512
007,00052900,00052900,010,00059292,00000168,00000168,001024,000,000,00000512
008,00053500,00053500,010,00060118,00000175,00000175,001024,000,000,00000512
009,00054565,00054565,010,00061151,00000177,00000177,001024,000,000,00000512
010,00053900,00053900,010,00060424,00000167,00000167,001024,000,000,00000512
011,00053200,00053200,010,00059580,00000170,00000170,001024,000,000,00000512
012,00054700,00054700,010,00061666,00000162,00000162,001024,000,000,00000512
013,00054500,00054500,010,00061127,00000182,00000182,001024,000,000,00000512
014,00055900,00055900,010,00062650,00000183,00000183,001024,000,000,00000512
015,00055984,00055984,010,00062673,00000176,00000176,001024,000,000,00000512
016,00055400,00055400,010,00062350,00000181,00000181,001024,000,000,00000512
017,00056100,00056100,010,00063025,00000183,00000183,001024,000,000,00000512
018,00055492,00055492,010,00062493,00000190,00000190,001024,000,000,00000512
019,00055400,00055400,010,00062134,00000169,00000169,001024,000,000,00000512
020,00056171,00056171,010,00063302,00000177,00000177,001024,000,000,00000512
021,00056000,00056000,010,00062689,00000189,00000189,001024,000,000,00000512
022,00056400,00056400,010,00063219,00000184,00000184,001024,000,000,00000512
023,00056500,00056500,010,00063024,00000160,00000160,001024,000,000,00000512
024,00057400,00057400,010,00064289,00000158,00000158,001024,000,000,00000512
025,00056409,00056409,010,00063633,00000168,00000168,001024,000,000,00000512
026,00056403,00056403,010,00063385,00000201,00000201,001024,000,000,00000512
027,00056600,00056600,010,00063350,00000167,00000167,001024,000,000,00000512
028,00056300,00056300,010,00063292,00000184,00000184,001024,000,000,00000512
029,00055776,00055776,010,00062711,00000183,00000183,001024,000,000,00000512
030,00056558,00056558,010,00063557,00000170,00000170,001024,000,000,00000512
031,00055400,00055400,010,00062398,00000194,00000194,001024,000,000,00000512
000,00107614,00107614,010,00111366,00001103,00001103,001024,001,000,00000512
001,00108400,00108400,010,00112026,00001142,00001142,001024,001,000,00000512
002,00108360,00108360,010,00111909,00001067,00001067,001024,001,000,00000512
003,00109346,00109346,010,00112999,00001112,00001112,001024,001,000,00000512
004,00108153,00108153,010,00111873,00001132,00001132,001024,001,000,00000512
005,00108500,00108500,010,00112015,00001115,00001115,001024,001,000,00000512
006,00108730,00108730,010,00112412,00001079,00001079,001024,001,000,00000512
007,00109353,00109353,010,00113025,00001110,00001110,001024,001,000,00000512
008,00108115,00108115,010,00111656,00001105,00001105,001024,001,000,00000512
009,00107984,00107984,010,00111624,00001086,00001086,001024,001,000,00000512
010,00109029,00109029,010,00112523,00001159,00001159,001024,001,000,00000512
011,00108700,00108700,010,00112451,00001151,00001151,001024,001,000,00000512
012,00108800,00108800,010,00112417,00001105,00001105,001024,001,000,00000512
013,00110848,00110848,010,00114522,00001101,00001101,001024,001,000,00000512
014,00108076,00108076,010,00111772,00001122,00001122,001024,001,000,00000512
015,00110900,00110900,010,00114498,00001123,00001123,001024,001,000,00000512
016,00109173,00109173,010,00112967,00001133,00001133,001024,001,000,00000512
017,00108700,00108700,010,00112301,00001086,00001086,001024,001,000,00000512
018,00110800,00110800,010,00114330,00001159,00001159,001024,001,000,00000512
019,00110396,00110396,010,00114203,00001098,00001098,001024,001,000,00000512
020,00110333,00110333,010,00113968,00001177,00001177,001024,001,000,00000512
021,00111300,00111300,010,00115102,00001162,00001162,001024,001,000,00000512
022,00110900,00110900,010,00114711,00001154,00001154,001024,001,000,00000512
023,00110800,00110800,010,00114614,00001170,00001170,001024,001,000,00000512
024,00109800,00109800,010,00113560,00001122,00001122,001024,001,000,00000512
025,00109757,00109757,010,00113319,00001143,00001143,001024,001,000,00000512
026,00110533,00110533,010,00114061,00001173,00001173,001024,001,000,00000512
027,00110400,00110400,010,00114107,00001090,00001090,001024,001,000,00000512
028,00110094,00110094,010,00113618,00001193,00001193,001024,001,000,00000512
