tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00054725,00054725,010,00054573,00000152,00000152,001024,000,000,00000512
001,00054200,00054200,010,00054054,00000146,00000146,001024,000,000,00000512
002,00054511,00054511,010,00054365,00000146,00000146,001024,000,000,00000512
003,00054082,00054082,010,00053942,00000140,00000140,001024,000,000,00000512
004,00054623,00054623,010,00054477,00000146,00000146,001024,000,000,00000512
005,00054400,00054400,010,00054248,00000152,00000152,001024,000,000,00000512
006,00054522,00054522,010,00054371,00000151,00000151,001024,000,000,00000512
007,00054347,00054347,010,00054188,00000159,00000159,001024,000,000,00000512
008,00055200,00055200,010,00055045,00000155,00000155,001024,000,000,00000512
009,00055400,00055400,010,00055254,00000146,00000146,001024,000,000,00000512
010,00055765,00055765,010,00055611,00000154,00000154,001024,000,000,00000512
011,00056400,00056400,010,00056251,00000149,00000149,001024,000,000,00000512
012,00055807,00055807,010,00055646,00000161,00000161,001024,000,000,00000512
013,00054626,00054626,010,00054453,00000173,00000173,001024,000,000,00000512
014,00056318,00056318,010,00056161,00000157,00000157,001024,000,000,00000512
015,00057100,00057100,010,00056948,00000152,00000152,001024,000,000,00000512
016,00056747,00056747,010,00056594,00000153,00000153,001024,000,000,00000512
017,00056523,00056523,010,00056369,00000154,00000154,001024,000,000,00000512
018,00056200,00056200,010,00056048,00000152,00000152,001024,000,000,00000512
019,00056663,00056663,010,00056493,00000170,00000170,001024,000,000,00000512
020,00056054,00056054,010,00055855,00000199,00000199,001024,000,000,00000512
021,00056580,00056580,010,00056432,00000148,00000148,001024,000,000,00000512
022,00056029,00056029,010,00055869,00000160,00000160,001024,000,000,00000512
023,00057000,00057000,010,00056836,00000164,00000164,001024,000,000,00000512
024,00057300,00057300,010,00057123,00000177,00000177,001024,000,000,00000512
025,00056654,00056654,010,00056493,00000161,00000161,001024,000,000,00000512
026,00056600,00056600,010,00056425,00000175,00000175,001024,000,000,00000512
027,00057200,00057200,010,00057036,00000164,00000164,001024,000,000,00000512
028,00056959,00056959,010,00056796,00000163,00000163,001024,000,000,00000512
029,00056900,00056900,010,00056745,00000155,00000155,001024,000,000,00000512
030,00056567,00056567,010,00056407,00000160,00000160,001024,000,000,00000512
031,00056640,00056640,010,00056480,00000160,00000160,001024,000,000,00000512
000,00045800,00045800,010,00045693,00000107,00000107,001024,000,001,00000512
001,00045588,00045588,010,00045491,00000097,00000097,001024,000,001,00000512
002,00045500,00045500,010,00045398,00000102,00000102,001024,000,001,00000512
003,00044592,00044592,010,00044486,00000106,00000106,001024,000,001,00000512
004,00045900,00045900,010,00045784,00000116,00000116,001024,000,001,00000512
005,00045804,00045804,010,00045697,00000107,00000107,001024,000,001,00000512
006,00045532,00045532,010,00045434,00000098,00000098,001024,000,001,00000512
007,00045400,00045400,010,00045278,00000122,00000122,001024,000,001,00000512
008,00045967,00045967,010,00045871,00000096,00000096,001024,000,001,00000512
009,00046000,00046000,010,00045891,00000109,00000109,001024,000,001,00000512
010,00045980,00045980,010,00045881,00000099,00000099,001024,000,001,00000512
011,00046500,00046500,010,00046400,00000100,00000100,001024,000,001,00000512
012,00046500,00046500,010,00046383,00000117,00000117,001024,000,001,00000512
013,00045300,00045300,010,00045195,00000105,00000105,001024,000,001,00000512
014,00045981,00045981,010,00045852,00000129,00000129,001024,000,001,00000512
015,00046100,00046100,010,00045985,00000115,00000115,001024,000,001,00000512
016,00045200,00045200,010,00045093,00000107,00000107,001024,000,001,00000512
017,00045930,00045930,010,00045823,00000107,00000107,001024,000,001,00000512
018,00045555,00045555,010,00045461,00000094,00000094,001024,000,001,00000512
019,00045678,00045678,010,00045579,00000099,00000099,001024,000,001,00000512
020,00045800,00045800,010,00045695,00000105,00000105,001024,000,001,00000512
021,00046433,00046433,010,00046331,00000102,00000102,001024,000,001,00000512
022,00046283,00046283,010,00046170,00000113,00000113,001024,000,001,00000512
023,00045800,00045800,010,00045690,00000110,00000110,001024,000,001,00000512
024,00045800,00045800,010,00045703,00000097,00000097,001024,000,001,00000512
025,00046256,00046256,010,00046144,00000112,00000112,001024,000,001,00000512
026,00046800,00046800,010,00046680,00000120,00000120,001024,000,001,00000512
027,00045400,00045400,010,00045300,00000100,00000100,001024,000,001,00000512
028,00046300,00046300,010,00046189,00000111,00000111,001024,000,001,00000512
029,00046500,00046500,010,00046381,00000119,00000119,001024,000,001,00000512
030,00045900,00045900,010,00045796,00000104,00000104,001024,000,001,00000512
031,00046402,00046402,010,00046293,00000109,00000109,001024,000,001,00000512
000,00051796,00051796,010,00051667,00000129,00000129,001024,000,002,00000512
001,00051816,00051816,010,00051677,00000139,00000139,001024,000,002,00000512
002,00051643,00051643,010,00051475,00000168,00000168,001024,000,002,00000512
003,00052100,00052100,010,00051939,00000161,00000161,001024,000,002,00000512
004,00051675,00051675,010,00051516,00000159,00000159,001024,000,002,00000512
005,00051900,00051900,010,00051751,00000149,00000149,001024,000,002,00000512
006,00051492,00051492,010,00051355,00000137,00000137,001024,000,002,00000512
007,00052200,00052200,010,00052054,00000146,00000146,001024,000,002,00000512
008,00052200,00052200,010,00052068,00000132,00000132,001024,000,002,00000512
009,00052800,00052800,010,00052673,00000127,00000127,001024,000,002,00000512
010,00053218,00053218,010,00053071,00000147,00000147,001024,000,002,00000512
011,00052200,00052200,010,00052066,00000134,00000134,001024,000,002,00000512
