tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00058989,00058989,010,00068525,00001880,00000000,001024,000,000,00000512
001,00058753,00058753,010,00068036,00001859,00000000,001024,000,000,00000512
002,00058285,00058285,010,00067341,00001843,00000000,001024,000,000,00000512
003,00058548,00058548,010,00067819,00001855,00000000,001024,000,000,00000512
004,00058315,00058315,010,00067841,00001854,00000000,001024,000,000,00000512
005,00058077,00058077,010,00067165,00001900,00000000,001024,000,000,00000512
006,00057908,00057908,010,00067076,00001854,00000000,001024,000,000,00000512
007,00057659,00057659,010,00066679,00001833,00000000,001024,000,000,00000512
008,00057557,00057557,010,00066399,00001871,00000000,001024,000,000,00000512
009,00057072,00057072,010,00066253,00001826,00000000,001024,000,000,00000512
010,00057177,00057177,010,00066203,00001823,00000000,001024,000,000,00000512
011,00057079,00057079,010,00065808,00001807,00000000,001024,000,000,00000512
012,00056830,00056830,010,00065472,00001901,00000000,001024,000,000,00000512
013,00056648,00056648,010,00065346,00001874,00000000,001024,000,000,00000512
014,00056498,00056498,010,00065221,00001877,00000000,001024,000,000,00000512
015,00056357,00056357,010,00065261,00001888,00000000,001024,000,000,00000512
016,00056212,00056212,010,00065012,00001815,00000000,001024,000,000,00000512
017,00056040,00056040,010,00064749,00001898,00000000,001024,000,000,00000512
018,00055959,00055959,010,00064697,00001885,00000000,001024,000,000,00000512
019,00055687,00055687,010,00064086,00001879,00000000,001024,000,000,00000512
020,00055735,00055735,010,00064244,00001878,00000000,001024,000,000,00000512
021,00055647,00055647,010,00063973,00001830,00000000,001024,000,000,00000512
022,00055451,00055451,010,00064078,00001828,00000000,001024,000,000,00000512
023,00055289,00055289,010,00063825,00001789,00000000,001024,000,000,00000512
024,00055232,00055232,010,00063623,00001872,00000000,001024,000,000,00000512
025,00054869,00054869,010,00063574,00001802,00000000,001024,000,000,00000512
026,00054931,00054931,010,00063476,00001780,00000000,001024,000,000,00000512
027,00054702,00054702,010,00063043,00001930,00000000,001024,000,000,00000512
028,00054760,00054760,010,00063194,00001777,00000000,001024,000,000,00000512
029,00054481,00054481,010,00062916,00001860,00000000,001024,000,000,00000512
030,00054369,00054369,010,00062658,00001831,00000000,001024,000,000,00000512
031,00054061,00054061,010,00062351,00001848,00000000,001024,000,000,00000512
000,00079920,00079920,010,00093885,00002777,00000000,001024,001,000,00000512
001,00078452,00078452,010,00091943,00002802,00000000,001024,001,000,00000512
002,00077174,00077174,010,00090369,00002667,00000000,001024,001,000,00000512
003,00078810,00078810,010,00092569,00002726,00000000,001024,001,000,00000512
004,00078107,00078107,010,00091588,00002736,00000000,001024,001,000,00000512
005,00077045,00077045,010,00090506,00002631,00000000,001024,001,000,00000512
006,00076154,00076154,010,00089307,00002632,00000000,001024,001,000,00000512
007,00075585,00075585,010,00088573,00002617,00000000,001024,001,000,00000512
008,00075010,00075010,010,00087775,00002626,00000000,001024,001,000,00000512
009,00074475,00074475,010,00086969,00002665,00000000,001024,001,000,00000512
010,00073860,00073860,010,00086344,00002604,00000000,001024,001,000,00000512
011,00073468,00073468,010,00085914,00002609,00000000,001024,001,000,00000512
012,00073107,00073107,010,00085197,00002628,00000000,001024,001,000,00000512
013,00072531,00072531,010,00085107,00002621,00000000,001024,001,000,00000512
014,00072410,00072410,010,00084297,00002529,00000000,001024,001,000,00000512
