lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0004077,0000271,0000060,0001003,0002825,0003286,0003266,0000000,001024,000,000,0512
0007033,0018510,0000451,0001460,0004148,0005070,0004990,0000000,001024,000,000,0512
0006602,0000280,0000060,0001005,0005350,0006232,0005811,0000000,001024,001,000,0512
0011551,0011903,0000521,0001987,0009287,0010550,0009989,0000000,001024,001,000,0512
0006092,0000310,0000070,0001005,0005019,0005641,0005370,0000000,001024,002,000,0512
0008316,0010622,0000501,0001966,0006452,0007384,0006743,0000000,001024,002,000,0512
0006552,0000301,0000051,0001005,0005209,0005741,0005751,0000000,001024,003,000,0512
0010049,0014149,0000521,0002013,0007063,0008306,0007664,0000000,001024,003,000,0512
0004077,0000241,0000050,0001003,0002826,0003286,0003266,0000000,001024,000,001,0512
0006712,0018840,0000451,0001458,0004178,0005050,0004910,0000000,001024,000,001,0512
0006593,0000281,0000060,0001005,0005350,0006232,0005811,0000000,001024,001,001,0512
0011652,0010875,0000521,0002014,0009518,0010671,0010029,0000000,001024,001,001,0512
0006091,0000310,0000070,0001005,0005009,0005640,0005360,0000000,001024,002,001,0512
0008416,0011052,0000501,0001949,0006452,0007444,0006783,0000000,001024,002,001,0512
0006542,0000300,0000060,0001005,0005209,0005731,0005751,0000000,001024,003,001,0512
0010019,0016401,0000511,0002008,0007294,0008326,0007985,0000000,001024,003,001,0512
0004058,0000251,0000051,0001003,0002815,0003286,0003256,0000000,001024,000,002,0512
0006983,0007687,0000451,0001477,0004148,0005099,0004970,0000000,001024,000,002,0512
0006592,0000241,0000050,0001005,0005350,0006222,0005811,0000000,001024,001,002,0512
0011401,0011419,0000511,0001949,0009238,0010509,0010028,0000000,001024,001,002,0512
0006101,0000311,0000070,0001005,0005010,0005651,0005370,0000000,001024,002,002,0512
0008105,0010870,0000511,0001895,0006582,0007284,0006873,0000000,001024,002,002,0512
0006552,0000300,0000051,0001005,0005209,0005741,0005751,0000000,001024,003,002,0512
0010330,0015092,0000511,0001953,0007504,0008426,0008135,0000000,001024,003,002,0512
