tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00065994,00065994,010,00146987,00010766,00000000,001024,000,000,00000512
001,00061052,00061052,010,00138838,00010114,00000000,001024,000,000,00000512
002,00066059,00066059,010,00151404,00010906,00000000,001024,000,000,00000512
003,00066383,00066383,010,00149311,00010723,00000000,001024,000,000,00000512
004,00061526,00061526,010,00142920,00010215,00000000,001024,000,000,00000512
005,00066815,00066815,010,00158235,00010985,00000000,001024,000,000,00000512
006,00056590,00056590,010,00138408,00009118,00000000,001024,000,000,00000512
007,00072419,00072419,010,00165262,00011844,00000000,001024,000,000,00000512
008,00054827,00054827,010,00126846,00008903,00000000,001024,000,000,00000512
009,00057697,00057697,010,00135100,00009383,00000000,001024,000,000,00000512
010,00069735,00069735,010,00167604,00011261,00000000,001024,000,000,00000512
011,00066538,00066538,010,00156601,00010766,00000000,001024,000,000,00000512
012,00064815,00064815,010,00148827,00010414,00000000,001024,000,000,00000512
013,00065723,00065723,010,00152415,00010674,00000000,001024,000,000,00000512
014,00065445,00065445,010,00155477,00010823,00000000,001024,000,000,00000512
015,00068442,00068442,010,00162379,00010994,00000000,001024,000,000,00000512
016,00068522,00068522,010,00156195,00011263,00000000,001024,000,000,00000512
017,00071155,00071155,010,00169090,00011387,00000000,001024,000,000,00000512
018,00057135,00057135,010,00130495,00009182,00000000,001024,000,000,00000512
019,00053629,00053629,010,00127279,00008799,00000000,001024,000,000,00000512
020,00064123,00064123,010,00150656,00010532,00000000,001024,000,000,00000512
021,00071200,00071200,010,00163282,00011592,00000000,001024,000,000,00000512
022,00066601,00066601,010,00154213,00010882,00000000,001024,000,000,00000512
023,00069472,00069472,010,00161796,00011415,00000000,001024,000,000,00000512
024,00069053,00069053,010,00160668,00011403,00000000,001024,000,000,00000512
025,00068196,00068196,010,00162276,00011014,00000000,001024,000,000,00000512
026,00068870,00068870,010,00155664,00011176,00000000,001024,000,000,00000512
027,00066907,00066907,010,00158882,00010814,00000000,001024,000,000,00000512
028,00061084,00061084,010,00140065,00009755,00000000,001024,000,000,00000512
029,00064625,00064625,010,00149555,00010553,00000000,001024,000,000,00000512
030,00061083,00061083,010,00143811,00010064,00000000,001024,000,000,00000512
031,00058721,00058721,010,00139167,00009434,00000000,001024,000,000,00000512
000,00032612,00032612,010,00069188,00005411,00000000,001024,001,000,00000512
001,00022622,00022622,010,00047715,00003744,00000000,001024,001,000,00000512
002,00042525,00042525,010,00094332,00006936,00000000,001024,001,000,00000512
003,00069971,00069971,010,00152494,00011609,00000000,001024,001,000,00000512
004,00034047,00034047,010,00075386,00005574,00000000,001024,001,000,00000512
005,00026509,00026509,010,00059260,00004452,00000000,001024,001,000,00000512
006,00026607,00026607,010,00060894,00004480,00000000,001024,001,000,00000512
007,00031536,00031536,010,00065234,00005231,00000000,001024,001,000,00000512
008,00037832,00037832,010,00083748,00006151,00000000,001024,001,000,00000512
009,00026973,00026973,010,00061618,00004444,00000000,001024,001,000,00000512
010,00026744,00026744,010,00056898,00004358,00000000,001024,001,000,00000512
011,00032158,00032158,010,00069977,00005310,00000000,001024,001,000,00000512
012,00034146,00034146,010,00070053,00005516,00000000,001024,001,000,00000512
013,00034005,00034005,010,00075322,00005643,00000000,001024,001,000,00000512
014,00017807,00017807,010,00040279,00002971,00000000,001024,001,000,00000512
015,00051629,00051629,010,00111009,00008535,00000000,001024,001,000,00000512
016,00038653,00038653,010,00085141,00006217,00000000,001024,001,000,00000512
017,00026273,00026273,010,00056480,00004249,00000000,001024,001,000,00000512
018,00040063,00040063,010,00088708,00006442,00000000,001024,001,000,00000512
019,00050379,00050379,010,00107885,00008179,00000000,001024,001,000,00000512
020,00034241,00034241,010,00073806,00005462,00000000,001024,001,000,00000512
021,00043602,00043602,010,00096012,00007209,00000000,001024,001,000,00000512
022,00033734,00033734,010,00074694,00005582,00000000,001024,001,000,00000512
023,00047429,00047429,010,00104894,00007764,00000000,001024,001,000,00000512
024,00048750,00048750,010,00108670,00008011,00000000,001024,001,000,00000512
025,00035625,00035625,010,00078839,00005852,00000000,001024,001,000,00000512
026,00032480,00032480,010,00072995,00005295,00000000,001024,001,000,00000512
027,00037903,00037903,010,00082650,00006149,00000000,001024,001,000,00000512
028,00048008,00048008,010,00101798,00007754,00000000,001024,001,000,00000512
029,00038734,00038734,010,00082499,00006354,00000000,001024,001,000,00000512
030,00046606,00046606,010,00102829,00007635,00000000,001024,001,000,00000512
031,00040786,00040786,010,00089842,00006683,00000000,001024,001,000,00000512
000,00024603,00024603,010,00054194,00004078,00000000,001024,002,000,00000512
001,00052442,00052442,010,00119862,00008541,00000000,001024,002,000,00000512
002,00024405,00024405,010,00053268,00003942,00000000,001024,002,000,00000512
003,00025597,00025597,010,00060306,00004051,00000000,001024,002,000,00000512
004,00045559,00045559,010,00100959,00007399,00000000,001024,002,000,00000512
005,00067735,00067735,010,00152423,00011082,00000000,001024,002,000,00000512
006,00044113,00044113,010,00094920,00007267,00000000,001024,002,000,00000512
007,00061889,00061889,010,00136846,00010052,00000000,001024,002,000,00000512
008,00023120,00023120,010,00049443,00003726,00000000,001024,002,000,00000512
009,00055574,00055574,010,00126456,00009185,00000000,001024,002,000,00000512
010,00036419,00036419,010,00079396,00006038,00000000,001024,002,000,00000512
011,00029705,00029705,010,00060195,00004905,00000000,001024,002,000,00000512
012,00042214,00042214,010,00095458,00006874,00000000,001024,002,000,00000512
013,00034546,00034546,010,00076682,00005759,00000000,001024,002,000,00000512
014,00071935,00071935,010,00164222,00011823,00000000,001024,002,000,00000512
015,00055642,00055642,010,00118003,00009156,00000000,001024,002,000,00000512
016,00038680,00038680,010,00089741,00006422,00000000,001024,002,000,00000512
017,00026480,00026480,010,00058669,00004294,00000000,001024,002,000,00000512
018,00036604,00036604,010,00081325,00006091,00000000,001024,002,000,00000512
019,00028748,00028748,010,00064757,00004733,00000000,001024,002,000,00000512
020,00039447,00039447,010,00091162,00006406,00000000,001024,002,000,00000512
021,00026202,00026202,010,00054139,00004294,00000000,001024,002,000,00000512
022,00031800,00031800,010,00071543,00005207,00000000,001024,002,000,00000512
023,00029449,00029449,010,00060931,00004867,00000000,001024,002,000,00000512
024,00030783,00030783,010,00068439,00005000,00000000,001024,002,000,00000512
025,00036147,00036147,010,00084285,00005934,00000000,001024,002,000,00000512
026,00040461,00040461,010,00092821,00006574,00000000,001024,002,000,00000512
027,00033766,00033766,010,00073441,00005603,00000000,001024,002,000,00000512
028,00040385,00040385,010,00091191,00006729,00000000,001024,002,000,00000512
029,00027349,00027349,010,00060571,00004511,00000000,001024,002,000,00000512
030,00059350,00059350,010,00128754,00009868,00000000,001024,002,000,00000512
031,00030720,00030720,010,00062215,00005066,00000000,001024,002,000,00000512
000,00042822,00042822,010,00096582,00007112,00000000,001024,003,000,00000512
001,00025478,00025478,010,00055111,00004168,00000000,001024,003,000,00000512
002,00037723,00037723,010,00081661,00006247,00000000,001024,003,000,00000512
003,00052347,00052347,010,00116515,00008624,00000000,001024,003,000,00000512
004,00044661,00044661,010,00098289,00007425,00000000,001024,003,000,00000512
005,00039682,00039682,010,00086071,00006519,00000000,001024,003,000,00000512
006,00036116,00036116,010,00081242,00005960,00000000,001024,003,000,00000512
007,00042324,00042324,010,00092319,00006926,00000000,001024,003,000,00000512
008,00030077,00030077,010,00066195,00004898,00000000,001024,003,000,00000512
009,00039354,00039354,010,00085538,00006461,00000000,001024,003,000,00000512
010,00041365,00041365,010,00089956,00006808,00000000,001024,003,000,00000512
011,00034744,00034744,010,00077923,00005633,00000000,001024,003,000,00000512
012,00031699,00031699,010,00069943,00005286,00000000,001024,003,000,00000512
013,00026331,00026331,010,00056692,00004262,00000000,001024,003,000,00000512
014,00022634,00022634,010,00050268,00003830,00000000,001024,003,000,00000512
015,00033919,00033919,010,00075260,00005550,00000000,001024,003,000,00000512
016,00042509,00042509,010,00093933,00006923,00000000,001024,003,000,00000512
017,00042351,00042351,010,00097467,00006907,00000000,001024,003,000,00000512
018,00032759,00032759,010,00074898,00005397,00000000,001024,003,000,00000512
019,00038281,00038281,010,00083466,00006246,00000000,001024,003,000,00000512
020,00036899,00036899,010,00083655,00006185,00000000,001024,003,000,00000512
021,00025353,00025353,010,00057700,00004079,00000000,001024,003,000,00000512
022,00037403,00037403,010,00083731,00006047,00000000,001024,003,000,00000512
023,00041576,00041576,010,00089761,00006721,00000000,001024,003,000,00000512
024,00042490,00042490,010,00098931,00006932,00000000,001024,003,000,00000512
025,00049717,00049717,010,00105287,00008368,00000000,001024,003,000,00000512
026,00037540,00037540,010,00079573,00006247,00000000,001024,003,000,00000512
027,00034353,00034353,010,00076063,00005665,00000000,001024,003,000,00000512
028,00040747,00040747,010,00089959,00006674,00000000,001024,003,000,00000512
029,00034402,00034402,010,00071627,00005744,00000000,001024,003,000,00000512
030,00028609,00028609,010,00068693,00004726,00000000,001024,003,000,00000512
031,00044431,00044431,010,00100111,00007185,00000000,001024,003,000,00000512
000,00074210,00074210,010,00172206,00011939,00000000,001024,000,001,00000512
001,00060600,00060600,010,00145741,00009783,00000000,001024,000,001,00000512
002,00069012,00069012,010,00160709,00011446,00000000,001024,000,001,00000512
003,00065130,00065130,010,00152697,00010478,00000000,001024,000,001,00000512
004,00060300,00060300,010,00138924,00009996,00000000,001024,000,001,00000512
005,00059785,00059785,010,00139831,00009768,00000000,001024,000,001,00000512
006,00064900,00064900,010,00150285,00010500,00000000,001024,000,001,00000512
007,00062519,00062519,010,00148299,00010197,00000000,001024,000,001,00000512
008,00066643,00066643,010,00150884,00010865,00000000,001024,000,001,00000512
009,00058797,00058797,010,00135723,00009535,00000000,001024,000,001,00000512
010,00064225,00064225,010,00144594,00010419,00000000,001024,000,001,00000512
011,00069445,00069445,010,00162660,00011234,00000000,001024,000,001,00000512
012,00056445,00056445,010,00130104,00009058,00000000,001024,000,001,00000512
013,00067020,00067020,010,00154428,00010954,00000000,001024,000,001,00000512
014,00050715,00050715,010,00115056,00008413,00000000,001024,000,001,00000512
015,00069700,00069700,010,00162914,00011344,00000000,001024,000,001,00000512
016,00059162,00059162,010,00141138,00009590,00000000,001024,000,001,00000512
017,00068283,00068283,010,00158569,00010934,00000000,001024,000,001,00000512
018,00061181,00061181,010,00142956,00009883,00000000,001024,000,001,00000512
019,00075072,00075072,010,00173974,00012297,00000000,001024,000,001,00000512
020,00063454,00063454,010,00150412,00010325,00000000,001024,000,001,00000512
021,00074948,00074948,010,00171404,00012256,00000000,001024,000,001,00000512
022,00072800,00072800,010,00166136,00011821,00000000,001024,000,001,00000512
023,00066503,00066503,010,00153774,00010995,00000000,001024,000,001,00000512
024,00053013,00053013,010,00123191,00008637,00000000,001024,000,001,00000512
025,00068281,00068281,010,00153926,00011062,00000000,001024,000,001,00000512
026,00060675,00060675,010,00143294,00009729,00000000,001024,000,001,00000512
027,00068412,00068412,010,00159286,00011245,00000000,001024,000,001,00000512
028,00069433,00069433,010,00160179,00011127,00000000,001024,000,001,00000512
029,00064318,00064318,010,00145789,00010604,00000000,001024,000,001,00000512
030,00075002,00075002,010,00172982,00012454,00000000,001024,000,001,00000512
031,00072234,00072234,010,00165269,00011723,00000000,001024,000,001,00000512
000,00046476,00046476,010,00100218,00007585,00000000,001024,001,001,00000512
001,00050189,00050189,010,00109473,00008319,00000000,001024,001,001,00000512
