tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00067800,00067800,010,00064098,00003702,00003702,001024,000,000,00000512
001,00067600,00067600,010,00063925,00003675,00003675,001024,000,000,00000512
002,00068100,00068100,010,00064200,00003900,00003900,001024,000,000,00000512
003,00067766,00067766,010,00064089,00003677,00003677,001024,000,000,00000512
004,00068300,00068300,010,00064499,00003801,00003801,001024,000,000,00000512
005,00067500,00067500,010,00063758,00003742,00003742,001024,000,000,00000512
006,00068100,00068100,010,00064342,00003758,00003758,001024,000,000,00000512
007,00067800,00067800,010,00064037,00003763,00003763,001024,000,000,00000512
008,00068400,00068400,010,00064551,00003849,00003849,001024,000,000,00000512
009,00067500,00067500,010,00063843,00003657,00003657,001024,000,000,00000512
010,00069200,00069200,010,00065403,00003797,00003797,001024,000,000,00000512
011,00069500,00069500,010,00065711,00003789,00003789,001024,000,000,00000512
012,00067992,00067992,010,00064311,00003681,00003681,001024,000,000,00000512
013,00070000,00070000,010,00066152,00003848,00003848,001024,000,000,00000512
014,00070500,00070500,010,00066451,00004049,00004049,001024,000,000,00000512
015,00069800,00069800,010,00065948,00003852,00003852,001024,000,000,00000512
016,00069400,00069400,010,00065689,00003711,00003711,001024,000,000,00000512
017,00070400,00070400,010,00066459,00003941,00003941,001024,000,000,00000512
018,00070754,00070754,010,00066884,00003870,00003870,001024,000,000,00000512
019,00070400,00070400,010,00066469,00003931,00003931,001024,000,000,00000512
020,00070400,00070400,010,00066377,00004023,00004023,001024,000,000,00000512
021,00070600,00070600,010,00066711,00003889,00003889,001024,000,000,00000512
022,00070800,00070800,010,00066969,00003831,00003831,001024,000,000,00000512
023,00070600,00070600,010,00066628,00003972,00003972,001024,000,000,00000512
024,00071800,00071800,010,00067791,00004009,00004009,001024,000,000,00000512
025,00070729,00070729,010,00066918,00003811,00003811,001024,000,000,00000512
026,00070900,00070900,010,00066905,00003995,00003995,001024,000,000,00000512
027,00071015,00071015,010,00067176,00003839,00003839,001024,000,000,00000512
028,00071300,00071300,010,00067456,00003844,00003844,001024,000,000,00000512
029,00071600,00071600,010,00067722,00003878,00003878,001024,000,000,00000512
030,00070200,00070200,010,00066370,00003830,00003830,001024,000,000,00000512
031,00070700,00070700,010,00066886,00003814,00003814,001024,000,000,00000512
000,00067219,00067219,010,00063514,00003705,00003705,001024,000,001,00000512
001,00066700,00066700,010,00063103,00003597,00003597,001024,000,001,00000512
002,00066849,00066849,010,00063150,00003699,00003699,001024,000,001,00000512
003,00067500,00067500,010,00063723,00003777,00003777,001024,000,001,00000512
004,00066400,00066400,010,00062652,00003748,00003748,001024,000,001,00000512
005,00066800,00066800,010,00063136,00003664,00003664,001024,000,001,00000512
006,00066740,00066740,010,00063136,00003604,00003604,001024,000,001,00000512
007,00066300,00066300,010,00062605,00003695,00003695,001024,000,001,00000512
008,00067049,00067049,010,00063388,00003661,00003661,001024,000,001,00000512
009,00067477,00067477,010,00063852,00003625,00003625,001024,000,001,00000512
010,00068000,00068000,010,00064285,00003715,00003715,001024,000,001,00000512
011,00068989,00068989,010,00065193,00003796,00003796,001024,000,001,00000512
012,00070200,00070200,010,00066409,00003791,00003791,001024,000,001,00000512
013,00068400,00068400,010,00064538,00003862,00003862,001024,000,001,00000512
014,00067300,00067300,010,00063642,00003658,00003658,001024,000,001,00000512
015,00068971,00068971,010,00065191,00003780,00003780,001024,000,001,00000512
016,00070700,00070700,010,00066735,00003965,00003965,001024,000,001,00000512
017,00067300,00067300,010,00063685,00003615,00003615,001024,000,001,00000512
018,00070400,00070400,010,00066617,00003783,00003783,001024,000,001,00000512
019,00070800,00070800,010,00067126,00003674,00003674,001024,000,001,00000512
020,00071486,00071486,010,00067472,00004014,00004014,001024,000,001,00000512
021,00071058,00071058,010,00067152,00003906,00003906,001024,000,001,00000512
022,00069900,00069900,010,00066119,00003781,00003781,001024,000,001,00000512
023,00070000,00070000,010,00066176,00003824,00003824,001024,000,001,00000512
024,00070153,00070153,010,00066388,00003765,00003765,001024,000,001,00000512
025,00070300,00070300,010,00066394,00003906,00003906,001024,000,001,00000512
026,00071500,00071500,010,00067578,00003922,00003922,001024,000,001,00000512
027,00070300,00070300,010,00066568,00003732,00003732,001024,000,001,00000512
028,00071300,00071300,010,00067387,00003913,00003913,001024,000,001,00000512
029,00071700,00071700,010,00067739,00003961,00003961,001024,000,001,00000512
030,00070400,00070400,010,00066411,00003989,00003989,001024,000,001,00000512
031,00071000,00071000,010,00067035,00003965,00003965,001024,000,001,00000512
000,00055290,00055290,010,00052749,00002541,00002541,001024,000,002,00000512
001,00055500,00055500,010,00052998,00002502,00002502,001024,000,002,00000512
002,00055060,00055060,010,00052394,00002666,00002666,001024,000,002,00000512
003,00054900,00054900,010,00052494,00002406,00002406,001024,000,002,00000512
004,00055400,00055400,010,00052930,00002470,00002470,001024,000,002,00000512
005,00054964,00054964,010,00052574,00002390,00002390,001024,000,002,00000512
006,00054200,00054200,010,00051678,00002522,00002522,001024,000,002,00000512
007,00055100,00055100,010,00052847,00002253,00002253,001024,000,002,00000512
008,00055600,00055600,010,00053121,00002479,00002479,001024,000,002,00000512
009,00056043,00056043,010,00053513,00002530,00002530,001024,000,002,00000512
010,00055200,00055200,010,00052641,00002559,00002559,001024,000,002,00000512
011,00055635,00055635,010,00053236,00002399,00002399,001024,000,002,00000512
012,00056800,00056800,010,00054269,00002531,00002531,001024,000,002,00000512
013,00055566,00055566,010,00053106,00002460,00002460,001024,000,002,00000512
014,00055400,00055400,010,00052964,00002436,00002436,001024,000,002,00000512
015,00055800,00055800,010,00053296,00002504,00002504,001024,000,002,00000512
016,00055900,00055900,010,00053463,00002437,00002437,001024,000,002,00000512
017,00055878,00055878,010,00053407,00002471,00002471,001024,000,002,00000512
018,00055790,00055790,010,00053218,00002572,00002572,001024,000,002,00000512
019,00056700,00056700,010,00054214,00002486,00002486,001024,000,002,00000512
020,00056750,00056750,010,00054209,00002541,00002541,001024,000,002,00000512
021,00056794,00056794,010,00054167,00002627,00002627,001024,000,002,00000512
022,00056759,00056759,010,00054119,00002640,00002640,001024,000,002,00000512
023,00055700,00055700,010,00053129,00002571,00002571,001024,000,002,00000512
024,00057400,00057400,010,00054797,00002603,00002603,001024,000,002,00000512
025,00056500,00056500,010,00053965,00002535,00002535,001024,000,002,00000512
026,00056426,00056426,010,00053814,00002612,00002612,001024,000,002,00000512
027,00057100,00057100,010,00054538,00002562,00002562,001024,000,002,00000512
028,00056700,00056700,010,00054136,00002564,00002564,001024,000,002,00000512
029,00056700,00056700,010,00054222,00002478,00002478,001024,000,002,00000512
030,00057100,00057100,010,00054479,00002621,00002621,001024,000,002,00000512
031,00056700,00056700,010,00054106,00002594,00002594,001024,000,002,00000512
