tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00066800,00066800,010,00063480,00003320,00003320,001024,000,000,00000512
001,00066400,00066400,010,00063049,00003351,00003351,001024,000,000,00000512
002,00066651,00066651,010,00063237,00003414,00003414,001024,000,000,00000512
003,00066229,00066229,010,00062892,00003337,00003337,001024,000,000,00000512
004,00065900,00065900,010,00062624,00003276,00003276,001024,000,000,00000512
005,00065542,00065542,010,00062255,00003287,00003287,001024,000,000,00000512
006,00065969,00065969,010,00062645,00003324,00003324,001024,000,000,00000512
007,00066169,00066169,010,00062919,00003250,00003250,001024,000,000,00000512
008,00065400,00065400,010,00062112,00003288,00003288,001024,000,000,00000512
009,00066200,00066200,010,00062937,00003263,00003263,001024,000,000,00000512
010,00066800,00066800,010,00063471,00003329,00003329,001024,000,000,00000512
011,00065323,00065323,010,00062190,00003133,00003133,001024,000,000,00000512
012,00064600,00064600,010,00061443,00003157,00003157,001024,000,000,00000512
013,00066700,00066700,010,00063280,00003420,00003420,001024,000,000,00000512
014,00065600,00065600,010,00062211,00003389,00003389,001024,000,000,00000512
015,00067600,00067600,010,00064269,00003331,00003331,001024,000,000,00000512
016,00064600,00064600,010,00061265,00003335,00003335,001024,000,000,00000512
017,00066220,00066220,010,00062800,00003420,00003420,001024,000,000,00000512
018,00065900,00065900,010,00062759,00003141,00003141,001024,000,000,00000512
019,00067100,00067100,010,00063781,00003319,00003319,001024,000,000,00000512
020,00066148,00066148,010,00062798,00003350,00003350,001024,000,000,00000512
021,00066637,00066637,010,00063169,00003468,00003468,001024,000,000,00000512
022,00066018,00066018,010,00062587,00003431,00003431,001024,000,000,00000512
023,00066800,00066800,010,00063465,00003335,00003335,001024,000,000,00000512
024,00064800,00064800,010,00061621,00003179,00003179,001024,000,000,00000512
025,00066700,00066700,010,00063356,00003344,00003344,001024,000,000,00000512
026,00067000,00067000,010,00063718,00003282,00003282,001024,000,000,00000512
027,00066783,00066783,010,00063308,00003475,00003475,001024,000,000,00000512
028,00068107,00068107,010,00064742,00003365,00003365,001024,000,000,00000512
029,00068900,00068900,010,00065389,00003511,00003511,001024,000,000,00000512
030,00068800,00068800,010,00065437,00003363,00003363,001024,000,000,00000512
031,00068900,00068900,010,00065577,00003323,00003323,001024,000,000,00000512
000,00069500,00069500,010,00065799,00003701,00003701,001024,000,001,00000512
001,00068769,00068769,010,00065049,00003720,00003720,001024,000,001,00000512
002,00069500,00069500,010,00065840,00003660,00003660,001024,000,001,00000512
003,00068955,00068955,010,00065342,00003613,00003613,001024,000,001,00000512
004,00068493,00068493,010,00064910,00003583,00003583,001024,000,001,00000512
005,00069300,00069300,010,00065754,00003546,00003546,001024,000,001,00000512
006,00068500,00068500,010,00064963,00003537,00003537,001024,000,001,00000512
007,00068100,00068100,010,00064619,00003481,00003481,001024,000,001,00000512
008,00068574,00068574,010,00065049,00003525,00003525,001024,000,001,00000512
009,00069437,00069437,010,00065773,00003664,00003664,001024,000,001,00000512
