tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00067404,00067404,010,00063706,00003698,00003698,001024,000,000,00000512
001,00067400,00067400,010,00063728,00003672,00003672,001024,000,000,00000512
002,00066597,00066597,010,00062925,00003672,00003672,001024,000,000,00000512
003,00066500,00066500,010,00062834,00003666,00003666,001024,000,000,00000512
004,00066300,00066300,010,00062659,00003641,00003641,001024,000,000,00000512
005,00066404,00066404,010,00062942,00003462,00003462,001024,000,000,00000512
006,00069455,00069455,010,00065766,00003689,00003689,001024,000,000,00000512
007,00069677,00069677,010,00065896,00003781,00003781,001024,000,000,00000512
008,00068225,00068225,010,00064624,00003601,00003601,001024,000,000,00000512
009,00069603,00069603,010,00065801,00003802,00003802,001024,000,000,00000512
010,00070300,00070300,010,00066539,00003761,00003761,001024,000,000,00000512
011,00070707,00070707,010,00066879,00003828,00003828,001024,000,000,00000512
012,00071100,00071100,010,00067381,00003719,00003719,001024,000,000,00000512
013,00070300,00070300,010,00066531,00003769,00003769,001024,000,000,00000512
014,00070100,00070100,010,00066278,00003822,00003822,001024,000,000,00000512
015,00069100,00069100,010,00065350,00003750,00003750,001024,000,000,00000512
016,00066813,00066813,010,00063201,00003612,00003612,001024,000,000,00000512
017,00069299,00069299,010,00065568,00003731,00003731,001024,000,000,00000512
018,00069900,00069900,010,00066229,00003671,00003671,001024,000,000,00000512
019,00069900,00069900,010,00066096,00003804,00003804,001024,000,000,00000512
020,00066948,00066948,010,00063371,00003577,00003577,001024,000,000,00000512
021,00066429,00066429,010,00062618,00003811,00003811,001024,000,000,00000512
022,00066500,00066500,010,00062890,00003610,00003610,001024,000,000,00000512
023,00069700,00069700,010,00065929,00003771,00003771,001024,000,000,00000512
024,00070800,00070800,010,00067001,00003799,00003799,001024,000,000,00000512
025,00070500,00070500,010,00066761,00003739,00003739,001024,000,000,00000512
026,00070137,00070137,010,00066306,00003831,00003831,001024,000,000,00000512
027,00068500,00068500,010,00064740,00003760,00003760,001024,000,000,00000512
028,00070700,00070700,010,00066909,00003791,00003791,001024,000,000,00000512
029,00068300,00068300,010,00064555,00003745,00003745,001024,000,000,00000512
030,00068300,00068300,010,00064688,00003612,00003612,001024,000,000,00000512
031,00070800,00070800,010,00066897,00003903,00003903,001024,000,000,00000512
000,00054200,00054200,010,00051793,00002407,00002407,001024,000,001,00000512
001,00054500,00054500,010,00052071,00002429,00002429,001024,000,001,00000512
002,00054900,00054900,010,00052532,00002368,00002368,001024,000,001,00000512
003,00054400,00054400,010,00051837,00002563,00002563,001024,000,001,00000512
004,00054628,00054628,010,00052292,00002336,00002336,001024,000,001,00000512
005,00054400,00054400,010,00051918,00002482,00002482,001024,000,001,00000512
006,00055600,00055600,010,00053094,00002506,00002506,001024,000,001,00000512
007,00054600,00054600,010,00052059,00002541,00002541,001024,000,001,00000512
008,00055399,00055399,010,00052987,00002412,00002412,001024,000,001,00000512
009,00054800,00054800,010,00052311,00002489,00002489,001024,000,001,00000512
010,00055400,00055400,010,00052830,00002570,00002570,001024,000,001,00000512
011,00054400,00054400,010,00052052,00002348,00002348,001024,000,001,00000512
012,00054900,00054900,010,00052476,00002424,00002424,001024,000,001,00000512
013,00055946,00055946,010,00053578,00002368,00002368,001024,000,001,00000512
014,00055900,00055900,010,00053390,00002510,00002510,001024,000,001,00000512
015,00054200,00054200,010,00051800,00002400,00002400,001024,000,001,00000512
016,00055100,00055100,010,00052734,00002366,00002366,001024,000,001,00000512
017,00055800,00055800,010,00053360,00002440,00002440,001024,000,001,00000512
018,00056000,00056000,010,00053572,00002428,00002428,001024,000,001,00000512
019,00054977,00054977,010,00052499,00002478,00002478,001024,000,001,00000512
020,00055596,00055596,010,00053248,00002348,00002348,001024,000,001,00000512
021,00056075,00056075,010,00053578,00002497,00002497,001024,000,001,00000512
