tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00054200,00054200,010,00051826,00002374,00002374,001024,000,000,00000512
001,00054200,00054200,010,00051673,00002527,00002527,001024,000,000,00000512
002,00054600,00054600,010,00051996,00002604,00002604,001024,000,000,00000512
003,00054014,00054014,010,00051416,00002598,00002598,001024,000,000,00000512
004,00054354,00054354,010,00051629,00002725,00002725,001024,000,000,00000512
005,00053400,00053400,010,00050855,00002545,00002545,001024,000,000,00000512
006,00054149,00054149,010,00051591,00002558,00002558,001024,000,000,00000512
007,00054200,00054200,010,00051548,00002652,00002652,001024,000,000,00000512
008,00055200,00055200,010,00052712,00002488,00002488,001024,000,000,00000512
009,00054040,00054040,010,00051479,00002561,00002561,001024,000,000,00000512
010,00053700,00053700,010,00051108,00002592,00002592,001024,000,000,00000512
011,00055600,00055600,010,00053017,00002583,00002583,001024,000,000,00000512
012,00054700,00054700,010,00052137,00002563,00002563,001024,000,000,00000512
013,00055000,00055000,010,00052388,00002612,00002612,001024,000,000,00000512
014,00055200,00055200,010,00052590,00002610,00002610,001024,000,000,00000512
015,00054600,00054600,010,00051936,00002664,00002664,001024,000,000,00000512
016,00055300,00055300,010,00052688,00002612,00002612,001024,000,000,00000512
017,00054623,00054623,010,00051973,00002650,00002650,001024,000,000,00000512
018,00054300,00054300,010,00051726,00002574,00002574,001024,000,000,00000512
019,00055160,00055160,010,00052424,00002736,00002736,001024,000,000,00000512
020,00055857,00055857,010,00053237,00002620,00002620,001024,000,000,00000512
021,00055400,00055400,010,00052855,00002545,00002545,001024,000,000,00000512
022,00054379,00054379,010,00051775,00002604,00002604,001024,000,000,00000512
023,00055300,00055300,010,00052703,00002597,00002597,001024,000,000,00000512
024,00056100,00056100,010,00053502,00002598,00002598,001024,000,000,00000512
025,00055715,00055715,010,00053110,00002605,00002605,001024,000,000,00000512
026,00055700,00055700,010,00053032,00002668,00002668,001024,000,000,00000512
027,00054600,00054600,010,00052066,00002534,00002534,001024,000,000,00000512
028,00054900,00054900,010,00052312,00002588,00002588,001024,000,000,00000512
029,00055253,00055253,010,00052548,00002705,00002705,001024,000,000,00000512
030,00056100,00056100,010,00053449,00002651,00002651,001024,000,000,00000512
031,00055800,00055800,010,00053178,00002622,00002622,001024,000,000,00000512
000,00066900,00066900,010,00062978,00003922,00003922,001024,000,001,00000512
001,00066866,00066866,010,00062712,00004154,00004154,001024,000,001,00000512
002,00066600,00066600,010,00062599,00004001,00004001,001024,000,001,00000512
003,00066300,00066300,010,00062457,00003843,00003843,001024,000,001,00000512
