tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00168400,00168400,030,00167760,00000640,00000640,001024,000,000,00000512
001,00170800,00170800,030,00170113,00000687,00000687,001024,000,000,00000512
002,00169932,00169932,030,00169217,00000715,00000715,001024,000,000,00000512
003,00173300,00173300,030,00172679,00000621,00000621,001024,000,000,00000512
004,00170100,00170100,030,00169458,00000642,00000642,001024,000,000,00000512
005,00171008,00171008,030,00170387,00000621,00000621,001024,000,000,00000512
006,00172500,00172500,030,00171867,00000633,00000633,001024,000,000,00000512
007,00171500,00171500,030,00170830,00000670,00000670,001024,000,000,00000512
008,00172000,00172000,030,00171352,00000648,00000648,001024,000,000,00000512
009,00169394,00169394,030,00168767,00000627,00000627,001024,000,000,00000512
010,00170300,00170300,030,00169648,00000652,00000652,001024,000,000,00000512
011,00171812,00171812,030,00171098,00000714,00000714,001024,000,000,00000512
012,00171700,00171700,030,00171023,00000677,00000677,001024,000,000,00000512
013,00170300,00170300,030,00169637,00000663,00000663,001024,000,000,00000512
014,00170354,00170354,030,00169672,00000682,00000682,001024,000,000,00000512
015,00172100,00172100,030,00171431,00000669,00000669,001024,000,000,00000512
016,00169200,00169200,030,00168562,00000638,00000638,001024,000,000,00000512
017,00170304,00170304,030,00169601,00000703,00000703,001024,000,000,00000512
018,00169700,00169700,030,00169009,00000691,00000691,001024,000,000,00000512
019,00171500,00171500,030,00170817,00000683,00000683,001024,000,000,00000512
020,00170545,00170545,030,00169874,00000671,00000671,001024,000,000,00000512
021,00170200,00170200,030,00169562,00000638,00000638,001024,000,000,00000512
022,00171200,00171200,030,00170560,00000640,00000640,001024,000,000,00000512
023,00172400,00172400,030,00171730,00000670,00000670,001024,000,000,00000512
024,00172144,00172144,030,00171519,00000625,00000625,001024,000,000,00000512
025,00169147,00169147,030,00168448,00000699,00000699,001024,000,000,00000512
026,00169900,00169900,030,00169247,00000653,00000653,001024,000,000,00000512
027,00171200,00171200,030,00170530,00000670,00000670,001024,000,000,00000512
028,00170300,00170300,030,00169635,00000665,00000665,001024,000,000,00000512
029,00172400,00172400,030,00171695,00000705,00000705,001024,000,000,00000512
030,00170700,00170700,030,00170024,00000676,00000676,001024,000,000,00000512
031,00169700,00169700,030,00169042,00000658,00000658,001024,000,000,00000512
