tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00173522,00173522,030,00172765,00000757,00000000,001024,000,000,00000512
001,00175257,00175257,030,00174483,00000774,00000000,001024,000,000,00000512
002,00177143,00177143,030,00176423,00000720,00000000,001024,000,000,00000512
003,00176071,00176071,030,00175302,00000769,00000000,001024,000,000,00000512
004,00176900,00176900,030,00176192,00000708,00000000,001024,000,000,00000512
005,00176300,00176300,030,00175527,00000773,00000000,001024,000,000,00000512
006,00176900,00176900,030,00176167,00000733,00000000,001024,000,000,00000512
007,00174564,00174564,030,00173835,00000729,00000000,001024,000,000,00000512
008,00174800,00174800,030,00174094,00000706,00000000,001024,000,000,00000512
009,00176425,00176425,030,00175630,00000795,00000000,001024,000,000,00000512
010,00175900,00175900,030,00175214,00000686,00000000,001024,000,000,00000512
011,00175276,00175276,030,00174505,00000771,00000000,001024,000,000,00000512
012,00176000,00176000,030,00175257,00000743,00000000,001024,000,000,00000512
013,00175745,00175745,030,00175014,00000731,00000000,001024,000,000,00000512
014,00176700,00176700,030,00175970,00000730,00000000,001024,000,000,00000512
015,00174196,00174196,030,00173512,00000684,00000000,001024,000,000,00000512
016,00175929,00175929,030,00175218,00000711,00000000,001024,000,000,00000512
017,00174985,00174985,030,00174242,00000743,00000000,001024,000,000,00000512
018,00174700,00174700,030,00174002,00000698,00000000,001024,000,000,00000512
019,00177064,00177064,030,00176294,00000770,00000000,001024,000,000,00000512
020,00175400,00175400,030,00174653,00000747,00000000,001024,000,000,00000512
021,00175782,00175782,030,00175023,00000759,00000000,001024,000,000,00000512
022,00175900,00175900,030,00175184,00000716,00000000,001024,000,000,00000512
023,00174085,00174085,030,00173372,00000713,00000000,001024,000,000,00000512
024,00176622,00176622,030,00175879,00000743,00000000,001024,000,000,00000512
025,00176595,00176595,030,00175841,00000754,00000000,001024,000,000,00000512
026,00174800,00174800,030,00174106,00000694,00000000,001024,000,000,00000512
027,00175989,00175989,030,00175219,00000770,00000000,001024,000,000,00000512
028,00173800,00173800,030,00173111,00000689,00000000,001024,000,000,00000512
029,00175300,00175300,030,00174557,00000743,00000000,001024,000,000,00000512
030,00176482,00176482,030,00175686,00000796,00000000,001024,000,000,00000512
031,00174700,00174700,030,00174008,00000692,00000000,001024,000,000,00000512
