tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00175400,00175400,030,00191454,00000000,00000000,001024,000,000,00000512
001,00174635,00174635,030,00191038,00000000,00000000,001024,000,000,00000512
002,00181798,00181798,030,00201220,00000000,00000000,001024,000,000,00000512
003,00179972,00179972,030,00198879,00000000,00000000,001024,000,000,00000512
004,00175900,00175900,030,00191754,00000000,00000000,001024,000,000,00000512
005,00179900,00179900,030,00199397,00000000,00000000,001024,000,000,00000512
006,00173754,00173754,030,00191055,00000000,00000000,001024,000,000,00000512
007,00179286,00179286,030,00198475,00000000,00000000,001024,000,000,00000512
008,00180600,00180600,030,00200043,00000000,00000000,001024,000,000,00000512
009,00175100,00175100,030,00191631,00000000,00000000,001024,000,000,00000512
010,00175700,00175700,030,00194619,00000000,00000000,001024,000,000,00000512
011,00177708,00177708,030,00195440,00000000,00000000,001024,000,000,00000512
012,00183100,00183100,030,00202688,00000000,00000000,001024,000,000,00000512
013,00177000,00177000,030,00192889,00000000,00000000,001024,000,000,00000512
014,00183828,00183828,030,00203912,00000000,00000000,001024,000,000,00000512
015,00183992,00183992,030,00203489,00000000,00000000,001024,000,000,00000512
016,00181300,00181300,030,00200739,00000000,00000000,001024,000,000,00000512
017,00177502,00177502,030,00195004,00000000,00000000,001024,000,000,00000512
018,00176400,00176400,030,00192590,00000000,00000000,001024,000,000,00000512
019,00181984,00181984,030,00202648,00000000,00000000,001024,000,000,00000512
020,00178200,00178200,030,00197537,00000000,00000000,001024,000,000,00000512
021,00182378,00182378,030,00203701,00000000,00000000,001024,000,000,00000512
022,00182454,00182454,030,00202467,00000000,00000000,001024,000,000,00000512
023,00176900,00176900,030,00192973,00000000,00000000,001024,000,000,00000512
024,00177300,00177300,030,00193693,00000000,00000000,001024,000,000,00000512
025,00181600,00181600,030,00200701,00000000,00000000,001024,000,000,00000512
026,00177500,00177500,030,00194159,00000000,00000000,001024,000,000,00000512
027,00181600,00181600,030,00200968,00000000,00000000,001024,000,000,00000512
028,00177500,00177500,030,00193466,00000000,00000000,001024,000,000,00000512
029,00181606,00181606,030,00201346,00000000,00000000,001024,000,000,00000512
030,00176211,00176211,030,00192479,00000000,00000000,001024,000,000,00000512
031,00182098,00182098,030,00203376,00000000,00000000,001024,000,000,00000512
000,00169600,00169600,030,00176711,00000000,00000000,001024,001,000,00000512
