tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR
000,00115540,00115540,020,00115540,00000000,00000000,001024,000,000,00000512
001,00118700,00118700,020,00118700,00000000,00000000,001024,000,000,00000512
002,00114500,00114500,020,00114500,00000000,00000000,001024,000,000,00000512
003,00119205,00119205,020,00119205,00000000,00000000,001024,000,000,00000512
004,00119302,00119302,020,00119302,00000000,00000000,001024,000,000,00000512
005,00113500,00113500,020,00113500,00000000,00000000,001024,000,000,00000512
006,00119383,00119383,020,00119383,00000000,00000000,001024,000,000,00000512
007,00114300,00114300,020,00114300,00000000,00000000,001024,000,000,00000512
008,00115600,00115600,020,00115600,00000000,00000000,001024,000,000,00000512
009,00119300,00119300,020,00119300,00000000,00000000,001024,000,000,00000512
010,00119352,00119352,020,00119352,00000000,00000000,001024,000,000,00000512
011,00114600,00114600,020,00114600,00000000,00000000,001024,000,000,00000512
012,00114393,00114393,020,00114393,00000000,00000000,001024,000,000,00000512
013,00119500,00119500,020,00119500,00000000,00000000,001024,000,000,00000512
014,00119701,00119701,020,00119701,00000000,00000000,001024,000,000,00000512
015,00113900,00113900,020,00113900,00000000,00000000,001024,000,000,00000512
016,00114900,00114900,020,00114900,00000000,00000000,001024,000,000,00000512
017,00118300,00118300,020,00118300,00000000,00000000,001024,000,000,00000512
018,00115000,00115000,020,00115000,00000000,00000000,001024,000,000,00000512
019,00116485,00116485,020,00116485,00000000,00000000,001024,000,000,00000512
020,00117700,00117700,020,00117700,00000000,00000000,001024,000,000,00000512
021,00117986,00117986,020,00117986,00000000,00000000,001024,000,000,00000512
022,00114800,00114800,020,00114800,00000000,00000000,001024,000,000,00000512
023,00118400,00118400,020,00118400,00000000,00000000,001024,000,000,00000512
024,00114816,00114816,020,00114816,00000000,00000000,001024,000,000,00000512
025,00117682,00117682,020,00117682,00000000,00000000,001024,000,000,00000512
026,00115892,00115892,020,00115892,00000000,00000000,001024,000,000,00000512
027,00114900,00114900,020,00114900,00000000,00000000,001024,000,000,00000512
028,00117263,00117263,020,00117263,00000000,00000000,001024,000,000,00000512
029,00118400,00118400,020,00118400,00000000,00000000,001024,000,000,00000512
030,00114895,00114895,020,00114895,00000000,00000000,001024,000,000,00000512
031,00118494,00118494,020,00118494,00000000,00000000,001024,000,000,00000512
