tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses
000,00005261,00005261,010,00066344,00000000,00000000,001024,000,000,00000001,00005261,02,000012181733
001,00005289,00005289,010,00063325,00000000,00000000,001024,000,000,00000001,00005289,02,000011145343
002,00005267,00005267,010,00066396,00000000,00000000,001024,000,000,00000001,00005267,02,000011162382
003,00005290,00005290,010,00062098,00000000,00000000,001024,000,000,00000001,00005290,02,000011266425
004,00005264,00005264,010,00064939,00000000,00000000,001024,000,000,00000001,00005264,02,000008840430
005,00005273,00005273,010,00062214,00000000,00000000,001024,000,000,00000001,00005273,02,000010206367
006,00005291,00005291,010,00063260,00000000,00000000,001024,000,000,00000001,00005291,02,000010260963
007,00005258,00005258,010,00067076,00000000,00000000,001024,000,000,00000001,00005258,02,000009002317
008,00005287,00005287,010,00063693,00000000,00000000,001024,000,000,00000001,00005287,02,000011072742
009,00005258,00005258,010,00065813,00000000,00000000,001024,000,000,00000001,00005258,02,000011249869
010,00005258,00005258,010,00066001,00000000,00000000,001024,000,000,00000001,00005258,02,000008466633
011,00005287,00005287,010,00063337,00000000,00000000,001024,000,000,00000001,00005287,02,000011032153
012,00005287,00005287,010,00064571,00000000,00000000,001024,000,000,00000001,00005287,02,000012076206
013,00005258,00005258,010,00066507,00000000,00000000,001024,000,000,00000001,00005258,02,000011701586
014,00005258,00005258,010,00065933,00000000,00000000,001024,000,000,00000001,00005258,02,000013050345
015,00005260,00005260,010,00061631,00000000,00000000,001024,000,000,00000001,00005260,02,000011949914
016,00005276,00005276,010,00063541,00000000,00000000,001024,000,000,00000001,00005276,02,000010281859
017,00005273,00005273,010,00065863,00000000,00000000,001024,000,000,00000001,00005273,02,000011842793
018,00005276,00005276,010,00061607,00000000,00000000,001024,000,000,00000001,00005276,02,000010897756
019,00005261,00005261,010,00066810,00000000,00000000,001024,000,000,00000001,00005261,02,000011965184
020,00005264,00005264,010,00062956,00000000,00000000,001024,000,000,00000001,00005264,02,000011919266
021,00005262,00005262,010,00067603,00000000,00000000,001024,000,000,00000001,00005262,02,000013129624
022,00005268,00005268,010,00062827,00000000,00000000,001024,000,000,00000001,00005268,02,000012397499
023,00005259,00005259,010,00065866,00000000,00000000,001024,000,000,00000001,00005259,02,000013176181
024,00005298,00005298,010,00062947,00000000,00000000,001024,000,000,00000001,00005298,02,000010856696
025,00005279,00005279,010,00066513,00000000,00000000,001024,000,000,00000001,00005279,02,000009523097
026,00005264,00005264,010,00063051,00000000,00000000,001024,000,000,00000001,00005264,02,000011723854
027,00005287,00005287,010,00061024,00000000,00000000,001024,000,000,00000001,00005287,02,000011770564
028,00005288,00005288,010,00062706,00000000,00000000,001024,000,000,00000001,00005288,02,000012455847
029,00005259,00005259,010,00066345,00000000,00000000,001024,000,000,00000001,00005259,02,000013535306
030,00005266,00005266,010,00062595,00000000,00000000,001024,000,000,00000001,00005266,02,000010145020
031,00005259,00005259,010,00065726,00000000,00000000,001024,000,000,00000001,00005259,02,000010899109
000,00002694,00002694,010,00040963,00000000,00000000,001024,001,000,00000001,00002694,02,000009583570
001,00002709,00002709,010,00039799,00000000,00000000,001024,001,000,00000001,00002709,02,000009603327
002,00002695,00002695,010,00040446,00000000,00000000,001024,001,000,00000001,00002695,02,000010636655
003,00002710,00002710,010,00040318,00000000,00000000,001024,001,000,00000001,00002710,02,000007542592
004,00002698,00002698,010,00040479,00000000,00000000,001024,001,000,00000001,00002698,02,000008286570
005,00002703,00002703,010,00041411,00000000,00000000,001024,001,000,00000001,00002703,02,000009852716
006,00002695,00002695,010,00039557,00000000,00000000,001024,001,000,00000001,00002695,02,000009160429
007,00002699,00002699,010,00040468,00000000,00000000,001024,001,000,00000001,00002699,02,000010057232
008,00002694,00002694,010,00040784,00000000,00000000,001024,001,000,00000001,00002694,02,000007838414
009,00002710,00002710,010,00040867,00000000,00000000,001024,001,000,00000001,00002710,02,000009306164
010,00002694,00002694,010,00039907,00000000,00000000,001024,001,000,00000001,00002694,02,000009087157
011,00002700,00002700,010,00040598,00000000,00000000,001024,001,000,00000001,00002700,02,000007396906
012,00002694,00002694,010,00039670,00000000,00000000,001024,001,000,00000001,00002694,02,000009768931
013,00002709,00002709,010,00040632,00000000,00000000,001024,001,000,00000001,00002709,02,000009833815
014,00002695,00002695,010,00040203,00000000,00000000,001024,001,000,00000001,00002695,02,000009693955
015,00002713,00002713,010,00040884,00000000,00000000,001024,001,000,00000001,00002713,02,000008397409
016,00002696,00002696,010,00039064,00000000,00000000,001024,001,000,00000001,00002696,02,000008812374
017,00002713,00002713,010,00040856,00000000,00000000,001024,001,000,00000001,00002713,02,000009340065
018,00002694,00002694,010,00039650,00000000,00000000,001024,001,000,00000001,00002694,02,000009841279
019,00002697,00002697,010,00042219,00000000,00000000,001024,001,000,00000001,00002697,02,000010726360
020,00002694,00002694,010,00040230,00000000,00000000,001024,001,000,00000001,00002694,02,000009957075
021,00002699,00002699,010,00042277,00000000,00000000,001024,001,000,00000001,00002699,02,000010802746
022,00002694,00002694,010,00041232,00000000,00000000,001024,001,000,00000001,00002694,02,000008961185
023,00002714,00002714,010,00041152,00000000,00000000,001024,001,000,00000001,00002714,02,000009091088
