tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B),lat_lock_hold(ms),lat_wait_acq(ms),lat_wait_rel(ms)
RUN 0
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000080,    0.042907,    0.000520
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000067,    0.000293,    0.000200
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000220,    0.000187
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000200,    0.000200
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000067,    0.000207,    0.000180
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000273,    0.000167
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.043167,    0.000160
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.098780,    0.000160
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000067,    0.000247,    0.000160
000,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000067,    0.000193,    0.000167
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000113,    0.016233,    0.000660
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000067,    0.000307,    0.000253
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000067,    0.000247,    0.000433
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000473,    0.000467
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000267,    0.000260
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000200,    0.000173
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.101693,    0.000580
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.000260,    0.000173
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000193,    0.000173
001,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000193,    0.000187
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000055,    0.176650,    0.000410
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000055,    0.000315,    0.000170
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000050,    0.000155,    0.000170
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000055,    0.000155,    0.000135
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000055,    0.000165,    0.000145
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000050,    0.000165,    0.000145
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000055,    0.000150,    0.000140
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000045,    0.000425,    0.000140
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000050,    0.000150,    0.000175
002,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000045,    0.000170,    0.000140
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000084,    0.026408,    0.000324
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000042,    0.000109,    0.000097
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000042,    0.000109,    0.000109
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000033,    0.000123,    0.000110
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000033,    0.000118,    0.000101
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000042,    0.000113,    0.000101
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000042,    0.000113,    0.000097
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000033,    0.000123,    0.000106
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000042,    0.000408,    0.000097
003,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000042,    0.000244,    0.000097
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000047,    0.001811,    0.000576
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000326,    0.000275
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000213,    0.000223
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000051,    0.000183,    0.000166
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000052,    0.000182,    0.000223
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000189,    0.000172
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000051,    0.000195,    0.000189
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000183,    0.000172
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000189,    0.000189
004,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000052,    0.093462,    0.000211
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000120,    0.045740,    0.000653
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000067,    0.000393,    0.000300
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000233,    0.000187
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.107213,    0.000193
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000240,    0.000173
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000187,    0.000180
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000227,    0.000193
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000193,    0.000180
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000207,    0.000167
005,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000187,    0.000160
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000092,    0.001372,    0.000771
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000063,    0.039102,    0.000697
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000063,    0.000240,    0.000166
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000234,    0.000166
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000063,    0.000199,    0.000154
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000063,    0.000252,    0.000154
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000177,    0.000160
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000189,    0.000172
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000195,    0.000755
006,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000057,    0.000275,    0.000166
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.002553,    0.000687
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000067,    0.045120,    0.000333
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000327,    0.000220
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.172160,    0.000420
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.000407,    0.000147
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.000160,    0.000773
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.000247,    0.000160
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.000153,    0.000147
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.000160,    0.000140
007,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.000160,    0.000147
008,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.001340,    0.000673
008,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.210140,    0.000407
008,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000327,    0.000193
008,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.000187,    0.000173
008,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000053,    0.000187,    0.000247
008,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000300,    0.000187
008,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000067,    0.000207,    0.000187
008,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000207,    0.000200
008,         0,       0,    0.000000,    0.000000,    0.000000,    0.000000,               0,    0.000060,    0.000220,    0.000840
