tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000, 251205440, 3925085,  685.263123,   30.000000,21615.074219,  145.846649,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
000, 246492288, 3851442,  669.265503,   30.000000,21631.359375,  146.390335,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
000, 242978752, 3796543,  653.129944,   30.000000,21648.304688,  146.466949,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
001, 251205504, 3925086,  631.342285,   30.000000,21653.058594,  163.171417,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
001, 246492928, 3851452,  662.926147,   30.000000,21626.843750,  158.775223,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
001, 242979200, 3796550,  647.586731,   30.000000,21642.056641,  159.635056,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
002, 251204288, 3925067,  632.641785,   30.000000,21665.646484,  147.581345,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
002, 246492608, 3851447,  651.585693,   30.000000,21646.781250,  148.662415,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
002, 242979072, 3796548,  656.675232,   30.000000,21644.843750,  146.336716,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
003, 251205504, 3925086,  679.824097,   30.000000,21628.722656,  138.734558,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
003, 246492800, 3851450,  663.948364,   30.000000,21648.244141,  135.988541,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
003, 242979200, 3796550,  659.372803,   30.000000,21654.888672,  134.160004,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
004, 251205440, 3925085,  640.679138,   30.000000,21668.595703,  138.707413,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
004, 246492992, 3851453,  624.567139,   30.000000,21688.099609,  136.172241,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
004, 242979200, 3796550,  650.217102,   30.000000,21665.216797,  134.184189,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
005, 251205504, 3925086,  646.225708,   30.000000,21663.142578,  138.329239,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
005, 246493056, 3851454,  660.021973,   30.000000,21653.498047,  135.155090,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
005, 242979264, 3796551,  647.975037,   30.000000,21667.158203,  134.204056,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
006, 251205440, 3925085,  687.863098,   30.000000,21623.117188,  136.752396,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
006, 246492992, 3851453,  636.519775,   30.000000,21678.087891,  134.175491,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
006, 242979200, 3796550,  660.585022,   30.000000,21656.566406,  132.410492,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
007, 251205504, 3925086,  681.398743,   30.000000,21628.582031,  137.596039,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
007, 246492992, 3851453,  670.586060,   30.000000,21643.103516,  134.920746,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
007, 242979264, 3796551,  624.033691,   30.000000,21692.669922,  132.603928,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
008, 251205440, 3925085,  659.892944,   30.000000,21651.955078,  135.974396,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
008, 246492992, 3851453,  673.849670,   30.000000,21641.097656,  133.892715,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
008, 242979200, 3796550,  661.096252,   30.000000,21656.757812,  131.742233,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
009, 251205440, 3925085,  677.537109,   30.000000,21632.755859,  137.350983,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
009, 246492672, 3851448,  666.213440,   30.000000,21647.371094,  134.967484,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
009, 242978880, 3796545,  651.051941,   30.000000,21665.431641,  132.786041,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
010, 251205376, 3925084,  683.073608,   30.000000,21628.265625,  136.143936,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
010, 246492992, 3851453,  632.969299,   30.000000,21682.152344,  133.395370,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
010, 242979072, 3796548,  656.937683,   30.000000,21660.666016,  131.659317,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
011, 251205440, 3925085,  667.497681,   30.000000,21642.587891,  137.346497,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
011, 246493056, 3851454,  671.820007,   30.000000,21641.876953,  134.752136,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
011, 242979136, 3796549,  655.654541,   30.000000,21660.681641,  132.793518,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
012, 251205440, 3925085,  670.457275,   30.000000,21639.646484,  137.538513,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
012, 246492992, 3851453,  666.191223,   30.000000,21647.619141,  134.769485,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
012, 242979136, 3796549,  661.417419,   30.000000,21654.937500,  132.877136,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
013, 251205504, 3925086,  677.668030,   30.000000,21631.792969,  137.759109,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
013, 246492928, 3851452,  648.645752,   30.000000,21664.632812,  134.975845,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
013, 242979264, 3796551,  662.303467,   30.000000,21653.539062,  133.159439,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
014, 251205440, 3925085,  677.013855,   30.000000,21635.765625,  135.415695,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
014, 246492928, 3851452,  674.031738,   30.000000,21642.011719,  133.091583,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
014, 242979200, 3796550,  657.575623,   30.000000,21661.207031,  131.049683,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
015, 251205568, 3925087,  658.045105,   30.000000,21653.304688,  136.553802,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
015, 246493056, 3851454,  670.558228,   30.000000,21643.771484,  134.524475,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
015, 242979264, 3796551,  663.396851,   30.000000,21653.996094,  132.207687,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
000, 244015744, 3812746,  649.723267,   30.000000,21652.992188,  144.815308,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,001
000, 243135040, 3798985,  636.060791,   30.000000,21668.341797,  143.350113,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,001
000, 243437504, 3803711,  658.363892,   30.000000,21646.750000,  142.539536,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,001
001, 244015872, 3812748,  654.772888,   30.000000,21636.449219,  157.906387,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,001
001, 243135616, 3798994,  661.896545,   30.000000,21631.593750,  155.813736,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,001
001, 243437824, 3803716,  645.047546,   30.000000,21646.951172,  157.194962,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,001
002, 244015808, 3812747,  662.899109,   30.000000,21638.697266,  145.979050,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,001
002, 243135616, 3798994,  656.713257,   30.000000,21644.712891,  146.398834,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,001
002, 243437824, 3803716,  664.558044,   30.000000,21640.867188,  142.291763,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,001
