tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,   7899908, 7899908,   89.117661,   30.000000,22074.144531,  250.485382,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
001,   7899928, 7899928,   89.337914,   30.000000,22069.097656,  255.930893,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
002,   7899927, 7899927,   88.947006,   30.000000,22072.101562,  253.080200,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
003,   7899929, 7899929,   89.134819,   30.000000,22067.261719,  258.091339,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
004,   7899929, 7899929,   89.007553,   30.000000,22074.619141,  250.307556,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
005,   7899926, 7899926,   89.383949,   30.000000,22069.839844,  255.189774,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
006,   7899928, 7899928,   88.790642,   30.000000,22075.541016,  249.044266,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
007,   7899929, 7899929,   89.016327,   30.000000,22069.734375,  255.057938,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
008,   7899928, 7899928,   89.072922,   30.000000,22072.199219,  252.447937,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
009,   7899929, 7899929,   89.297768,   30.000000,22066.695312,  258.179291,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
010,   7899928, 7899928,   88.664886,   30.000000,22072.941406,  252.091003,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
011,   7899928, 7899928,   88.984207,   30.000000,22063.605469,  261.593140,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
012,   7899924, 7899924,   88.856827,   30.000000,22073.785156,  251.087921,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
013,   7899923, 7899923,   89.395752,   30.000000,22069.320312,  255.442657,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
014,   7899922, 7899922,   88.675171,   30.000000,22073.562500,  251.465515,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
015,   7899928, 7899928,   89.014488,   30.000000,22067.998047,  257.086426,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
000,   7940917, 7940917,   89.499153,   30.000000,22069.369141,  254.072601,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
001,   7940936, 7940936,   89.795898,   30.000000,22066.710938,  256.971832,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
002,   7940899, 7940899,   89.542870,   30.000000,22069.677734,  254.452499,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
003,   7940935, 7940935,   89.423264,   30.000000,22066.205078,  258.585571,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
004,   7940931, 7940931,   89.277458,   30.000000,22071.998047,  252.271866,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
005,   7940936, 7940936,   89.801483,   30.000000,22066.025391,  258.024567,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
006,   7940935, 7940935,   89.069427,   30.000000,22073.576172,  251.019196,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
007,   7940937, 7940937,   89.350189,   30.000000,22068.509766,  256.144012,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
008,   7940941, 7940941,   89.344398,   30.000000,22070.144531,  253.739120,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
009,   7940941, 7940941,   89.851669,   30.000000,22064.718750,  259.073029,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
010,   7940933, 7940933,   89.147751,   30.000000,22070.326172,  253.762939,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
011,   7940947, 7940947,   89.541733,   30.000000,22063.613281,  260.500580,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
012,   7940935, 7940935,   89.652939,   30.000000,22070.396484,  253.522217,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
013,   7940938, 7940938,   89.868980,   30.000000,22066.404297,  257.627106,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
014,   7940938, 7940938,   89.066330,   30.000000,22070.085938,  253.723465,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
015,   7940937, 7940937,   89.406914,   30.000000,22064.386719,  259.599854,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
000,   7954563, 7954563,   89.594078,   30.000000,22070.111328,  253.285416,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
001,   7954595, 7954595,   89.788078,   30.000000,22065.187500,  258.488373,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
002,   7954591, 7954591,   89.557877,   30.000000,22071.175781,  252.438446,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
003,   7954594, 7954594,   89.834579,   30.000000,22063.908203,  259.826233,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
004,   7954596, 7954596,   89.267990,   30.000000,22071.646484,  252.790253,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
005,   7954596, 7954596,   90.038589,   30.000000,22064.726562,  259.154266,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
006,   7954598, 7954598,   89.295662,   30.000000,22073.677734,  250.851364,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
007,   7954595, 7954595,   89.771957,   30.000000,22068.261719,  256.107574,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
