tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,   1999131, 1999131,   20.818947,   30.000000,21291.500000, 1166.912964,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
001,   2014976, 2014976,   20.987125,   30.000000,21287.076172, 1171.034180,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
002,   2037657, 2037657,   21.284197,   30.000000,21507.388672,  950.147949,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
003,   2037981, 2037981,   21.313835,   30.000000,21514.439453,  943.037292,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
004,   1867717, 1867717,   19.472780,   30.000000,21687.458984,  773.422241,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
005,   1871477, 1871477,   19.540413,   30.000000,21692.919922,  767.892334,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
006,   1919537, 1919537,   20.027393,   30.000000,21575.447266,  884.557861,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
007,   1920857, 1920857,   20.092091,   30.000000,21578.992188,  880.936218,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
008,   1942090, 1942090,   20.252632,   30.000000,21636.734375,  822.583740,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
009,   1943672, 1943672,   20.328335,   30.000000,21641.359375,  817.871216,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
010,   1897769, 1897769,   19.801918,   30.000000,21618.455078,  841.943970,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
011,   1900629, 1900629,   19.859217,   30.000000,21623.103516,  837.232971,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
012,   1911228, 1911228,   19.892702,   30.000000,21637.412109,  822.786011,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
013,   1913088, 1913088,   19.952343,   30.000000,21643.437500,  816.690430,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
014,   2013928, 2013928,   21.038063,   30.000000,21552.925781,  905.012146,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
015,   2015682, 2015682,   21.088747,   30.000000,21559.500000,  898.358826,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,000
000,   2000503, 2000503,   20.870432,   30.000000,21282.845703, 1175.542114,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
001,   2017725, 2017725,   21.013027,   30.000000,21277.933594, 1180.145874,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
002,   2037275, 2037275,   21.266468,   30.000000,21516.431641,  941.123596,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
003,   2038823, 2038823,   21.324116,   30.000000,21523.097656,  934.390930,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
004,   1874475, 1874475,   19.532444,   30.000000,21686.333984,  774.419495,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
005,   1878583, 1878583,   19.614563,   30.000000,21691.232422,  769.415833,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
006,   1920292, 1920292,   20.040909,   30.000000,21572.246094,  887.750854,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
007,   1921681, 1921681,   20.106815,   30.000000,21576.873047,  883.051758,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
008,   1940963, 1940963,   20.259571,   30.000000,21639.718750,  819.606506,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
009,   1942860, 1942860,   20.315590,   30.000000,21644.234375,  815.022705,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
010,   1898432, 1898432,   19.792980,   30.000000,21617.052734,  843.378235,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
011,   1901523, 1901523,   19.880709,   30.000000,21623.242188,  837.076538,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
012,   1903723, 1903723,   19.837923,   30.000000,21641.689453,  818.656250,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
013,   1908284, 1908284,   19.900721,   30.000000,21646.802734,  813.449707,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
014,   2018192, 2018192,   21.101217,   30.000000,21551.136719,  906.702698,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
015,   2019826, 2019826,   21.138041,   30.000000,21557.679688,  900.104492,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,001
000,   2000096, 2000096,   20.860029,   30.000000,21282.812500, 1175.579712,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
001,   2017662, 2017662,   21.038284,   30.000000,21277.660156, 1180.403809,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
002,   2037264, 2037264,   21.250790,   30.000000,21516.421875,  941.168457,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
003,   2039107, 2039107,   21.323410,   30.000000,21523.914062,  933.582458,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
004,   1875358, 1875358,   19.553631,   30.000000,21685.900391,  774.837891,    0.000000,    0.000000,    0.000000,    0.000000,         0,               0,000,002
