tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,         0,       0,    0.000200,    0.000000,    0.120592,    0.046736,    0.001477,    0.000395,    0.118710,    0.046036,               0,000,000
000,         0,       0,    0.000012,    0.000000,    0.768612,    0.037925,    0.723623,    0.000285,    0.044889,    0.037537,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.516714,    0.030289,    0.481561,    0.000289,    0.035038,    0.029866,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.504373,    0.030707,    0.466418,    0.000264,    0.037850,    0.030364,               0,000,000
000,         0,       0,    0.000008,    0.000000,    0.511936,    0.042569,    0.475555,    0.000291,    0.036245,    0.042176,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.519259,    0.029891,    0.479620,    0.000276,    0.039496,    0.029522,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.489797,    0.033999,    0.455813,    0.000299,    0.033797,    0.033600,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.492482,    0.033268,    0.456783,    0.000273,    0.035551,    0.032897,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.489055,    0.027465,    0.454093,    0.000256,    0.034829,    0.027140,               0,000,000
000,         0,       0,    0.000011,    0.000000,    0.498512,    0.035326,    0.463240,    0.000282,    0.035128,    0.034948,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.512766,    0.027869,    0.475851,    0.000262,    0.036774,    0.027456,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.503438,    0.032069,    0.470025,    0.000296,    0.033285,    0.031672,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.493653,    0.035524,    0.456383,    0.000268,    0.037107,    0.035159,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.500273,    0.030996,    0.459685,    0.000270,    0.040442,    0.030642,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.495999,    0.027299,    0.462284,    0.000255,    0.033538,    0.026968,               0,000,000
000,         0,       0,    0.000012,    0.000000,    0.501476,    0.032830,    0.461281,    0.000269,    0.040053,    0.032474,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.501370,    0.027427,    0.466431,    0.000277,    0.034811,    0.027037,               0,000,000
000,         0,       0,    0.000011,    0.000000,    8.948194,    0.031630,    8.902654,    0.000266,    0.045381,    0.031264,               0,000,000
000,         0,       0,    0.000008,    0.000000,    0.525874,    0.033826,    0.485102,    0.000263,    0.040626,    0.033412,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.509037,    0.029274,    0.467753,    0.000261,    0.041151,    0.028945,               0,000,000
001,         0,       0,    0.000012,    0.000000,    0.254777,    0.039634,    0.166267,    0.000465,    0.088183,    0.038978,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.725554,    0.035528,    0.678534,    0.000369,    0.046856,    0.034980,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.505570,    0.034703,    0.464396,    0.000318,    0.041018,    0.034265,               0,000,000
001,         0,       0,    0.000012,    0.000000,    0.497784,    0.037689,    0.459211,    0.000301,    0.038398,    0.037241,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.520281,    0.034269,    0.478220,    0.000324,    0.041913,    0.033795,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.511260,    0.036558,    0.472818,    0.000289,    0.038227,    0.036134,               0,000,000
001,         0,       0,    0.000012,    0.000000,    0.489256,    0.033773,    0.448792,    0.000294,    0.040309,    0.033342,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.490064,    0.033385,    0.451463,    0.000285,    0.038444,    0.032954,               0,000,000
001,         0,       0,    0.000012,    0.000000,    0.483218,    0.035524,    0.444582,    0.000300,    0.038467,    0.035087,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.498457,    0.034567,    0.459643,    0.000276,    0.038669,    0.034121,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.506655,    0.036419,    0.467263,    0.000295,    0.039251,    0.035990,               0,000,000
001,         0,       0,    0.000012,    0.000000,    0.499378,    0.034852,    0.459712,    0.000252,    0.039497,    0.034477,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.493295,    0.033390,    0.454642,    0.000267,    0.038506,    0.033007,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.497192,    0.033648,    0.459233,    0.000282,    0.037726,    0.033245,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.490580,    0.035546,    0.451714,    0.000309,    0.038716,    0.035114,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.498791,    0.035498,    0.459900,    0.000297,    0.038748,    0.035064,               0,000,000
001,         0,       0,    0.000010,    0.000000,    9.322412,    0.034482,    9.283197,    0.000295,    0.039009,    0.034082,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.527753,    0.034546,    0.486836,    0.000326,    0.040732,    0.034042,               0,000,000
001,         0,       0,    0.000012,    0.000000,    0.505615,    0.036698,    0.466588,    0.000274,    0.038874,    0.036319,               0,000,000
001,         0,       0,    0.000013,    0.000000,    0.496590,    0.035910,    0.457324,    0.000308,    0.039094,    0.035475,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.362137,    0.030898,    0.294223,    0.000322,    0.067630,    0.030421,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.694647,    0.028597,    0.662261,    0.000206,    0.032273,    0.028320,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.509287,    0.030882,    0.479353,    0.000209,    0.029836,    0.030589,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.505791,    0.027508,    0.474693,    0.000194,    0.031017,    0.027242,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.529801,    0.028073,    0.495955,    0.000233,    0.033685,    0.027767,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.515797,    0.027029,    0.485894,    0.000205,    0.029816,    0.026758,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.495447,    0.028953,    0.466136,    0.000200,    0.029232,    0.028672,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.498174,    0.027513,    0.465222,    0.000191,    0.032857,    0.027252,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.487759,    0.027007,    0.458301,    0.000197,    0.029381,    0.026682,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.508761,    0.027328,    0.476464,    0.000205,    0.032208,    0.027053,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.514075,    0.027130,    0.483503,    0.000233,    0.030474,    0.026831,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.505890,    0.029191,    0.476551,    0.000197,    0.029240,    0.028927,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.497856,    0.028910,    0.468187,    0.000207,    0.029520,    0.028636,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.503396,    0.027493,    0.472275,    0.000211,    0.031034,    0.027212,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.497004,    0.027510,    0.467505,    0.000202,    0.029425,    0.027227,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.509198,    0.027538,    0.477293,    0.000202,    0.031815,    0.027260,               0,000,000
