tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,     10739,   10739,    0.129673,   30.000000,22173.164062,  328.161285,21792.634766,    1.696042,  379.026245,  325.196930,               0,000,000
001,     10739,   10739,    0.117618,   30.000000,22170.177734,  331.485992,21799.388672,    1.508473,  369.296448,  328.824951,               0,000,000
002,     10739,   10739,    0.124657,   30.000000,22178.962891,  322.592926,21819.343750,    1.590172,  358.033844,  319.850830,               0,000,000
003,     10739,   10739,    0.160344,   30.000000,22168.302734,  333.486694,21810.589844,    1.529811,  356.286469,  330.780518,               0,000,000
004,     10739,   10739,    0.116065,   30.000000,22156.201172,  345.446106,21772.253906,    1.721708,  382.339050,  342.463593,               0,000,000
005,     10739,   10739,    0.117048,   30.000000,22175.210938,  326.669098,21816.511719,    1.315103,  357.322876,  324.259094,               0,000,000
006,     10739,   10739,    0.117506,   30.000000,22183.142578,  318.642029,21825.089844,    1.472108,  356.684570,  315.979492,               0,000,000
007,     10739,   10739,    0.139827,   30.000000,22174.937500,  327.023834,21809.048828,    1.547430,  364.408813,  324.098297,               0,000,000
008,     10739,   10739,    0.157719,   30.000000,22169.414062,  332.375275,21795.875000,    1.703189,  371.958313,  329.495667,               0,000,000
009,     10738,   10738,    0.123170,   30.000000,22175.083984,  325.921387,21813.781250,    1.504441,  359.922760,  323.265289,               0,000,000
010,     10738,   10738,    0.133511,   30.000000,22176.117188,  325.126282,21814.333984,    1.630634,  360.316406,  322.235870,               0,000,000
011,     10738,   10738,    0.129892,   30.000000,22168.492188,  332.624115,21802.992188,    1.876301,  364.149719,  329.539642,               0,000,000
012,     10738,   10738,    0.116388,   30.000000,22167.242188,  334.132751,21791.330078,    2.538115,  374.249969,  330.128632,               0,000,000
013,     10738,   10738,    0.126961,   30.000000,22179.970703,  321.442291,21829.302734,    1.450657,  349.176636,  318.999054,               0,000,000
014,     10738,   10738,    0.117499,   30.000000,22174.919922,  326.542267,21812.171875,    1.532626,  361.337158,  323.968170,               0,000,000
015,     10738,   10738,    0.117587,   30.000000,22177.707031,  323.638489,21819.468750,    1.656608,  356.523529,  320.776947,               0,000,000
016,     10736,   10736,    0.117870,   30.000000,22155.441406,  345.299286,21782.464844,    2.150938,  371.533966,  342.052673,               0,000,000
017,     10736,   10736,    0.117186,   30.000000,22156.730469,  344.158203,21788.457031,    2.093398,  366.847870,  341.072723,               0,000,000
018,     10735,   10735,    0.117521,   30.000000,22162.775391,  337.742035,21802.380859,    1.315805,  359.389954,  335.526093,               0,000,000
019,     10736,   10736,    0.123425,   30.000000,22157.035156,  344.037872,21779.181641,    1.332331,  376.793213,  341.788452,               0,000,000
020,     10736,   10736,    0.117964,   30.000000,22165.000000,  335.935486,21804.644531,    1.174813,  359.282471,  333.908752,               0,000,000
021,     10736,   10736,    0.117322,   30.000000,22160.900391,  340.015625,21795.470703,    1.209380,  364.216278,  337.969666,               0,000,000
022,     10736,   10736,    0.117123,   30.000000,22161.542969,  339.584412,21798.146484,    1.104903,  362.266113,  337.500092,               0,000,000
023,     10735,   10735,    0.117272,   30.000000,22161.892578,  338.342804,21799.306641,    1.291888,  361.506073,  336.098907,               0,000,000
024,     10735,   10735,    0.117904,   30.000000,22155.824219,  344.785492,21777.658203,    1.145134,  377.026886,  342.670563,               0,000,000
025,     10735,   10735,    0.117385,   30.000000,22161.011719,  339.644073,21797.662109,    1.206140,  362.180786,  337.513031,               0,000,000
026,     10735,   10735,    0.117522,   30.000000,22164.693359,  335.583130,21804.113281,    1.161644,  359.518127,  333.518311,               0,000,000
027,     10735,   10735,    0.118011,   30.000000,22157.732422,  342.620972,21782.433594,    1.095361,  374.274963,  340.649933,               0,000,000
028,     10735,   10735,    0.117380,   30.000000,22162.306641,  338.145477,21800.072266,    1.324592,  361.091553,  335.892395,               0,000,000
029,     10735,   10735,    0.117487,   30.000000,22162.191406,  338.131073,21798.630859,    1.069846,  362.378174,  336.188293,               0,000,000
030,     10735,   10735,    0.117518,   30.000000,22159.421875,  341.300812,21793.630859,    1.231338,  364.693634,  339.070160,               0,000,000
031,     10736,   10736,    0.115743,   30.000000,22159.281250,  341.500214,21785.935547,    1.055327,  372.203125,  339.536285,               0,000,000
000,     10833,   10833,    0.118656,   30.000000,22171.072266,  330.307190,21795.425781,    1.639405,  374.170959,  327.411804,               0,000,001
001,     10832,   10832,    0.118704,   30.000000,22177.830078,  322.929871,21821.406250,    1.454109,  354.979431,  320.401001,               0,000,001
002,     10832,   10832,    0.152871,   30.000000,22174.275391,  326.671387,21805.929688,    1.455729,  366.784485,  324.067108,               0,000,001
003,     10832,   10832,    0.121029,   30.000000,22177.568359,  323.805573,21822.173828,    1.518513,  353.963684,  321.055145,               0,000,001
004,     10832,   10832,    0.117265,   30.000000,22139.664062,  361.307800,21739.716797,    2.190454,  398.248230,  357.790466,               0,000,001
005,     10832,   10832,    0.118439,   30.000000,22175.150391,  325.880188,21816.207031,    1.525360,  357.520935,  323.140869,               0,000,001
006,     10832,   10832,    0.119078,   30.000000,22184.755859,  316.150696,21839.021484,    1.282676,  344.435669,  313.812103,               0,000,001
007,     10833,   10833,    0.118715,   30.000000,22173.123047,  328.492432,21805.906250,    1.566941,  365.768311,  325.550354,               0,000,001
008,     10832,   10832,    0.124089,   30.000000,22169.458984,  331.379852,21795.255859,    1.805284,  372.697693,  328.423981,               0,000,001
009,     10833,   10833,    0.118432,   30.000000,22176.318359,  325.053131,21817.435547,    1.530558,  357.492554,  322.389069,               0,000,001
010,     10832,   10832,    0.136151,   30.000000,22179.671875,  321.553070,21816.601562,    1.464767,  361.554352,  318.975189,               0,000,001
011,     10832,   10832,    0.117866,   30.000000,22170.542969,  330.665100,21802.396484,    1.834241,  366.850189,  327.603973,               0,000,001
012,     10832,   10832,    0.133624,   30.000000,22151.533203,  349.472809,21759.337891,    2.649358,  390.476227,  345.366669,               0,000,001
013,     10833,   10833,    0.138593,   30.000000,22167.695312,  333.858704,21799.886719,    1.719681,  366.242432,  331.033417,               0,000,001
014,     10833,   10833,    0.118281,   30.000000,22184.458984,  317.273743,21832.953125,    1.517765,  350.066010,  314.829071,               0,000,001
015,     10832,   10832,    0.118775,   30.000000,22164.160156,  336.630615,21794.513672,    1.725067,  367.915894,  333.680634,               0,000,001
016,     10833,   10833,    0.124903,   30.000000,22155.691406,  344.484711,21783.716797,    2.225660,  370.572601,  341.128113,               0,000,001
017,     10833,   10833,    0.119728,   30.000000,22159.222656,  340.777191,21792.271484,    2.217375,  365.524048,  337.520508,               0,000,001
018,     10834,   10834,    0.118963,   30.000000,22158.253906,  342.351807,21781.324219,    1.347128,  375.950165,  340.108673,               0,000,001
019,     10833,   10833,    0.118924,   30.000000,22163.656250,  336.746094,21802.890625,    1.383058,  359.658356,  334.434082,               0,000,001
020,     10833,   10833,    0.118763,   30.000000,22158.171875,  341.819000,21779.507812,    1.204783,  377.576172,  339.735840,               0,000,001
021,     10833,   10833,    0.118609,   30.000000,22157.265625,  343.044495,21777.466797,    1.264141,  378.654785,  340.959625,               0,000,001
022,     10833,   10833,    0.118542,   30.000000,22162.074219,  338.178650,21798.814453,    1.208350,  362.127167,  336.015167,               0,000,001
023,     10834,   10834,    0.118547,   30.000000,22166.269531,  334.314850,21807.199219,    1.250094,  357.987122,  332.120270,               0,000,001
024,     10833,   10833,    0.119031,   30.000000,22163.292969,  336.659790,21802.726562,    1.288688,  359.452637,  334.426849,               0,000,001
025,     10833,   10833,    0.118461,   30.000000,22162.275391,  337.590668,21800.353516,    1.145991,  360.683289,  335.537201,               0,000,001
026,     10833,   10833,    0.118891,   30.000000,22165.199219,  334.544250,21805.382812,    1.281997,  358.722717,  332.383026,               0,000,001
027,     10834,   10834,    0.118649,   30.000000,22165.521484,  335.155914,21805.996094,    1.157684,  358.399231,  333.108704,               0,000,001
028,     10834,   10834,    0.118282,   30.000000,22163.937500,  336.782227,21802.628906,    1.367693,  360.125153,  334.479553,               0,000,001
029,     10833,   10833,    0.118671,   30.000000,22157.867188,  341.859955,21781.525391,    1.111947,  375.235931,  339.938110,               0,000,001
