tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,     10721,   10721,    0.130664,   30.000000,22173.808594,  326.010803,21813.806641,    1.657378,  358.540253,  323.090698,               0,000,000
001,     10721,   10721,    0.138166,   30.000000,22177.896484,  322.047913,21822.958984,    1.353993,  353.598267,  319.389801,               0,000,000
002,     10721,   10721,    0.120429,   30.000000,22181.085938,  318.610840,21820.681641,    1.337788,  358.983826,  316.021942,               0,000,000
003,     10721,   10721,    0.118381,   30.000000,22131.607422,  367.973328,21751.679688,    2.420693,  378.170685,  363.861908,               0,000,000
004,     10721,   10721,    0.118234,   30.000000,22181.601562,  318.246399,21817.929688,    1.460133,  362.194427,  315.432770,               0,000,000
005,     10721,   10721,    0.118883,   30.000000,22158.097656,  341.919800,21793.298828,    1.340345,  363.303253,  339.374237,               0,000,000
006,     10721,   10721,    0.132087,   30.000000,22171.878906,  328.218445,21810.460938,    1.463195,  360.015472,  325.576019,               0,000,000
007,     10721,   10721,    0.119058,   30.000000,22178.886719,  321.167358,21815.992188,    1.466646,  361.563293,  318.418182,               0,000,000
008,     10721,   10721,    0.174111,   30.000000,22165.183594,  336.125153,21805.847656,    2.426608,  357.810089,  332.511230,               0,000,000
009,     10721,   10721,    0.125112,   30.000000,22174.564453,  325.594788,21816.324219,    1.410558,  357.007233,  323.066315,               0,000,000
010,     10721,   10721,    0.117884,   30.000000,22158.052734,  342.182434,21795.712891,    1.736386,  361.178131,  339.169952,               0,000,000
011,     10721,   10721,    0.118647,   30.000000,22134.187500,  365.921051,21729.406250,    1.974892,  403.475952,  362.428070,               0,000,000
012,     10721,   10721,    0.118336,   30.000000,22174.667969,  325.598602,21810.716797,    1.452871,  362.582092,  323.002899,               0,000,000
013,     10721,   10721,    0.126542,   30.000000,22173.830078,  326.586212,21814.769531,    1.912720,  357.675415,  323.499146,               0,000,000
014,     10721,   10721,    0.118017,   30.000000,22182.376953,  318.932800,21820.093750,    1.733465,  360.986511,  316.035675,               0,000,000
015,     10721,   10721,    0.119141,   30.000000,22181.910156,  318.653107,21824.517578,    1.860938,  355.940277,  315.612366,               0,000,000
016,     10721,   10721,    0.118396,   30.000000,22160.878906,  339.809631,21792.636719,    2.182362,  366.972595,  336.346466,               0,000,000
017,     10721,   10721,    0.118663,   30.000000,22164.894531,  336.207275,21803.642578,    2.108713,  359.907654,  332.899414,               0,000,000
018,     10721,   10721,    0.124130,   30.000000,22126.707031,  374.497467,21774.843750,    1.248738,  350.889587,  372.378357,               0,000,000
019,     10721,   10721,    0.118168,   30.000000,22158.054688,  342.967163,21803.404297,    1.289296,  353.552032,  340.665833,               0,000,000
020,     10721,   10721,    0.118044,   30.000000,22166.320312,  334.910828,21805.056641,    1.065222,  360.246796,  332.776245,               0,000,000
021,     10721,   10721,    0.117877,   30.000000,22167.167969,  334.175537,21809.546875,    1.683988,  356.584320,  331.657684,               0,000,000
022,     10721,   10721,    0.117794,   30.000000,22137.919922,  362.829803,21775.894531,    1.067248,  360.996185,  360.709625,               0,000,000
023,     10721,   10721,    0.117937,   30.000000,22160.148438,  340.711517,21796.730469,    1.210927,  362.409790,  338.536316,               0,000,000
024,     10721,   10721,    0.117848,   30.000000,22167.744141,  333.205170,21810.115234,    1.279450,  356.577209,  330.943573,               0,000,000
025,     10721,   10721,    0.117714,   30.000000,22164.574219,  336.307281,21801.832031,    1.121987,  361.652283,  334.279907,               0,000,000
026,     10721,   10721,    0.117616,   30.000000,22170.322266,  330.820923,21814.714844,    1.048544,  354.564331,  328.855408,               0,000,000
027,     10721,   10721,    0.117957,   30.000000,22169.285156,  331.942902,21814.558594,    1.183575,  353.682953,  329.910065,               0,000,000
028,     10721,   10721,    0.117952,   30.000000,22147.742188,  352.738007,21780.253906,    1.082032,  366.343109,  350.683014,               0,000,000
029,     10721,   10721,    0.117813,   30.000000,22162.859375,  337.733521,21797.261719,    1.690163,  364.397247,  335.172943,               0,000,000
030,     10721,   10721,    0.118804,   30.000000,22164.152344,  337.342072,21794.765625,    1.019459,  368.395111,  335.226013,               0,000,000
031,     10720,   10720,    0.117616,   30.000000,22162.832031,  336.902924,21797.910156,    1.551341,  363.915771,  334.293823,               0,000,000
000,     10739,   10739,    0.156791,   30.000000,22179.033203,  321.678986,21831.507812,    1.391827,  346.255402,  319.082977,               0,000,001
001,     10739,   10739,    0.147711,   30.000000,22168.908203,  332.161133,21807.833984,    1.192955,  359.822357,  329.752106,               0,000,001
002,     10739,   10739,    0.118120,   30.000000,22191.103516,  309.674164,21847.376953,    1.330596,  342.433807,  307.285400,               0,000,001
003,     10739,   10739,    0.145187,   30.000000,22134.796875,  365.816986,21747.117188,    2.388906,  385.963013,  361.825989,               0,000,001
