tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,    310720,    4855,  309.282318,   30.000000,22192.716797,  308.173157,21860.037109,   69.951393,  331.362640,  236.930862,          262144,000,000
000,    308608,    4822,  304.025452,   30.000000,22197.876953,  302.807983,21868.734375,   68.001411,  328.020294,  233.407333,        16777216,000,000
000,    307136,    4799,  318.155060,   30.000000,22182.902344,  316.861145,21845.716797,   71.940681,  335.925049,  243.257416,       134217728,000,000
001,    310720,    4855,  291.145020,   30.000000,22210.486328,  290.040344,21895.820312,   64.069153,  313.497711,  224.684616,          262144,000,000
001,    308608,    4822,  261.281830,   30.000000,22240.994141,  260.303986,21953.333984,   55.125740,  286.745880,  204.373703,        16777216,000,000
001,    307136,    4799,  263.719971,   30.000000,22237.412109,  262.783478,21952.816406,   59.910240,  283.778015,  202.155838,       134217728,000,000
002,    310720,    4855,  255.339676,   30.000000,22246.396484,  254.215500,21963.517578,   53.879700,  281.968872,  199.530838,          262144,000,000
002,    308608,    4822,  269.242554,   30.000000,22233.130859,  268.306885,21948.429688,   54.648239,  283.789490,  212.834259,        16777216,000,000
002,    307136,    4799,  259.592346,   30.000000,22241.929688,  258.640015,21957.322266,   55.195000,  283.688446,  202.667099,       134217728,000,000
003,    310720,    4855,  247.874268,   30.000000,22253.990234,  246.925217,21974.695312,   51.441078,  278.496185,  194.813797,          262144,000,000
003,    308608,    4822,  253.103439,   30.000000,22248.982422,  251.859665,21966.794922,   54.479214,  281.382111,  196.727875,        16777216,000,000
003,    307136,    4799,  248.580444,   30.000000,22253.066406,  247.502426,21973.785156,   51.732407,  278.498169,  195.120804,       134217728,000,000
004,    310720,    4855,  261.203308,   30.000000,22240.755859,  260.297729,21959.367188,   55.294514,  280.460754,  204.171417,          262144,000,000
004,    308544,    4821,  260.964508,   30.000000,22240.425781,  260.042694,21947.863281,   55.902599,  291.689331,  203.386963,        16777216,000,000
004,    307136,    4799,  251.663345,   30.000000,22249.859375,  250.685425,21971.246094,   52.573341,  277.761780,  197.293015,       134217728,000,000
005,    310720,    4855,  263.774719,   30.000000,22238.107422,  262.847626,21953.515625,   55.133514,  283.731171,  206.982956,          262144,000,000
005,    308608,    4822,  257.911896,   30.000000,22244.234375,  256.928009,21959.152344,   55.018211,  284.187073,  201.189682,        16777216,000,000
005,    307136,    4799,  272.090973,   30.000000,22228.414062,  271.082581,21930.792969,   60.278709,  296.677704,  210.019867,       134217728,000,000
006,    310720,    4855,  253.268066,   30.000000,22248.931641,  252.394684,21968.123047,   53.203064,  279.886353,  198.351715,          262144,000,000
006,    308608,    4822,  254.501465,   30.000000,22247.751953,  253.536041,21959.027344,   54.156685,  287.816956,  198.547485,        16777216,000,000
006,    307136,    4799,  265.919098,   30.000000,22233.986328,  264.882996,21943.154297,   55.917679,  289.826965,  208.143265,       134217728,000,000
007,    310720,    4855,  274.196930,   30.000000,22227.982422,  273.245850,21929.294922,   54.060871,  297.695374,  218.390564,          262144,000,000
007,    308608,    4822,  314.719055,   30.000000,22187.837891,  313.676453,21848.388672,   65.451233,  338.311890,  247.207794,        16777216,000,000
007,    307200,    4800,  273.550049,   30.000000,22229.166016,  272.383881,21930.501953,   53.854912,  297.714569,  217.754242,       134217728,000,000
008,    310720,    4855,  303.916992,   30.000000,22198.238281,  302.760620,21863.871094,   74.852531,  333.275391,  227.009018,          262144,000,000
008,    308608,    4822,  281.227905,   30.000000,22221.191406,  280.253906,21914.490234,   62.691910,  305.602875,  216.670486,        16777216,000,000
008,    307136,    4799,  290.864868,   30.000000,22210.224609,  289.731812,21888.783203,   63.364014,  320.225861,  225.490723,       134217728,000,000
009,    310720,    4855,  277.779175,   30.000000,22224.376953,  276.736694,21918.279297,   60.824326,  304.728821,  215.146042,          262144,000,000
009,    308608,    4822,  264.502594,   30.000000,22237.931641,  263.417206,21948.875000,   55.959694,  288.008789,  206.703857,        16777216,000,000
009,    307136,    4799,  252.410233,   30.000000,22248.484375,  251.199005,21962.207031,   52.942665,  285.410004,  197.520645,       134217728,000,000
010,    310720,    4855,  261.357666,   30.000000,22241.103516,  260.427795,21949.699219,   56.551987,  290.468292,  203.059860,          262144,000,000
010,    308608,    4822,  266.910583,   30.000000,22235.765625,  265.849091,21945.013672,   58.727234,  289.745209,  206.330719,        16777216,000,000
010,    307136,    4799,  282.839111,   30.000000,22218.349609,  281.801971,21924.929688,   59.775276,  292.406464,  221.161560,       134217728,000,000
011,    310720,    4855,  262.296570,   30.000000,22240.677734,  261.147736,21952.847656,   56.932220,  286.901489,  203.442200,          262144,000,000
011,    308544,    4821,  263.904785,   30.000000,22236.652344,  262.725952,21945.847656,   57.327400,  289.907532,  204.622101,        16777216,000,000
