tid,wait_acq(ms),wait_rel(ms),client_id,run
000,2.580162287,2.959591866,000,000
000,2.500918150,2.913416147,000,000
000,2.467656612,2.769855976,000,000
001,2.639359713,3.066177130,000,000
001,2.520764112,2.852280855,000,000
001,2.514079571,2.821041584,000,000
002,2.630616665,3.089826584,000,000
002,2.553159475,2.884302139,000,000
002,2.529495001,2.846743107,000,000
003,2.611754179,3.035481453,000,000
003,2.656610727,2.990100861,000,000
003,2.513594151,2.857247829,000,000
004,2.615326881,2.936914682,000,000
004,2.481174469,2.865973949,000,000
004,2.469454765,2.809594631,000,000
005,2.619562864,3.018943071,000,000
005,2.556852102,3.000018835,000,000
005,2.565772533,2.853996515,000,000
006,2.587349892,3.015885115,000,000
006,2.547538042,2.942568779,000,000
006,2.459620237,2.796832561,000,000
007,2.625726461,2.976555109,000,000
007,2.551229000,2.957938194,000,000
007,2.497463465,2.812433481,000,000
008,2.595949650,2.940245628,000,000
008,2.493617773,2.902540207,000,000
008,2.500587225,2.888284683,000,000
009,2.601080656,2.947316170,000,000
009,2.524869442,3.015551329,000,000
009,2.472768784,2.802692890,000,000
010,2.590500116,3.026271582,000,000
010,2.547315836,2.841707706,000,000
010,2.519853830,2.841381550,000,000
011,2.593042612,3.002250910,000,000
011,2.545863867,3.038979292,000,000
011,2.463341236,2.803659439,000,000
012,2.580370426,2.929706335,000,000
012,2.518980026,2.980432510,000,000
012,2.501173019,2.869126797,000,000
013,2.594225883,2.975779295,000,000
013,2.521187782,2.949489355,000,000
013,2.486887455,2.815634966,000,000
014,2.643090010,2.997205257,000,000
014,2.568851233,3.062638998,000,000
014,2.533452272,2.858195543,000,000
015,2.567064285,2.950711012,000,000
015,2.540503979,2.975280046,000,000
015,2.474464655,2.820679665,000,000
000,2.677446604,2.923791647,000,001
000,2.471922159,2.652242899,000,001
000,2.583951473,2.947953701,000,001
001,2.641222477,2.998189688,000,001
001,2.508536339,2.697175264,000,001
001,2.587797165,2.954559326,000,001
002,2.704211235,3.040751219,000,001
002,2.492086887,2.738613844,000,001
002,2.583219290,2.933916569,000,001
003,2.688846588,3.058290958,000,001
003,2.483728170,2.735050201,000,001
003,2.690357924,2.988954306,000,001
004,2.652941227,3.031829119,000,001
004,2.487718105,2.748374939,000,001
004,2.614413738,2.963712215,000,001
005,2.696156263,2.975422382,000,001
005,2.481684446,2.720148802,000,001
005,2.689883471,3.020973682,000,001
006,2.686443806,2.963002443,000,001
006,2.489437580,2.695596457,000,001
006,2.605287075,2.984372854,000,001
007,2.735520840,3.017650366,000,001
007,2.536217928,2.718415260,000,001
007,2.606866837,2.989140034,000,001
008,2.624826670,3.045657158,000,001
008,2.512684584,2.764648199,000,001
008,2.625189304,2.909549952,000,001
009,2.631382465,3.076826334,000,001
009,2.475476265,2.764069796,000,001
009,2.591905355,2.971884489,000,001
010,2.768206835,3.007136345,000,001
010,2.530152082,2.786010981,000,001
010,2.618253708,3.030743361,000,001
011,2.705497503,3.198820353,000,001
011,2.510680199,2.749061346,000,001
011,2.637641191,2.977273226,000,001
012,2.645626783,3.094751358,000,001
012,2.479295731,2.693129063,000,001
012,2.607664585,3.023666143,000,001
013,2.671457767,3.059487104,000,001
013,2.508223057,2.739506245,000,001
013,2.625008345,3.033524036,000,001
014,2.653860092,3.113339901,000,001
014,2.502376795,2.757725716,000,001
014,2.684908152,2.975561142,000,001
015,2.674007893,3.048370361,000,001
015,2.422168016,2.570533037,000,001
015,2.560549736,2.930582762,000,001
000,2.674165249,2.948568821,000,002
000,2.576478720,3.025374413,000,002
000,2.498743057,2.831972837,000,002
001,2.675202131,2.972192764,000,002
001,2.673041344,3.124083757,000,002
001,2.596319914,2.929763556,000,002
002,2.701091290,3.028144598,000,002
002,2.667218447,3.118079901,000,002
002,2.647635937,3.015308380,000,002
003,2.711366177,3.043150425,000,002
003,2.720765591,3.258061886,000,002
003,2.633336306,3.000524044,000,002
004,2.703364611,3.031078100,000,002
004,2.635708094,3.131986856,000,002
004,2.508495092,2.874906540,000,002
005,2.668914318,2.985039473,000,002
005,2.690407515,3.161043644,000,002
005,2.582659721,2.900767565,000,002
006,2.696653128,3.055295706,000,002
006,2.659923792,3.090182781,000,002
006,2.640360832,2.968544006,000,002
007,2.693627834,3.018599033,000,002
007,2.706617832,3.167527437,000,002
007,2.623361349,2.963891268,000,002
008,2.691234350,3.040052891,000,002
008,2.617080927,3.150457382,000,002
008,2.483916521,2.826772451,000,002
009,2.662300348,3.050908089,000,002
009,2.640281200,3.071708441,000,002
009,2.565399408,2.913500547,000,002
010,2.721438646,3.040832758,000,002
010,2.703810930,3.127183199,000,002
010,2.625569105,2.965451241,000,002
011,2.686120272,2.963616610,000,002
011,2.607457399,3.196986675,000,002
011,2.555248022,2.911957502,000,002
012,2.729557514,3.057709694,000,002
012,2.668228149,3.242349386,000,002
012,2.560886145,2.902498007,000,002
013,2.648535013,2.940713406,000,002
013,2.632691145,3.034964085,000,002
013,2.587014437,2.952516556,000,002
014,2.714372873,3.050288439,000,002
014,2.655305624,3.208614349,000,002
014,2.590746641,2.967025280,000,002
015,2.673330069,3.053928852,000,002
015,2.645450592,3.189647913,000,002
015,2.560395002,2.925940275,000,002
