tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
000,    524288,       1,    0.199828,   20.000000,    0.271221,    0.255154,    0.009108,    0.005638,    0.261918,    0.507661,    0.240924,    0.243385,         1,         1048576,000,000,000001
001,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003720,    0.000000,    0.255150,    0.000000,    0.000000,         0,         1048576,000,000,000001
002,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002317,    0.000000,    0.255487,    0.000000,    0.000000,         0,         1048576,000,000,000001
003,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003317,    0.000000,    0.252333,    0.000000,    0.000000,         0,         1048576,000,000,000001
004,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003383,    0.000000,    0.253957,    0.000000,    0.000000,         0,         1048576,000,000,000001
005,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003313,    0.000000,    0.254233,    0.000000,    0.000000,         0,         1048576,000,000,000001
006,1651769344,    6300, 1734.878906,   20.000000,16542.931641, 1605.303345,14946.082031,   14.399616, 1596.034424, 1590.042847, 1528.211426, 1524.204956,      6300,         1048576,000,000,000001
007,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003483,    0.000000,    0.253910,    0.000000,    0.000000,         0,         1048576,000,000,000001
008,1661992960,    6339, 1817.362305,   20.000000,16527.902344, 1647.836792,14892.155273,   15.291480, 1634.947632, 1631.294067, 1554.613281, 1552.675293,      6340,         1048576,000,000,000001
009,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003320,    0.000000,    0.256537,    0.000000,    0.000000,         0,         1048576,000,000,000001
010,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003327,    0.000000,    0.256270,    0.000000,    0.000000,         0,         1048576,000,000,000001
011,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003407,    0.000000,    0.257523,    0.000000,    0.000000,         0,         1048576,000,000,000001
012,1625554944,    6200, 1781.061035,   20.000000,16342.289062, 1601.286133,14749.963867,   14.214646, 1591.391113, 1586.216064, 1515.732056, 1512.366455,      6200,         1048576,000,000,000001
013,1625554944,    6200, 1778.507568,   20.000000,16423.556641, 1602.204102,14829.475586,   14.290631, 1593.181885, 1587.066895, 1516.309326, 1512.386719,      6200,         1048576,000,000,000001
014,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003450,    0.000000,    0.257960,    0.000000,    0.000000,         0,         1048576,000,000,000001
015,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003200,    0.000000,    0.258283,    0.000000,    0.000000,         0,         1048576,000,000,000001
000, 970981376,    3703, 1021.964722,   20.000000,18030.396484,  943.483398,17092.361328,    8.464722,  937.801147,  934.566284,  898.421143,  895.511353,      3704,         1048576,000,001,000001
001,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002190,    0.000000,    0.251977,    0.000000,    0.000000,         0,         1048576,000,001,000001
