tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,        67,      67,    0.010307
001,        68,      68,    0.011860
002,        66,      66,    0.011570
003,        57,      57,    0.009913
004,        66,      66,    0.011747
005,        59,      59,    0.010090
006,        53,      53,    0.010060
007,        63,      63,    0.010427
008,        69,      69,    0.012577
009,        68,      68,    0.011273
010,        73,      73,    0.014437
011,        72,      72,    0.011030
012,        71,      71,    0.012420
013,        63,      63,    0.009673
014,        70,      70,    0.012792
015,        66,      66,    0.009930
016,        67,      67,    0.010663
017,        62,      62,    0.009730
018,        66,      66,    0.012857
019,        63,      63,    0.008807
020,        67,      67,    0.010350
021,        69,      69,    0.010957
022,        69,      69,    0.011103
023,        71,      71,    0.012680
024,        70,      70,    0.012023
025,        71,      71,    0.011587
026,        69,      69,    0.011893
027,        55,      55,    0.010030
028,        65,      65,    0.012850
-------------------------------------------------------------------------------------------------------

RUN 1
000,        50,      50,    0.008624
001,        56,      56,    0.009707
002,        61,      61,    0.012197
003,        65,      65,    0.009750
004,        66,      66,    0.011533
005,        61,      61,    0.010727
006,        47,      47,    0.008723
007,        69,      69,    0.010810
008,        67,      67,    0.013520
009,        58,      58,    0.009740
010,        69,      69,    0.013780
011,        68,      68,    0.011127
012,        73,      73,    0.014260
013,        63,      63,    0.009103
014,        73,      73,    0.012790
015,        75,      75,    0.011943
016,        59,      59,    0.011033
017,        60,      60,    0.010167
018,        62,      62,    0.008560
019,        70,      70,    0.010280
020,        56,      56,    0.008913
021,        67,      67,    0.009763
022,        60,      60,    0.008940
023,        60,      60,    0.010397
024,        74,      74,    0.011297
025,        67,      67,    0.011623
026,        60,      60,    0.008970
027,        49,      49,    0.007967
028,        70,      70,    0.011337
-------------------------------------------------------------------------------------------------------

RUN 2
000,        57,      57,    0.009523
001,        53,      53,    0.008600
002,        64,      64,    0.010030
003,        59,      59,    0.009583
004,        56,      56,    0.009577
005,        53,      53,    0.009750
006,        69,      69,    0.010167
007,        61,      61,    0.008237
008,        56,      56,    0.009483
009,        66,      66,    0.011973
010,        66,      66,    0.012662
011,        60,      60,    0.009000
012,        60,      60,    0.011177
013,        65,      65,    0.010237
014,        62,      62,    0.009970
015,        59,      59,    0.009197
016,        64,      64,    0.011507
017,        63,      63,    0.010757
018,        64,      64,    0.009993
019,        63,      63,    0.010860
020,        65,      65,    0.011063
021,        54,      54,    0.008613
022,        65,      65,    0.010523
023,        60,      60,    0.008927
024,        66,      66,    0.013140
025,        60,      60,    0.010917
026,        61,      61,    0.012787
027,        58,      58,    0.010513
028,        68,      68,    0.011630
-------------------------------------------------------------------------------------------------------

RUN 3
000,        70,      70,    0.009910
001,        70,      70,    0.011367
002,        64,      64,    0.012007
003,        69,      69,    0.012113
004,        66,      66,    0.013177
005,        66,      66,    0.009743
006,        53,      53,    0.008183
007,        62,      62,    0.009163
008,        63,      63,    0.011027
009,        60,      60,    0.011227
010,        74,      74,    0.014097
011,        67,      67,    0.011880
012,        54,      54,    0.011147
013,        65,      65,    0.012273
014,        55,      55,    0.009570
015,        71,      71,    0.012277
016,        61,      61,    0.011000
017,        51,      51,    0.008120
018,        72,      72,    0.011307
019,        66,      66,    0.010993
020,        73,      73,    0.010603
021,        50,      50,    0.008467
022,        72,      72,    0.013717
023,        53,      53,    0.009203
024,        67,      67,    0.013320
025,        54,      54,    0.008527
026,        61,      61,    0.010583
027,        71,      71,    0.013373
028,        60,      60,    0.010770
-------------------------------------------------------------------------------------------------------

RUN 4
000,        69,      69,    0.013413
001,        68,      68,    0.009630
002,        69,      69,    0.012070
003,        62,      62,    0.010440
004,        65,      65,    0.009803
005,        69,      69,    0.011350
006,        62,      62,    0.010150
007,        64,      64,    0.009340
008,        67,      67,    0.010843
009,        67,      67,    0.009890
010,        69,      69,    0.011239
011,        62,      62,    0.010583
012,        68,      68,    0.012997
013,        73,      73,    0.014800
014,        73,      73,    0.011610
015,        64,      64,    0.010637
016,        75,      75,    0.012403
017,        66,      66,    0.009693
018,        67,      67,    0.011647
019,        67,      67,    0.011430
020,        66,      66,    0.010353
021,        56,      56,    0.008733
022,        58,      58,    0.011057
023,        62,      62,    0.010097
024,        59,      59,    0.009597
025,        63,      63,    0.009197
026,        63,      63,    0.011297
027,        50,      50,    0.010947
028,        67,      67,    0.014047
-------------------------------------------------------------------------------------------------------

