tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,     20265,   20265,    2.717932
001,     20328,   20328,    3.121672
002,     32248,   32248,    4.349081
003,     18732,   18732,    2.967238
004,     42410,   42410,    6.978638
005,     20691,   20691,    3.680606
006,     34904,   34904,    4.790705
007,     22990,   22990,    3.725609
008,     26795,   26795,    3.547480
009,     28797,   28797,    4.461771
010,     40907,   40907,    5.588622
011,     13382,   13382,    2.192866
012,     32013,   32013,    4.380760
013,     16611,   16611,    2.735133
014,     20950,   20950,    2.908898
015,     25913,   25913,    3.931985
-------------------------------------------------------------------------------------------------------

RUN 1
000,     22220,   22220,    3.683556
001,     15672,   15672,    2.776973
002,     36869,   36869,    5.339318
003,     11949,   11949,    1.899997
004,     25787,   25787,    3.987480
005,     47259,   47259,    7.481263
006,     47894,   47894,    7.193865
007,     18238,   18238,    3.278768
008,     32695,   32695,    4.173604
009,     21363,   21363,    3.712919
010,     31068,   31068,    4.597334
011,     11435,   11435,    1.871586
012,     28631,   28631,    3.944349
013,     22819,   22819,    3.769190
014,     28944,   28944,    4.115142
015,     14116,   14116,    2.271807
-------------------------------------------------------------------------------------------------------

RUN 2
000,     20684,   20684,    2.690288
001,     14192,   14192,    2.597968
002,     40254,   40254,    5.998637
003,     24880,   24880,    4.862354
004,     34389,   34389,    5.603269
005,     21613,   21613,    4.107511
006,     34940,   34940,    5.069026
007,     29109,   29109,    4.985724
008,     32446,   32446,    5.107449
009,     13465,   13465,    2.657644
010,     58388,   58388,    8.877202
011,     14043,   14043,    2.833420
012,     30691,   30691,    3.929076
013,     15883,   15883,    2.693159
014,     23221,   23221,    2.917824
015,     14310,   14310,    2.782370
-------------------------------------------------------------------------------------------------------

RUN 3
000,     32313,   32313,    4.779723
001,     13291,   13291,    2.618417
002,     25936,   25936,    3.029576
003,     16520,   16520,    3.091780
004,     42219,   42219,    7.264560
005,     10843,   10843,    2.187592
006,     46584,   46584,    6.567369
007,     24516,   24516,    4.012747
008,     23710,   23710,    3.070652
009,     19048,   19048,    3.511395
010,     47104,   47104,    7.462250
011,     17451,   17451,    2.978184
012,     28721,   28721,    3.765482
013,     29194,   29194,    4.957539
014,     29819,   29819,    4.260233
015,     11902,   11902,    2.139162
-------------------------------------------------------------------------------------------------------

RUN 4
000,     19038,   19038,    2.412126
001,     14082,   14082,    2.941306
002,     51441,   51441,    7.011522
003,     17295,   17295,    3.081892
004,     45258,   45258,    7.638862
005,     21993,   21993,    3.850151
006,     44454,   44454,    5.779137
007,     17875,   17875,    3.003113
008,     30919,   30919,    4.032476
009,     16017,   16017,    3.140298
010,     43910,   43910,    6.630358
011,     11047,   11047,    2.080915
012,     24416,   24416,    3.073134
013,     20999,   20999,    3.961831
014,     24926,   24926,    3.588042
015,     17373,   17373,    3.198813
-------------------------------------------------------------------------------------------------------

