tid,lock_impl_time(ms)
RUN 0
001, 17504.346
002, 17620.047
004, 17483.867
003, 17671.195
005, 17675.314
006, 17659.762
007, 17682.123
010, 17703.947
008, 17670.877
009, 17560.879
011, 17604.250
012, 17562.391
013, 17690.713
014, 17538.982
015, 17540.303
016, 17596.316
-----------------------------------------------------------------------------------------------

RUN 1
001, 17528.273
002, 17640.893
004, 17529.076
003, 17630.395
005, 17656.596
006, 17696.115
007, 17705.531
010, 17689.697
008, 17531.143
009, 17475.367
011, 17585.443
012, 17536.498
013, 17652.223
014, 17620.299
015, 17543.031
016, 17635.871
-----------------------------------------------------------------------------------------------

RUN 2
001, 17582.518
002, 17579.996
004, 17608.729
003, 17509.416
005, 17724.244
006, 17615.625
007, 17627.625
010, 17600.395
008, 17522.990
009, 17570.438
011, 17540.164
012, 17584.387
013, 17663.529
014, 17625.293
015, 17639.588
016, 17679.459
-----------------------------------------------------------------------------------------------

RUN 3
001, 17479.934
002, 17604.643
004, 17579.445
003, 17514.268
005, 17722.121
006, 17629.539
007, 17643.549
010, 17605.623
008, 17492.656
009, 17571.273
011, 17606.215
012, 17578.262
013, 17626.266
014, 17661.676
015, 17573.898
016, 17657.176
-----------------------------------------------------------------------------------------------

RUN 4
001, 17516.793
002, 17672.996
004, 17453.736
003, 17526.537
005, 17699.402
006, 17650.072
007, 17497.463
010, 17539.781
008, 17607.707
009, 17640.457
011, 17665.812
012, 17549.025
013, 17634.510
014, 17522.578
015, 17733.939
016, 17658.451
-----------------------------------------------------------------------------------------------

