tid,lock_impl_time(ms)
RUN 0
001, 18133.430
002, 17976.613
003, 17023.031
004, 18162.127
005, 16224.404
006, 18003.516
007, 16829.570
008, 17739.207
009, 17507.557
010, 17220.189
011, 18614.645
012, 16273.708
013, 17015.941
014, 18370.094
015, 17917.150
016, 17461.055
-----------------------------------------------------------------------------------------------

RUN 1
001, 17929.713
002, 18432.133
003, 16612.783
004, 18749.867
005, 17611.979
006, 15509.088
007, 15703.280
008, 18172.572
009, 16881.514
010, 17867.602
011, 18804.639
012, 17166.396
013, 17282.604
014, 17809.225
015, 17325.607
016, 18535.227
-----------------------------------------------------------------------------------------------

RUN 2
001, 17990.971
002, 18582.168
003, 16341.451
004, 17500.791
005, 16982.877
006, 17838.219
007, 16835.787
008, 17181.480
009, 16985.469
010, 18637.945
011, 18568.412
012, 14901.625
013, 17155.463
014, 18396.850
015, 17877.035
016, 18551.209
-----------------------------------------------------------------------------------------------

RUN 3
001, 17029.309
002, 18664.852
003, 17562.467
004, 18357.217
005, 16256.516
006, 18854.461
007, 15750.195
008, 17639.902
009, 17731.107
010, 18065.770
011, 18208.467
012, 15774.667
013, 17310.965
014, 17079.395
015, 17331.828
016, 18803.018
-----------------------------------------------------------------------------------------------

RUN 4
001, 18213.693
002, 18590.098
003, 15347.456
004, 18250.463
005, 16010.015
006, 17799.230
007, 15942.847
008, 18246.512
009, 17112.145
010, 18379.902
011, 18863.842
012, 16108.423
013, 17748.957
014, 17878.809
015, 17646.146
016, 18264.500
-----------------------------------------------------------------------------------------------

