tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,   2228614, 2228614,  253.110535
001,   2092199, 2092199,  247.834000
002,   2199107, 2199107,  252.041519
003,   2138121, 2138121,  247.263702
004,   2187190, 2187190,  254.612289
005,   2145244, 2145244,  248.618057
006,   2242448, 2242448,  252.233337
007,   2103728, 2103728,  246.538910
008,   2216324, 2216324,  251.661407
009,   2151060, 2151060,  246.013870
010,   2220983, 2220983,  263.622467
011,   2097646, 2097646,  274.755371
012,   2193566, 2193566,  291.430695
013,   2119519, 2119519,  290.157501
014,   2231844, 2231844,  299.761810
015,   2153354, 2153354,  279.998199
-------------------------------------------------------------------------------------------------------

RUN 1
000,   2206479, 2206479,  252.541809
001,   2150000, 2150000,  245.354965
002,   2200714, 2200714,  251.353821
003,   2118227, 2118227,  248.955444
004,   2203304, 2203304,  252.727310
005,   2115035, 2115035,  250.899384
006,   2182697, 2182697,  253.101807
007,   2138598, 2138598,  244.715469
008,   2199653, 2199653,  252.649704
009,   2122190, 2122190,  249.290298
010,   2226097, 2226097,  262.145599
011,   2158612, 2158612,  271.449249
012,   2191122, 2191122,  291.074036
013,   2143371, 2143371,  290.194946
014,   2191390, 2191390,  300.568298
015,   2170537, 2170537,  279.268311
-------------------------------------------------------------------------------------------------------

RUN 2
000,   2191923, 2191923,  252.885300
001,   2115216, 2115216,  246.582855
002,   2219874, 2219874,  252.176102
003,   2094650, 2094650,  250.699127
004,   2227761, 2227761,  252.234314
005,   2126945, 2126945,  249.517227
006,   2223226, 2223226,  250.744797
007,   2111062, 2111062,  247.970718
008,   2204237, 2204237,  252.782211
009,   2132539, 2132539,  247.601700
010,   2178636, 2178636,  265.270172
011,   2129882, 2129882,  272.412781
012,   2224028, 2224028,  290.678986
013,   2097661, 2097661,  293.450775
014,   2172396, 2172396,  299.452545
015,   2116593, 2116593,  281.998322
-------------------------------------------------------------------------------------------------------

RUN 3
000,   2185728, 2185728,  255.319870
001,   2132805, 2132805,  244.482635
002,   2233281, 2233281,  251.441116
003,   2136542, 2136542,  246.800537
004,   2257977, 2257977,  250.185150
005,   2103540, 2103540,  248.798874
006,   2174190, 2174190,  254.369339
007,   2088152, 2088152,  245.904526
008,   2187054, 2187054,  253.192581
009,   2141037, 2141037,  245.419708
010,   2202490, 2202490,  265.405670
011,   2126332, 2126332,  272.242065
012,   2194154, 2194154,  291.249725
013,   2129308, 2129308,  291.130066
014,   2183790, 2183790,  299.733032
015,   2108852, 2108852,  280.192413
-------------------------------------------------------------------------------------------------------

RUN 4
000,   2215845, 2215845,  254.283630
001,   2105989, 2105989,  245.335785
002,   2243602, 2243602,  252.289307
003,   2082209, 2082209,  249.241119
004,   2225000, 2225000,  251.699631
005,   2103415, 2103415,  248.764526
006,   2199563, 2199563,  252.847092
007,   2084709, 2084709,  246.300644
008,   2210066, 2210066,  253.330933
009,   2107448, 2107448,  246.195145
010,   2216902, 2216902,  264.842224
011,   2104478, 2104478,  270.616516
012,   2241506, 2241506,  289.224976
013,   2082300, 2082300,  290.959320
014,   2214067, 2214067,  299.147522
015,   2142191, 2142191,  278.622406
-------------------------------------------------------------------------------------------------------

