tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B),lat_lock_hold(ms),lat_wait_acq(ms),lat_wait_rel(ms)
RUN 0
000,   1431552,   22368, 2464.097168,   20.000000,37532.953125, 2444.520020,          262144,    0.000000,    0.000000,    0.000000
000,   1442112,   22533, 2406.955811,   20.000000,37589.707031, 2386.945068,        16777216,    0.000000,    0.000000,    0.000000
000,   1425408,   22272, 2461.665527,   20.000000,37534.941406, 2441.786621,       134217728,    0.000000,    0.000000,    0.000000
001,   1431552,   22368, 2150.879639,   20.000000,37847.089844, 2130.949219,          262144,    0.000000,    0.000000,    0.000000
001,   1442112,   22533, 2273.179443,   20.000000,37724.097656, 2253.190918,        16777216,    0.000000,    0.000000,    0.000000
001,   1425408,   22272, 2183.273926,   20.000000,37814.476562, 2163.252197,       134217728,    0.000000,    0.000000,    0.000000
002,   1431424,   22366, 2373.609375,   20.000000,37623.437500, 2354.252686,          262144,    0.000000,    0.000000,    0.000000
002,   1442112,   22533, 2353.027832,   20.000000,37643.929688, 2332.479980,        16777216,    0.000000,    0.000000,    0.000000
002,   1425408,   22272, 2595.322998,   20.000000,37401.679688, 2575.675537,       134217728,    0.000000,    0.000000,    0.000000
003,   1431552,   22368, 2434.518311,   20.000000,37562.710938, 2414.988281,          262144,    0.000000,    0.000000,    0.000000
003,   1442112,   22533, 2223.314453,   20.000000,37774.273438, 2203.766357,        16777216,    0.000000,    0.000000,    0.000000
003,   1425472,   22273, 2108.738525,   20.000000,37889.597656, 2089.237549,       134217728,    0.000000,    0.000000,    0.000000
004,   1431552,   22368, 2187.050781,   20.000000,37810.179688, 2167.390381,          262144,    0.000000,    0.000000,    0.000000
004,   1442112,   22533, 2414.035889,   20.000000,37582.636719, 2394.083984,        16777216,    0.000000,    0.000000,    0.000000
004,   1425408,   22272, 2316.081787,   20.000000,37681.304688, 2296.528320,       134217728,    0.000000,    0.000000,    0.000000
005,   1431552,   22368, 2267.251953,   20.000000,37729.421875, 2247.077148,          262144,    0.000000,    0.000000,    0.000000
005,   1442176,   22534, 2290.291748,   20.000000,37707.242188, 2270.028076,        16777216,    0.000000,    0.000000,    0.000000
005,   1425408,   22272, 2378.190186,   20.000000,37618.679688, 2357.972168,       134217728,    0.000000,    0.000000,    0.000000
006,   1431552,   22368, 2468.633545,   20.000000,37529.296875, 2447.911377,          262144,    0.000000,    0.000000,    0.000000
006,   1441280,   22520, 2354.273438,   20.000000,37642.804688, 2333.660400,        16777216,    0.000000,    0.000000,    0.000000
006,   1425280,   22270, 2477.709717,   20.000000,37518.640625, 2457.605225,       134217728,    0.000000,    0.000000,    0.000000
007,   1431552,   22368, 2180.520020,   20.000000,37816.546875, 2159.988281,          262144,    0.000000,    0.000000,    0.000000
007,   1442176,   22534, 2146.943848,   20.000000,37850.238281, 2126.401855,        16777216,    0.000000,    0.000000,    0.000000
007,   1425408,   22272, 2244.171631,   20.000000,37753.074219, 2223.576416,       134217728,    0.000000,    0.000000,    0.000000
008,   1431232,   22363, 2409.415771,   20.000000,37589.003906, 2387.922363,          262144,    0.000000,    0.000000,    0.000000
008,   1442432,   22538, 2448.939209,   20.000000,37549.285156, 2427.350098,        16777216,    0.000000,    0.000000,    0.000000
008,   1425664,   22276, 2354.480957,   20.000000,37644.046875, 2332.974609,       134217728,    0.000000,    0.000000,    0.000000
009,   1431296,   22364, 2305.528076,   20.000000,37693.214844, 2283.953613,          262144,    0.000000,    0.000000,    0.000000
009,   1442688,   22542, 2296.631836,   20.000000,37702.257812, 2275.172607,        16777216,    0.000000,    0.000000,    0.000000
009,   1425728,   22277, 2288.747559,   20.000000,37710.593750, 2266.825928,       134217728,    0.000000,    0.000000,    0.000000
010,   1431296,   22364, 2374.884277,   20.000000,37624.078125, 2353.118652,          262144,    0.000000,    0.000000,    0.000000
010,   1442624,   22541, 2341.811523,   20.000000,37656.980469, 2320.426514,        16777216,    0.000000,    0.000000,    0.000000
010,   1425664,   22276, 2328.396729,   20.000000,37670.050781, 2306.351318,       134217728,    0.000000,    0.000000,    0.000000
011,   1431232,   22363, 2299.356934,   20.000000,37699.750000, 2277.596191,          262144,    0.000000,    0.000000,    0.000000
011,   1442624,   22541, 2300.237305,   20.000000,37698.113281, 2278.598633,        16777216,    0.000000,    0.000000,    0.000000
011,   1425728,   22277, 2323.849121,   20.000000,37675.187500, 2301.767578,       134217728,    0.000000,    0.000000,    0.000000
012,   1431168,   22362, 2326.518799,   20.000000,37672.257812, 2304.595947,          262144,    0.000000,    0.000000,    0.000000
012,   1442560,   22540, 2375.603760,   20.000000,37623.691406, 2354.230713,        16777216,    0.000000,    0.000000,    0.000000
012,   1425472,   22273, 2359.175293,   20.000000,37640.390625, 2337.072754,       134217728,    0.000000,    0.000000,    0.000000
013,   1431296,   22364, 2369.565430,   20.000000,37628.867188, 2347.644287,          262144,    0.000000,    0.000000,    0.000000
013,   1442688,   22542, 2350.128418,   20.000000,37648.527344, 2328.440430,        16777216,    0.000000,    0.000000,    0.000000
013,   1425728,   22277, 2625.745361,   20.000000,37373.121094, 2603.342773,       134217728,    0.000000,    0.000000,    0.000000
014,   1431296,   22364, 2311.125732,   20.000000,37687.898438, 2289.669189,          262144,    0.000000,    0.000000,    0.000000
014,   1441472,   22523, 2396.773193,   20.000000,37602.109375, 2375.438721,        16777216,    0.000000,    0.000000,    0.000000
014,   1425728,   22277, 2389.721924,   20.000000,37609.113281, 2367.270508,       134217728,    0.000000,    0.000000,    0.000000
015,   1431296,   22364, 2368.196533,   20.000000,37630.714844, 2346.566162,          262144,    0.000000,    0.000000,    0.000000
015,   1442688,   22542, 2293.412354,   20.000000,37705.238281, 2271.867920,        16777216,    0.000000,    0.000000,    0.000000
015,   1425664,   22276, 2599.416260,   20.000000,37398.578125, 2577.934082,       134217728,    0.000000,    0.000000,    0.000000
-------------------------------------------------------------------------------------------------------

RUN 1
000,   1441664,   22526, 2359.808105,   20.000000,37637.390625, 2339.850342,          262144,    0.000000,    0.000000,    0.000000
000,   1457280,   22770, 2303.463623,   20.000000,37693.050781, 2283.090820,        16777216,    0.000000,    0.000000,    0.000000
000,   1444096,   22564, 2293.365234,   20.000000,37704.492188, 2273.265137,       134217728,    0.000000,    0.000000,    0.000000
001,   1441664,   22526, 2183.236328,   20.000000,37815.933594, 2162.822754,          262144,    0.000000,    0.000000,    0.000000
001,   1457280,   22770, 2203.610352,   20.000000,37794.378906, 2183.008057,        16777216,    0.000000,    0.000000,    0.000000
001,   1444096,   22564, 2207.774658,   20.000000,37791.292969, 2187.539062,       134217728,    0.000000,    0.000000,    0.000000
002,   1441664,   22526, 2540.964111,   20.000000,37457.117188, 2521.500488,          262144,    0.000000,    0.000000,    0.000000
002,   1457280,   22770, 2423.668213,   20.000000,37573.449219, 2403.257080,        16777216,    0.000000,    0.000000,    0.000000
002,   1444032,   22563, 2304.364746,   20.000000,37693.097656, 2283.812744,       134217728,    0.000000,    0.000000,    0.000000
003,   1441664,   22526, 2264.272217,   20.000000,37734.488281, 2244.260986,          262144,    0.000000,    0.000000,    0.000000
003,   1457280,   22770, 2142.194336,   20.000000,37855.394531, 2121.724609,        16777216,    0.000000,    0.000000,    0.000000
003,   1444096,   22564, 2202.062500,   20.000000,37796.628906, 2181.775879,       134217728,    0.000000,    0.000000,    0.000000
004,   1441664,   22526, 2414.455811,   20.000000,37583.722656, 2394.875000,          262144,    0.000000,    0.000000,    0.000000
004,   1457216,   22769, 2238.271240,   20.000000,37758.730469, 2218.201172,        16777216,    0.000000,    0.000000,    0.000000
004,   1444032,   22563, 2268.362549,   20.000000,37729.886719, 2248.229004,       134217728,    0.000000,    0.000000,    0.000000
005,   1441664,   22526, 2523.121826,   20.000000,37474.707031, 2502.604004,          262144,    0.000000,    0.000000,    0.000000
005,   1457344,   22771, 2340.668701,   20.000000,37657.031250, 2319.851318,        16777216,    0.000000,    0.000000,    0.000000
005,   1444096,   22564, 2384.552979,   20.000000,37613.664062, 2364.178467,       134217728,    0.000000,    0.000000,    0.000000
006,   1441664,   22526, 2219.148682,   20.000000,37778.199219, 2198.852295,          262144,    0.000000,    0.000000,    0.000000
006,   1457280,   22770, 2398.683105,   20.000000,37598.160156, 2378.079590,        16777216,    0.000000,    0.000000,    0.000000
006,   1444032,   22563, 2249.572998,   20.000000,37747.289062, 2229.219727,       134217728,    0.000000,    0.000000,    0.000000
007,   1441664,   22526, 2110.608643,   20.000000,37887.636719, 2089.659424,          262144,    0.000000,    0.000000,    0.000000
007,   1457280,   22770, 2256.334229,   20.000000,37741.648438, 2235.238281,        16777216,    0.000000,    0.000000,    0.000000
007,   1444096,   22564, 2216.866455,   20.000000,37782.000000, 2195.759033,       134217728,    0.000000,    0.000000,    0.000000
008,   1442368,   22537, 2465.773926,   20.000000,37532.042969, 2443.830078,          262144,    0.000000,    0.000000,    0.000000
008,   1456896,   22764, 2383.677979,   20.000000,37615.617188, 2361.824707,        16777216,    0.000000,    0.000000,    0.000000
008,   1444544,   22571, 2715.456299,   20.000000,37282.175781, 2693.707764,       134217728,    0.000000,    0.000000,    0.000000
009,   1442240,   22535, 2307.028809,   20.000000,37691.074219, 2285.276855,          262144,    0.000000,    0.000000,    0.000000
009,   1456832,   22763, 2324.646729,   20.000000,37673.832031, 2302.463623,        16777216,    0.000000,    0.000000,    0.000000
009,   1444608,   22572, 2307.296143,   20.000000,37690.777344, 2285.309326,       134217728,    0.000000,    0.000000,    0.000000
010,   1442368,   22537, 2367.817627,   20.000000,37630.378906, 2345.847168,          262144,    0.000000,    0.000000,    0.000000
010,   1456832,   22763, 2383.664307,   20.000000,37614.816406, 2361.659912,        16777216,    0.000000,    0.000000,    0.000000
010,   1444608,   22572, 2349.002441,   20.000000,37649.156250, 2326.438965,       134217728,    0.000000,    0.000000,    0.000000
011,   1442368,   22537, 2333.177490,   20.000000,37664.546875, 2311.354248,          262144,    0.000000,    0.000000,    0.000000
011,   1456896,   22764, 2353.386719,   20.000000,37645.781250, 2331.554443,        16777216,    0.000000,    0.000000,    0.000000
011,   1444544,   22571, 2311.961426,   20.000000,37685.519531, 2290.717285,       134217728,    0.000000,    0.000000,    0.000000
012,   1442304,   22536, 2357.941162,   20.000000,37639.832031, 2336.151855,          262144,    0.000000,    0.000000,    0.000000
012,   1456896,   22764, 2369.167480,   20.000000,37629.855469, 2347.331543,        16777216,    0.000000,    0.000000,    0.000000
012,   1444544,   22571, 2334.199951,   20.000000,37664.222656, 2312.556152,       134217728,    0.000000,    0.000000,    0.000000
013,   1442304,   22536, 2401.943359,   20.000000,37595.574219, 2380.227783,          262144,    0.000000,    0.000000,    0.000000
013,   1456896,   22764, 2389.059570,   20.000000,37610.007812, 2367.176514,        16777216,    0.000000,    0.000000,    0.000000
013,   1444544,   22571, 2332.354980,   20.000000,37665.093750, 2310.141113,       134217728,    0.000000,    0.000000,    0.000000
014,   1442368,   22537, 2414.169678,   20.000000,37583.464844, 2392.338623,          262144,    0.000000,    0.000000,    0.000000
014,   1456832,   22763, 2336.846680,   20.000000,37661.660156, 2315.360596,        16777216,    0.000000,    0.000000,    0.000000
014,   1444544,   22571, 2320.809814,   20.000000,37676.824219, 2299.424316,       134217728,    0.000000,    0.000000,    0.000000
015,   1442304,   22536, 2328.656738,   20.000000,37668.121094, 2306.861816,          262144,    0.000000,    0.000000,    0.000000
015,   1456832,   22763, 2400.663574,   20.000000,37597.210938, 2378.480713,        16777216,    0.000000,    0.000000,    0.000000
015,   1444544,   22571, 2303.778809,   20.000000,37693.417969, 2282.073486,       134217728,    0.000000,    0.000000,    0.000000
-------------------------------------------------------------------------------------------------------

