tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B),lat_lock_hold(ms),lat_wait_acq(ms),lat_wait_rel(ms)
RUN 0
000,   1348416,   21069, 2336.280762,   20.000000,37661.089844, 2317.178223,          262144,    0.000000,    0.000000,    0.000000
000,   1353344,   21146, 2397.389648,   20.000000,37599.843750, 2378.265137,        16777216,    0.000000,    0.000000,    0.000000
000,   1388032,   21688, 2294.168213,   20.000000,37702.691406, 2274.392822,       134217728,    0.000000,    0.000000,    0.000000
001,   1348416,   21069, 2118.318604,   20.000000,37878.351562, 2098.746338,          262144,    0.000000,    0.000000,    0.000000
001,   1353344,   21146, 2175.726318,   20.000000,37821.242188, 2154.546143,        16777216,    0.000000,    0.000000,    0.000000
001,   1388096,   21689, 2160.122070,   20.000000,37837.296875, 2133.038818,       134217728,    0.000000,    0.000000,    0.000000
002,   1348416,   21069, 2283.795654,   20.000000,37713.343750, 2262.730469,          262144,    0.000000,    0.000000,    0.000000
002,   1353344,   21146, 2255.482666,   20.000000,37740.917969, 2236.138428,        16777216,    0.000000,    0.000000,    0.000000
002,   1388032,   21688, 2640.575684,   20.000000,37356.187500, 2620.489258,       134217728,    0.000000,    0.000000,    0.000000
003,   1348416,   21069, 2179.015625,   20.000000,37819.160156, 2157.544189,          262144,    0.000000,    0.000000,    0.000000
003,   1353344,   21146, 2194.174561,   20.000000,37802.968750, 2171.983154,        16777216,    0.000000,    0.000000,    0.000000
003,   1388032,   21688, 2180.095703,   20.000000,37816.949219, 2160.514893,       134217728,    0.000000,    0.000000,    0.000000
004,   1348480,   21070, 2191.578125,   20.000000,37806.617188, 2172.485596,          262144,    0.000000,    0.000000,    0.000000
004,   1353344,   21146, 2166.811279,   20.000000,37830.140625, 2147.627686,        16777216,    0.000000,    0.000000,    0.000000
004,   1388032,   21688, 2182.740479,   20.000000,37814.207031, 2160.542725,       134217728,    0.000000,    0.000000,    0.000000
005,   1348480,   21070, 2119.866211,   20.000000,37877.976562, 2098.751709,          262144,    0.000000,    0.000000,    0.000000
005,   1353344,   21146, 2087.180664,   20.000000,37910.171875, 2064.272949,        16777216,    0.000000,    0.000000,    0.000000
005,   1388096,   21689, 2131.598389,   20.000000,37866.136719, 2106.192871,       134217728,    0.000000,    0.000000,    0.000000
006,   1348416,   21069, 2288.581299,   20.000000,37708.457031, 2262.590332,          262144,    0.000000,    0.000000,    0.000000
006,   1353344,   21146, 2228.482666,   20.000000,37768.605469, 2206.455322,        16777216,    0.000000,    0.000000,    0.000000
006,   1388032,   21688, 2449.271973,   20.000000,37547.175781, 2426.776611,       134217728,    0.000000,    0.000000,    0.000000
007,   1348416,   21069, 2152.263916,   20.000000,37845.218750, 2130.232422,          262144,    0.000000,    0.000000,    0.000000
007,   1353344,   21146, 2112.510254,   20.000000,37885.613281, 2092.811523,        16777216,    0.000000,    0.000000,    0.000000
007,   1388032,   21688, 2157.822266,   20.000000,37839.570312, 2137.771973,       134217728,    0.000000,    0.000000,    0.000000
008,   1348416,   21069, 2313.693848,   20.000000,37683.734375, 2290.513672,          262144,    0.000000,    0.000000,    0.000000
008,   1353344,   21146, 2313.866699,   20.000000,37683.750000, 2289.406494,        16777216,    0.000000,    0.000000,    0.000000
008,   1388096,   21689, 2379.492676,   20.000000,37619.222656, 2358.885010,       134217728,    0.000000,    0.000000,    0.000000
009,   1348416,   21069, 2184.082031,   20.000000,37813.898438, 2161.428467,          262144,    0.000000,    0.000000,    0.000000
009,   1353408,   21147, 2201.013916,   20.000000,37797.648438, 2178.607178,        16777216,    0.000000,    0.000000,    0.000000
009,   1388032,   21688, 2191.787109,   20.000000,37805.898438, 2170.853760,       134217728,    0.000000,    0.000000,    0.000000
010,   1348416,   21069, 2345.303955,   20.000000,37653.207031, 2322.871094,          262144,    0.000000,    0.000000,    0.000000
010,   1353344,   21146, 2283.918457,   20.000000,37714.726562, 2261.221436,        16777216,    0.000000,    0.000000,    0.000000
010,   1388032,   21688, 2291.135986,   20.000000,37706.164062, 2267.702637,       134217728,    0.000000,    0.000000,    0.000000
011,   1348416,   21069, 2237.987061,   20.000000,37759.410156, 2211.445312,          262144,    0.000000,    0.000000,    0.000000
011,   1353344,   21146, 2358.197754,   20.000000,37640.390625, 2335.103027,        16777216,    0.000000,    0.000000,    0.000000
011,   1388096,   21689, 2218.578369,   20.000000,37780.175781, 2197.788086,       134217728,    0.000000,    0.000000,    0.000000
012,   1348416,   21069, 2261.390625,   20.000000,37736.699219, 2240.080322,          262144,    0.000000,    0.000000,    0.000000
012,   1353344,   21146, 2340.514893,   20.000000,37658.621094, 2317.604492,        16777216,    0.000000,    0.000000,    0.000000
012,   1388096,   21689, 2223.976807,   20.000000,37774.675781, 2199.765381,       134217728,    0.000000,    0.000000,    0.000000
013,   1348352,   21068, 2243.938232,   20.000000,37752.898438, 2223.134521,          262144,    0.000000,    0.000000,    0.000000
013,   1353408,   21147, 2276.070312,   20.000000,37722.687500, 2255.162354,        16777216,    0.000000,    0.000000,    0.000000
013,   1388032,   21688, 2214.854492,   20.000000,37782.609375, 2193.152344,       134217728,    0.000000,    0.000000,    0.000000
