tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,     68984,   68984,    1.705317,   30.000000,26738.724609, 3257.004395,               0
001,     68984,   68984,    1.661762,   30.000000,26078.230469, 3916.073730,               0
002,     68985,   68985,    1.669661,   30.000000,26597.443359, 3398.017578,               0
003,     68984,   68984,    1.624033,   30.000000,26844.773438, 3149.741943,               0
004,     68968,   68968,    1.666226,   30.000000,26232.134766, 3760.875977,               0
005,     68968,   68968,    1.661419,   30.000000,26700.625000, 3292.312988,               0
006,     68968,   68968,    1.703090,   30.000000,26680.595703, 3314.349609,               0
007,     68967,   68967,    1.510089,   30.000000,26437.498047, 3556.700928,               0
-------------------------------------------------------------------------------------------------------

RUN 1
000,     68230,   68230,    1.679241,   30.000000,26765.347656, 3230.272461,               0
001,     68227,   68227,    1.657446,   30.000000,26120.003906, 3874.017822,               0
002,     68229,   68229,    1.658086,   30.000000,26651.039062, 3344.262939,               0
003,     68227,   68227,    1.591646,   30.000000,26984.169922, 3010.084717,               0
004,     68217,   68217,    1.624925,   30.000000,26266.726562, 3727.135498,               0
005,     68217,   68217,    1.614903,   30.000000,26397.152344, 3596.215088,               0
006,     68217,   68217,    1.670369,   30.000000,26588.925781, 3405.958740,               0
007,     68217,   68217,    1.495381,   30.000000,26278.041016, 3716.353760,               0
-------------------------------------------------------------------------------------------------------

RUN 2
000,     69086,   69086,    1.708249,   30.000000,26871.214844, 3124.251953,               0
001,     69086,   69086,    1.672485,   30.000000,26050.392578, 3943.734619,               0
002,     69086,   69086,    1.692949,   30.000000,26762.203125, 3233.150146,               0
003,     69086,   69086,    1.590194,   30.000000,26956.820312, 3037.506592,               0
004,     69085,   69085,    1.650203,   30.000000,26239.890625, 3753.904541,               0
005,     69084,   69084,    1.601493,   30.000000,26412.003906, 3581.426758,               0
006,     69084,   69084,    1.686899,   30.000000,26559.697266, 3435.187744,               0
007,     69084,   69084,    1.529882,   30.000000,26196.093750, 3798.301025,               0
-------------------------------------------------------------------------------------------------------

RUN 3
000,     69686,   69686,    1.717167,   30.000000,26821.195312, 3174.562988,               0
001,     69686,   69686,    1.680081,   30.000000,26021.607422, 3972.625000,               0
002,     69686,   69686,    1.690724,   30.000000,26547.427734, 3448.004883,               0
003,     69686,   69686,    1.602004,   30.000000,26746.794922, 3247.814697,               0
004,     69667,   69667,    1.654848,   30.000000,26417.576172, 3575.662842,               0
005,     69667,   69667,    1.665773,   30.000000,26462.775391, 3530.138672,               0
006,     69667,   69667,    1.720145,   30.000000,26673.414062, 3321.382568,               0
007,     69668,   69668,    1.548905,   30.000000,26671.345703, 3322.718994,               0
-------------------------------------------------------------------------------------------------------

RUN 4
000,     69968,   69968,    1.729676,   30.000000,26668.914062, 3326.783203,               0
001,     69968,   69968,    1.689113,   30.000000,25989.033203, 4005.217285,               0
002,     69968,   69968,    1.698382,   30.000000,26626.714844, 3368.668701,               0
003,     69968,   69968,    1.609679,   30.000000,26752.417969, 3242.228271,               0
004,     69941,   69941,    1.688468,   30.000000,26497.710938, 3495.580078,               0
005,     69941,   69941,    1.673918,   30.000000,26693.392578, 3299.538574,               0
006,     69941,   69941,    1.729063,   30.000000,26657.902344, 3336.813965,               0
007,     69941,   69941,    1.563195,   30.000000,26610.632812, 3383.451416,               0
-------------------------------------------------------------------------------------------------------

