tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,     70621,   70621,    1.747571,   30.000000,26748.119141, 3247.263672,               0
001,     70620,   70620,    1.669948,   30.000000,25819.062500, 4174.653320,               0
002,     70621,   70621,    1.622516,   30.000000,26161.736328, 3832.966797,               0
003,     70621,   70621,    1.649553,   30.000000,26692.570312, 3301.803223,               0
004,     70620,   70620,    1.625412,   30.000000,26544.867188, 3448.879150,               0
005,     70621,   70621,    1.625273,   30.000000,26626.236328, 3368.467529,               0
006,     70620,   70620,    1.749925,   30.000000,26685.101562, 3310.177490,               0
007,     70620,   70620,    1.622939,   30.000000,26568.847656, 3425.852051,               0
-------------------------------------------------------------------------------------------------------

RUN 1
000,     69821,   69821,    1.735475,   30.000000,26714.751953, 3280.588867,               0
001,     69822,   69822,    1.660849,   30.000000,25856.035156, 4138.198242,               0
002,     69821,   69821,    1.598512,   30.000000,26640.154297, 3354.713623,               0
003,     69822,   69822,    1.604452,   30.000000,26941.951172, 3052.384521,               0
004,     69822,   69822,    1.605216,   30.000000,26425.531250, 3568.925537,               0
005,     69821,   69821,    1.561564,   30.000000,25881.628906, 4112.882324,               0
006,     69822,   69822,    1.732085,   30.000000,26813.435547, 3182.069092,               0
007,     69822,   69822,    1.601737,   30.000000,26563.785156, 3431.201904,               0
-------------------------------------------------------------------------------------------------------

RUN 2
000,     70996,   70996,    1.757643,   30.000000,26638.041016, 3357.396973,               0
001,     70996,   70996,    1.662333,   30.000000,25877.312500, 4116.669922,               0
002,     70996,   70996,    1.623007,   30.000000,26585.312500, 3409.641846,               0
003,     70996,   70996,    1.634672,   30.000000,26860.148438, 3133.929688,               0
004,     70997,   70997,    1.620738,   30.000000,26533.966797, 3459.999756,               0
005,     70996,   70996,    1.605908,   30.000000,25831.509766, 4163.116211,               0
006,     70996,   70996,    1.754125,   30.000000,26743.691406, 3251.421143,               0
007,     70997,   70997,    1.633977,   30.000000,26521.066406, 3473.997070,               0
-------------------------------------------------------------------------------------------------------

RUN 3
000,     71752,   71752,    1.776786,   30.000000,26698.556641, 3296.813965,               0
001,     71752,   71752,    1.672856,   30.000000,25636.029297, 4357.467773,               0
002,     71752,   71752,    1.658188,   30.000000,26281.105469, 3713.355469,               0
003,     71752,   71752,    1.643362,   30.000000,26838.783203, 3155.326172,               0
004,     71753,   71753,    1.639091,   30.000000,26517.712891, 3476.693848,               0
005,     71752,   71752,    1.643981,   30.000000,26525.464844, 3468.775879,               0
006,     71753,   71753,    1.796853,   30.000000,26593.259766, 3402.010254,               0
007,     71753,   71753,    1.647715,   30.000000,26363.574219, 3631.405762,               0
-------------------------------------------------------------------------------------------------------

RUN 4
000,     72198,   72198,    1.784644,   30.000000,26546.937500, 3448.247314,               0
001,     72198,   72198,    1.657324,   30.000000,25891.667969, 4102.203613,               0
002,     72198,   72198,    1.656762,   30.000000,26445.189453, 3549.512207,               0
003,     72198,   72198,    1.651640,   30.000000,26615.798828, 3378.078613,               0
004,     72187,   72187,    1.663715,   30.000000,26440.824219, 3553.580566,               0
005,     72198,   72198,    1.653292,   30.000000,26189.345703, 3805.064209,               0
006,     72199,   72199,    1.784852,   30.000000,26692.732422, 3302.550537,               0
007,     72187,   72187,    1.659906,   30.000000,26731.675781, 3263.113281,               0
-------------------------------------------------------------------------------------------------------

