tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,     31457,   31457,    0.777981,   30.000000,28378.130859, 1619.683472,               0
001,     31457,   31457,    0.778065,   30.000000,28427.083984, 1570.438965,               0
002,     31457,   31457,    0.723971,   30.000000,28026.306641, 1970.868652,               0
003,     31457,   31457,    0.782109,   30.000000,28286.230469, 1711.212158,               0
004,     31456,   31456,    0.776873,   30.000000,28432.046875, 1565.200562,               0
005,     31457,   31457,    0.786615,   30.000000,28282.912109, 1714.363037,               0
006,     31457,   31457,    0.776602,   30.000000,28188.279297, 1808.631836,               0
007,     31457,   31457,    0.780077,   30.000000,28294.693359, 1703.459473,               0
008,     31457,   31457,    1.042742,   30.000000,28288.533203, 1709.023193,               0
009,     31457,   31457,    0.894345,   30.000000,28304.394531, 1693.306885,               0
010,     31457,   31457,    0.891958,   30.000000,28145.562500, 1852.406128,               0
011,     31457,   31457,    0.850468,   30.000000,28398.121094, 1599.761597,               0
012,     31457,   31457,    0.832354,   30.000000,28287.603516, 1710.122070,               0
013,     31456,   31456,    0.837365,   30.000000,28268.462891, 1729.185059,               0
014,     31457,   31457,    0.840824,   30.000000,28326.058594, 1672.088379,               0
015,     31456,   31456,    0.862856,   30.000000,28323.447266, 1674.089966,               0
-------------------------------------------------------------------------------------------------------

RUN 1
000,     31040,   31040,    0.798352,   30.000000,28419.138672, 1578.183838,               0
001,     31040,   31040,    0.766845,   30.000000,28353.753906, 1643.784302,               0
002,     31039,   31039,    0.713006,   30.000000,28329.746094, 1667.106079,               0
003,     31040,   31040,    0.766316,   30.000000,28407.328125, 1589.944214,               0
004,     31039,   31039,    0.763492,   30.000000,28442.916016, 1554.298584,               0
005,     31039,   31039,    0.774276,   30.000000,28176.138672, 1821.129395,               0
006,     31039,   31039,    0.767210,   30.000000,28300.261719, 1697.231445,               0
007,     31040,   31040,    0.768194,   30.000000,28342.132812, 1656.153687,               0
008,     31039,   31039,    0.911357,   30.000000,28316.570312, 1680.969482,               0
009,     31040,   31040,    0.827325,   30.000000,28300.060547, 1698.261108,               0
010,     31040,   31040,    0.878429,   30.000000,28286.613281, 1711.456177,               0
011,     31039,   31039,    0.840486,   30.000000,28337.363281, 1660.210571,               0
012,     31039,   31039,    0.835418,   30.000000,28250.332031, 1746.981812,               0
013,     31040,   31040,    0.832148,   30.000000,28237.275391, 1760.975830,               0
014,     31040,   31040,    0.849295,   30.000000,28339.207031, 1658.963745,               0
015,     31039,   31039,    0.847555,   30.000000,28131.726562, 1866.087280,               0
-------------------------------------------------------------------------------------------------------

RUN 2
000,     31060,   31060,    0.766368,   30.000000,28367.175781, 1630.144653,               0
001,     31055,   31055,    0.768237,   30.000000,28346.796875, 1650.839111,               0
002,     31069,   31069,    0.712138,   30.000000,28087.048828, 1910.708496,               0
003,     31060,   31060,    0.766240,   30.000000,28351.804688, 1645.238403,               0
004,     31068,   31068,    0.773299,   30.000000,28472.447266, 1524.836426,               0
005,     31068,   31068,    0.775560,   30.000000,28351.810547, 1645.397949,               0
006,     31061,   31061,    0.767589,   30.000000,28365.646484, 1632.129272,               0
007,     31059,   31059,    0.778222,   30.000000,28410.636719, 1586.900635,               0
008,     31051,   31051,    0.944242,   30.000000,28188.755859, 1809.379028,               0
009,     31060,   31060,    0.832182,   30.000000,28166.060547, 1832.051025,               0
010,     31060,   31060,    0.843792,   30.000000,28367.074219, 1630.831421,               0
011,     31068,   31068,    0.984265,   30.000000,28283.648438, 1713.947632,               0
012,     31068,   31068,    0.904699,   30.000000,28270.222656, 1727.270020,               0
013,     31060,   31060,    0.868722,   30.000000,28396.646484, 1600.799194,               0
014,     31060,   31060,    0.839063,   30.000000,28335.740234, 1661.599854,               0
015,     31069,   31069,    0.897612,   30.000000,28142.529297, 1855.832764,               0
-------------------------------------------------------------------------------------------------------

RUN 3
000,     31340,   31340,    0.777593,   30.000000,28241.162109, 1756.276367,               0
001,     31340,   31340,    0.775268,   30.000000,28381.585938, 1615.886353,               0
002,     31340,   31340,    0.726128,   30.000000,28170.611328, 1826.821533,               0
003,     31341,   31341,    0.780003,   30.000000,28396.208984, 1601.407227,               0
004,     31340,   31340,    0.785924,   30.000000,28461.722656, 1535.478516,               0
005,     31340,   31340,    0.782556,   30.000000,28439.529297, 1557.273804,               0
006,     31340,   31340,    0.774372,   30.000000,28273.287109, 1724.121582,               0
007,     31340,   31340,    0.774237,   30.000000,28357.080078, 1640.804443,               0
008,     31340,   31340,    1.083215,   30.000000,28076.544922, 1920.442017,               0
009,     31340,   31340,    0.883237,   30.000000,28238.347656, 1759.544067,               0
010,     31341,   31341,    0.833263,   30.000000,28340.361328, 1657.980225,               0
011,     31340,   31340,    0.841724,   30.000000,28372.453125, 1625.493530,               0
012,     31339,   31339,    0.869905,   30.000000,28289.187500, 1708.217041,               0
013,     31340,   31340,    0.869769,   30.000000,28322.357422, 1675.359741,               0
014,     31340,   31340,    0.921080,   30.000000,28270.621094, 1726.751953,               0
015,     31340,   31340,    0.850615,   30.000000,28182.255859, 1816.027954,               0
-------------------------------------------------------------------------------------------------------

RUN 4
000,     30923,   30923,    0.767250,   30.000000,28360.046875, 1637.139404,               0
001,     30924,   30924,    0.765720,   30.000000,28317.103516, 1680.704712,               0
002,     30923,   30923,    0.709886,   30.000000,27955.900391, 2041.498047,               0
003,     30924,   30924,    0.771067,   30.000000,28442.375000, 1555.161011,               0
004,     30924,   30924,    0.764207,   30.000000,28406.800781, 1591.257080,               0
005,     30923,   30923,    0.764631,   30.000000,28254.605469, 1742.710205,               0
006,     30923,   30923,    0.764616,   30.000000,28377.363281, 1620.278564,               0
007,     30923,   30923,    0.773359,   30.000000,28371.921875, 1625.519775,               0
008,     30923,   30923,    0.842900,   30.000000,28253.978516, 1743.612671,               0
009,     30923,   30923,    0.834934,   30.000000,28171.914062, 1825.848145,               0
010,     30924,   30924,    0.858534,   30.000000,28365.003906, 1633.443237,               0
011,     30923,   30923,    0.829422,   30.000000,28315.718750, 1682.028442,               0
012,     30923,   30923,    0.833690,   30.000000,28345.785156, 1651.856201,               0
013,     30923,   30923,    0.844163,   30.000000,28349.468750, 1648.678589,               0
014,     30923,   30923,    0.825117,   30.000000,28351.611328, 1645.925415,               0
015,     30923,   30923,    0.837771,   30.000000,28153.675781, 1844.135498,               0
-------------------------------------------------------------------------------------------------------

