tid,lock_impl_time(ms)
RUN 0
003,    68.029
002,    33.636
001,    28.579
004,   218.749
005,    91.020
006,    60.985
008,   134.293
007,   198.333
009,   169.315
010,   130.689
011,   142.079
012,   152.557
013,   144.890
014,    83.942
015,   199.081
016,    55.073
-----------------------------------------------------------------------------------------------

RUN 1
003,    77.946
002,    49.872
001,    49.676
004,   174.111
005,    72.247
006,    44.781
008,   194.184
007,   199.755
009,   100.222
010,   115.992
011,    61.535
012,   128.161
013,   168.645
014,   108.804
015,   118.787
016,   114.544
-----------------------------------------------------------------------------------------------

RUN 2
003,   109.593
002,    68.204
001,    77.407
004,   192.311
005,    54.597
006,    33.113
008,    73.628
007,   213.806
009,    63.900
010,   180.020
011,   191.049
012,   133.322
013,    83.926
014,   113.843
015,   175.026
016,    69.147
-----------------------------------------------------------------------------------------------

RUN 3
003,   146.336
002,   134.835
001,    53.530
004,   162.203
005,    60.805
006,    53.021
008,   147.534
007,   223.477
009,   158.854
010,   104.059
011,   168.121
012,   177.369
013,    68.458
014,    63.633
015,   159.508
016,    50.819
-----------------------------------------------------------------------------------------------

RUN 4
003,   177.791
002,   120.046
001,   136.241
004,   176.867
005,    40.759
006,    25.959
008,   144.389
007,   225.620
009,   132.774
010,   129.182
011,   109.176
012,   182.552
013,    69.905
014,    79.031
015,   102.154
016,    57.402
-----------------------------------------------------------------------------------------------

