tid,lock_impl_time(ms)
RUN 0
002, 26467.047
001, 26706.314
003, 26491.131
004, 26448.322
005, 26539.475
006, 26706.994
007, 26697.688
008, 26720.033
009, 26072.934
010, 26444.717
012, 26018.838
011, 26562.783
013, 26227.010
014, 26404.514
015, 26312.678
016, 26364.637
-----------------------------------------------------------------------------------------------

RUN 1
002, 26392.271
001, 26822.184
003, 26483.293
004, 26680.703
005, 26548.502
006, 26447.695
007, 26528.713
008, 26594.920
009, 26213.932
010, 26168.695
012, 26279.520
011, 26431.520
013, 26249.904
014, 26473.744
015, 26318.846
016, 26408.492
-----------------------------------------------------------------------------------------------

RUN 2
002, 26312.541
001, 26699.287
003, 26358.939
004, 26658.266
005, 26773.510
006, 26574.922
007, 26596.344
008, 26649.234
009, 26315.309
010, 26340.361
012, 26253.559
011, 26484.586
013, 26299.602
014, 26080.424
015, 26351.959
016, 26108.449
-----------------------------------------------------------------------------------------------

RUN 3
002, 26382.631
001, 26725.898
003, 26198.398
004, 26526.186
005, 26856.115
006, 26667.518
007, 26493.951
008, 26742.662
009, 26111.568
010, 26149.621
012, 26200.500
011, 26460.396
013, 26358.723
014, 26294.238
015, 26368.816
016, 26257.693
-----------------------------------------------------------------------------------------------

RUN 4
002, 26434.721
001, 26620.219
003, 26424.367
004, 26691.555
005, 26482.980
006, 26523.121
007, 26464.289
008, 26604.227
009, 26119.943
010, 26156.158
012, 26140.869
011, 26470.291
013, 26380.098
014, 26316.514
015, 26154.953
016, 26340.916
-----------------------------------------------------------------------------------------------

