tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000, 165576705,    5054, 1248.776123,   20.000000,38777.414062,    1.812193,          262144
000, 165937153,     634, 1252.045166,   20.000000,38747.761719,    0.391603,         2097152
000, 165675009,      80, 1255.704590,   20.000000,38744.140625,    0.098643,        16777216
000, 159383553,      20, 1203.366333,   20.000000,38796.476562,    0.064017,        67108864
001, 165576705,    5054, 1247.721436,   20.000000,38778.550781,    1.647987,          262144
001, 165937153,     634, 1252.195679,   20.000000,38747.605469,    0.394943,         2097152
001, 165675009,      80, 1247.636353,   20.000000,38752.207031,    0.092110,        16777216
001, 159383553,      20, 1203.658936,   20.000000,38796.179688,    0.062353,        67108864
002, 165576705,    5054, 1248.159302,   20.000000,38778.046875,    1.612860,          262144
002, 165675009,     633, 1248.124878,   20.000000,38751.652344,    0.408590,         2097152
002, 163577857,      79, 1232.800537,   20.000000,38767.000000,    0.105587,        16777216
002, 167772161,      21, 1344.004272,   20.000000,38655.875000,    0.090060,        67108864
003, 165576705,    5054, 1247.713867,   20.000000,38778.523438,    1.691687,          262144
003, 165675009,     633, 1249.571533,   20.000000,38750.195312,    0.426157,         2097152
003, 165675009,      80, 1247.969604,   20.000000,38751.875000,    0.109747,        16777216
003, 167772161,      21, 1267.180908,   20.000000,38732.707031,    0.080000,        67108864
004, 165576705,    5054, 1247.803589,   20.000000,38778.386719,    1.829913,          262144
004, 165675009,     633, 1249.123413,   20.000000,38750.640625,    0.410453,         2097152
004, 165675009,      80, 1249.131836,   20.000000,38750.707031,    0.156933,        16777216
004, 167772161,      21, 1267.408447,   20.000000,38732.480469,    0.074577,        67108864
005, 165576705,    5054, 1248.155151,   20.000000,38778.093750,    1.659693,          262144
005, 165937153,     634, 1249.997192,   20.000000,38749.804688,    0.435707,         2097152
005, 165675009,      80, 1247.470459,   20.000000,38752.375000,    0.092367,        16777216
005, 167772161,      21, 1266.675049,   20.000000,38733.218750,    0.067343,        67108864
006, 165576705,    5054, 1248.094238,   20.000000,38778.164062,    1.702057,          262144
006, 165937153,     634, 1250.844849,   20.000000,38748.960938,    0.437487,         2097152
006, 165675009,      80, 1256.211304,   20.000000,38743.636719,    0.098007,        16777216
006, 159383553,      20, 1202.885376,   20.000000,38796.941406,    0.063990,        67108864
007, 165576705,    5054, 1247.919312,   20.000000,38778.332031,    1.555217,          262144
007, 165675009,     633, 1248.401611,   20.000000,38751.367188,    0.465033,         2097152
007, 165675009,      80, 1260.362793,   20.000000,38739.476562,    0.095350,        16777216
007, 167772161,      21, 1267.189331,   20.000000,38732.695312,    0.074767,        67108864
008, 165576705,    5054, 1248.020752,   20.000000,38778.238281,    1.430094,          262144
008, 165937153,     634, 1249.674805,   20.000000,38750.125000,    0.422530,         2097152
008, 164568734,      79, 1239.961548,   20.000000,38759.828125,    0.120237,        16777216
008, 159383553,      20, 1221.503418,   20.000000,38778.339844,    0.059513,        67108864
009, 165576705,    5054, 1247.991821,   20.000000,38778.265625,    1.537517,          262144
009, 165675009,     633, 1247.218262,   20.000000,38752.546875,    0.417523,         2097152
009, 165675009,      80, 1259.342407,   20.000000,38740.492188,    0.098100,        16777216
009, 167772161,      21, 1266.927368,   20.000000,38732.949219,    0.087513,        67108864
010, 165576705,    5054, 1247.710815,   20.000000,38778.523438,    1.387133,          262144
010, 165675009,     633, 1249.287598,   20.000000,38750.484375,    0.383340,         2097152
010, 165675009,      80, 1247.659058,   20.000000,38752.183594,    0.102933,        16777216
010, 167772161,      21, 1266.882324,   20.000000,38733.007812,    0.077563,        67108864
011, 165576705,    5054, 1246.847656,   20.000000,38779.394531,    1.471203,          262144
011, 165692899,     633, 1247.854126,   20.000000,38751.914062,    0.427257,         2097152
011, 165675009,      80, 1248.384644,   20.000000,38751.457031,    0.114630,        16777216
011, 167772161,      21, 1267.119995,   20.000000,38732.773438,    0.079217,        67108864
012, 165576705,    5054, 1247.640381,   20.000000,38778.621094,    1.377223,          262144
012, 165675009,     633, 1249.483765,   20.000000,38750.285156,    0.438093,         2097152
