tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,         1,       1,    0.006627,   15.000000,30001.421875,    0.006193,         8388608
000,         1,       1,    0.016473,   15.000000,30000.244141,    0.007240,        67108864
000,         1,       1,    0.014820,   15.000000,30000.353516,    0.007660,       134217728
001,         1,       1,    0.007367,   15.000000,30001.759766,    0.006780,         8388608
001,         1,       1,    0.006340,   15.000000,30000.792969,    0.005900,        67108864
001,         1,       1,    0.007200,   15.000000,30001.158203,    0.006827,       134217728
002,5008303598,     598,29999.773438,   15.000000,    0.157137,    2.688900,         8388608
002,         1,       1,    0.007313,   15.000000,30001.083984,    0.006633,        67108864
002,         1,       1,    0.006313,   15.000000,30001.162109,    0.005927,       134217728
003,         1,       1,    0.008813,   15.000000,30000.380859,    0.007507,         8388608
003,         1,       1,    0.015133,   15.000000,30000.033203,    0.008087,        67108864
003,         1,       1,    0.011787,   15.000000,30000.115234,    0.006153,       134217728
004,         1,       1,    0.006193,   15.000000,30002.021484,    0.005787,         8388608
004,         1,       1,    0.005460,   15.000000,30000.919922,    0.005047,        67108864
004,         1,       1,    0.006153,   15.000000,30000.998047,    0.005740,       134217728
005,         1,       1,    0.009387,   15.000000,30001.646484,    0.007820,         8388608
005,         1,       1,    0.005507,   15.000000,30000.947266,    0.005153,        67108864
005,         1,       1,    0.006493,   15.000000,30000.888672,    0.006187,       134217728
006,         1,       1,    0.005947,   15.000000,30000.322266,    0.005547,         8388608
006,         1,       1,    0.006993,   15.000000,30001.439453,    0.006320,        67108864
006,         1,       1,    0.006633,   15.000000,30001.261719,    0.006220,       134217728
007,         1,       1,    0.008467,   15.000000,30000.777344,    0.007053,         8388608
007,         1,       1,    0.008100,   15.000000,30000.298828,    0.007467,        67108864
007,         1,       1,    0.006487,   15.000000,30000.845703,    0.006113,       134217728
008,         1,       1,    0.007627,   15.000000,30000.646484,    0.007080,         8388608
008,         1,       1,    0.006827,   15.000000,30000.417969,    0.006320,        67108864
008,         1,       1,    0.006847,   15.000000,30000.509766,    0.006447,       134217728
009,         1,       1,    0.007540,   15.000000,30001.980469,    0.006113,         8388608
009,         1,       1,    0.007733,   15.000000,30000.742188,    0.007033,        67108864
009,         1,       1,    0.007493,   15.000000,30000.792969,    0.006880,       134217728
010,         1,       1,    0.010467,   15.000000,30000.128906,    0.004993,         8388608
010,         1,       1,    0.006293,   15.000000,30001.130859,    0.005887,        67108864
010,         1,       1,    0.008733,   15.000000,30001.103516,    0.008087,       134217728
011,         1,       1,    0.006687,   15.000000,30000.695312,    0.006140,         8388608
011,         1,       1,    0.018380,   15.000000,29999.988281,    0.007840,        67108864
011,         1,       1,    0.017113,   15.000000,29999.998047,    0.007767,       134217728
012,         1,       1,    0.008433,   15.000000,30001.832031,    0.006853,         8388608
012,         1,       1,    0.007080,   15.000000,30000.875000,    0.006433,        67108864
012,         1,       1,    0.007880,   15.000000,30000.929688,    0.007273,       134217728
013,         1,       1,    0.007753,   15.000000,30001.714844,    0.006340,         8388608
013,         1,       1,    0.007013,   15.000000,30000.660156,    0.006353,        67108864
013,         1,       1,    0.007387,   15.000000,30000.458984,    0.006773,       134217728
014,         1,       1,    0.008147,   15.000000,30000.261719,    0.007587,         8388608
014,         1,       1,    0.005653,   15.000000,30001.486328,    0.005313,        67108864
014,         1,       1,    0.008007,   15.000000,30001.199219,    0.007400,       134217728
015,         1,       1,    0.007713,   15.000000,30000.582031,    0.007153,         8388608
015,         1,       1,    0.006500,   15.000000,30000.705078,    0.006147,        67108864
015,         1,       1,    0.008087,   15.000000,30000.175781,    0.007480,       134217728
016,         1,       1,    0.004760,   15.000000,30002.066406,    0.004080,         8388608
016,         1,       1,    0.008993,   15.000000,30001.298828,    0.008480,        67108864
016,         1,       1,    0.008367,   15.000000,30000.240234,    0.007707,       134217728
017,         1,       1,    0.033347,   15.000000,30000.052734,    0.010260,         8388608
017,         1,       1,    0.009167,   15.000000,30001.244141,    0.008453,        67108864
017,         1,       1,    0.007973,   15.000000,30001.062500,    0.007640,       134217728
018,         1,       1,    0.008320,   15.000000,30001.248047,    0.006793,         8388608
018,         1,       1,    0.007880,   15.000000,30001.398438,    0.007353,        67108864
018,         1,       1,    0.008420,   15.000000,30000.304688,    0.007340,       134217728
019,         1,       1,    0.008340,   15.000000,30001.906250,    0.006867,         8388608
019,         1,       1,    0.009520,   15.000000,30000.628906,    0.008913,        67108864
019,         1,       1,    0.008393,   15.000000,30000.412109,    0.008033,       134217728
020,         1,       1,    0.007453,   15.000000,30001.285156,    0.006833,         8388608
020,         1,       1,    0.008747,   15.000000,30000.847656,    0.008113,        67108864
020,         1,       1,    0.009867,   15.000000,30000.080078,    0.008667,       134217728
021,         1,       1,    0.006373,   15.000000,30001.345703,    0.005980,         8388608
021,         1,       1,    0.004093,   15.000000,30001.541016,    0.003613,        67108864
021,         1,       1,    0.007847,   15.000000,30000.578125,    0.007340,       134217728
022,         1,       1,    0.008853,   15.000000,30000.212891,    0.007327,         8388608
022,4866201423,      73,29999.878906,   15.000000,    0.071010,    0.808870,        67108864
022,         1,       1,    0.005217,   15.000000,30001.263672,    0.004880,       134217728
023,         1,       1,    0.007467,   15.000000,30001.412109,    0.006067,         8388608
023,         1,       1,    0.004857,   15.000000,30000.500000,    0.004440,        67108864
023,4844658692,      37,29999.902344,   15.000000,    0.039273,    0.407020,       134217728
024,         1,       1,    0.028267,   15.000000,30000.472656,    0.007947,         8388608
024,         1,       1,    0.007460,   15.000000,30001.339844,    0.006960,        67108864
024,         1,       1,    0.008767,   15.000000,30000.755859,    0.008160,       134217728
025,         1,       1,    0.006640,   15.000000,30000.546875,    0.006267,         8388608
025,         1,       1,    0.008460,   15.000000,30000.572266,    0.007827,        67108864
025,         1,       1,    0.007733,   15.000000,30001.564453,    0.007353,       134217728
026,         1,       1,    0.007500,   15.000000,30000.964844,    0.006080,         8388608
026,         1,       1,    0.009007,   15.000000,30001.189453,    0.008467,        67108864
026,         1,       1,    0.009793,   15.000000,30000.695312,    0.009167,       134217728
027,         1,       1,    0.009740,   15.000000,30000.873047,    0.008207,         8388608
027,         1,       1,    0.036753,   15.000000,30000.189453,    0.036013,        67108864
027,         1,       1,    0.008753,   15.000000,30001.507812,    0.008327,       134217728
028,         1,       1,    0.006727,   15.000000,30001.175781,    0.006280,         8388608
028,         1,       1,    0.009180,   15.000000,30000.371094,    0.008587,        67108864
028,         1,       1,    0.004180,   15.000000,30001.736328,    0.003687,       134217728
029,         1,       1,    0.008213,   15.000000,30001.029297,    0.006680,         8388608
029,         1,       1,    0.007667,   15.000000,30000.466797,    0.007200,        67108864
029,         1,       1,    0.008193,   15.000000,30001.669922,    0.007580,       134217728
030,         1,       1,    0.008340,   15.000000,30001.455078,    0.006920,         8388608
030,         1,       1,    0.008153,   15.000000,30000.787109,    0.007747,        67108864
030,         1,       1,    0.007900,   15.000000,30000.636719,    0.007300,       134217728
031,         1,       1,    0.008587,   15.000000,30001.107422,    0.006967,         8388608
031,         1,       1,    0.010013,   15.000000,30000.121094,    0.008680,        67108864
031,         1,       1,    0.007293,   15.000000,30001.626953,    0.006867,       134217728
-------------------------------------------------------------------------------------------------------

RUN 1
000,         1,       1,    0.013860,   15.000000,30000.435547,    0.006940,         8388608
