tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000, 159383553,      20,  965.307434,   15.000000,29051.234375,    0.035090,         8388608
000,         1,       1,    0.001107,   15.000000,30018.898438,    0.000717,        67108864
000,         1,       1,    0.006377,   15.000000,30038.740234,    0.000890,       134217728
001, 153042274,      19,  912.562988,   15.000000,29103.882812,    0.032577,         8388608
001,         1,       1,    0.008680,   15.000000,30018.843750,    0.000910,        67108864
001,         1,       1,    0.001200,   15.000000,30038.773438,    0.000823,       134217728
002, 159383553,      20,  940.107300,   15.000000,29076.435547,    0.020987,         8388608
002,         1,       1,    0.001033,   15.000000,30018.900391,    0.000780,        67108864
002,         1,       1,    0.001690,   15.000000,30038.810547,    0.001303,       134217728
003, 159383553,      20,  993.601624,   15.000000,29022.941406,    0.025930,         8388608
003,         1,       1,    0.001127,   15.000000,30018.890625,    0.000753,        67108864
003,         1,       1,    0.001190,   15.000000,30038.791016,    0.000790,       134217728
004, 159383553,      20,  941.364258,   15.000000,29075.175781,    0.022293,         8388608
004,         1,       1,    0.001190,   15.000000,30018.904297,    0.000797,        67108864
004,         1,       1,    0.001163,   15.000000,30038.804688,    0.000777,       134217728
005, 159383553,      20,  957.906677,   15.000000,29058.656250,    0.027150,         8388608
005,         1,       1,    0.001170,   15.000000,30018.880859,    0.000803,        67108864
005,         1,       1,    0.001240,   15.000000,30038.732422,    0.000757,       134217728
006, 159383553,      20,  945.135986,   15.000000,29071.408203,    0.025227,         8388608
006,         1,       1,    0.001350,   15.000000,30018.875000,    0.000963,        67108864
006,         1,       1,    0.001363,   15.000000,30038.781250,    0.000950,       134217728
007, 159383553,      20,  947.141541,   15.000000,29069.400391,    0.022447,         8388608
007,         1,       1,    0.001407,   15.000000,30018.871094,    0.000940,        67108864
007,         1,       1,    0.001297,   15.000000,30038.796875,    0.000920,       134217728
008, 159383553,      20,  943.871704,   15.000000,29072.628906,    0.023830,         8388608
008, 335544321,       6, 1989.970947,   15.000000,28028.849609,    0.021087,        67108864
008, 268435457,       3, 1593.766113,   15.000000,28444.927734,    0.010700,       134217728
009, 159383553,      20,  939.671387,   15.000000,29076.832031,    0.025747,         8388608
009, 335544321,       6, 1991.158447,   15.000000,28027.654297,    0.021167,        67108864
009, 268435457,       3, 1591.716187,   15.000000,28446.978516,    0.010400,       134217728
010, 159383553,      20,  940.695129,   15.000000,29075.806641,    0.023590,         8388608
010, 335544321,       6, 1995.613037,   15.000000,28023.197266,    0.031093,        67108864
010, 402653185,       4, 2397.727051,   15.000000,27640.994141,    0.030593,       134217728
011, 159383553,      20,  941.341431,   15.000000,29075.162109,    0.024860,         8388608
011, 335544321,       6, 1990.155273,   15.000000,28028.652344,    0.024843,        67108864
011, 268435457,       3, 1591.976440,   15.000000,28446.708984,    0.010773,       134217728
012, 159383553,      20,  959.561279,   15.000000,29056.939453,    0.029290,         8388608
012, 335544321,       6, 1990.040527,   15.000000,28028.773438,    0.025837,        67108864
012, 268435457,       3, 1594.360718,   15.000000,28444.330078,    0.011750,       134217728
013, 159383553,      20,  944.287170,   15.000000,29072.222656,    0.025317,         8388608
013, 268435457,       5, 1605.354370,   15.000000,28413.417969,    0.020967,        67108864
013, 273702348,       3, 1627.473755,   15.000000,28411.205078,    0.012127,       134217728
014, 150994945,      19,  937.649292,   15.000000,29078.800781,    0.038560,         8388608
014, 335544321,       6, 1988.443359,   15.000000,28030.365234,    0.023657,        67108864
014, 268435457,       3, 1592.935181,   15.000000,28445.746094,    0.011660,       134217728
015, 159383553,      20,  942.861755,   15.000000,29073.628906,    0.038687,         8388608
015, 268435457,       5, 1635.275513,   15.000000,28383.490234,    0.079447,        67108864
015, 268435457,       3, 1600.677612,   15.000000,28438.011719,    0.012233,       134217728
016, 150994945,      19,  932.480225,   15.000000,29083.968750,    0.055617,         8388608
016,  67108865,       2,  400.847778,   15.000000,29618.144531,    0.006597,        67108864
016,         1,       1,    0.001313,   15.000000,30038.753906,    0.000967,       134217728
017, 159383553,      20,  949.650024,   15.000000,29066.847656,    0.049407,         8388608
017, 268435457,       5, 1594.283325,   15.000000,28424.488281,    0.029210,        67108864
017, 268435457,       3, 1594.779053,   15.000000,28443.902344,    0.013980,       134217728
018, 159383553,      20,  951.800293,   15.000000,29064.738281,    0.069577,         8388608
018,         1,       1,    0.001220,   15.000000,30018.914062,    0.000850,        67108864
018,         1,       1,    0.000993,   15.000000,30038.763672,    0.000750,       134217728
019, 159383553,      20,  941.681152,   15.000000,29074.814453,    0.038730,         8388608
019, 320820617,       5, 1905.107178,   15.000000,28113.654297,    0.029277,        67108864
019, 402653185,       4, 2390.107178,   15.000000,27648.607422,    0.019363,       134217728
020, 150994945,      19,  890.391663,   15.000000,29126.123047,    0.023623,         8388608
020,         1,       1,    0.001230,   15.000000,30018.935547,    0.000873,        67108864
020,         1,       1,    0.001027,   15.000000,30038.783203,    0.000793,       134217728
021, 159383553,      20,  939.996582,   15.000000,29076.507812,    0.058807,         8388608
021, 268435457,       5, 1593.913452,   15.000000,28424.855469,    0.026890,        67108864
021, 402653185,       4, 2583.056396,   15.000000,27455.660156,    0.019630,       134217728
022, 150994945,      19,  907.423157,   15.000000,29109.083984,    0.025870,         8388608
022,         1,       1,    0.001153,   15.000000,30018.921875,    0.000817,        67108864
022,         1,       1,    0.001050,   15.000000,30038.773438,    0.000760,       134217728
023, 150994945,      19,  890.788391,   15.000000,29125.511719,    0.029023,         8388608
