tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B),lat_lock_hold(ms),lat_wait_acq(ms),lat_wait_rel(ms)
RUN 0
000, 402653184,       4, 1449.426880,   20.000000,38570.406250,    0.004860,         8388608,    0.000000,    0.000000,    0.000000
000, 402653184,       4, 1440.895142,   20.000000,38567.937500,    0.008287,        16777216,    0.000000,    0.000000,    0.000000
000, 301951192,       3, 1085.610718,   20.000000,38944.121094,    0.011547,       134217728,    0.000000,    0.000000,    0.000000
001, 402653184,       4, 1439.897949,   20.000000,38579.933594,    0.005310,         8388608,    0.000000,    0.000000,    0.000000
001, 402653184,       4, 1440.172607,   20.000000,38568.667969,    0.006403,        16777216,    0.000000,    0.000000,    0.000000
001, 268435456,       3,  964.846375,   20.000000,39064.914062,    0.010527,       134217728,    0.000000,    0.000000,    0.000000
002, 402653184,       4, 1439.965332,   20.000000,38579.871094,    0.004587,         8388608,    0.000000,    0.000000,    0.000000
002, 402653184,       4, 1454.807251,   20.000000,38554.027344,    0.007030,        16777216,    0.000000,    0.000000,    0.000000
002, 268435456,       3, 1021.430908,   20.000000,39008.328125,    0.009690,       134217728,    0.000000,    0.000000,    0.000000
003, 402653184,       4, 1439.962524,   20.000000,38579.875000,    0.005073,         8388608,    0.000000,    0.000000,    0.000000
003, 402653184,       4, 1440.749146,   20.000000,38568.082031,    0.008250,        16777216,    0.000000,    0.000000,    0.000000
003, 402653184,       4, 1448.268799,   20.000000,38581.593750,    0.012500,       134217728,    0.000000,    0.000000,    0.000000
004, 402653184,       4, 1440.079590,   20.000000,38579.761719,    0.005430,         8388608,    0.000000,    0.000000,    0.000000
004, 268435456,       3,  960.460571,   20.000000,39048.304688,    0.006237,        16777216,    0.000000,    0.000000,    0.000000
004, 402653184,       4, 1447.627075,   20.000000,38582.195312,    0.015327,       134217728,    0.000000,    0.000000,    0.000000
005, 402653184,       4, 1440.349121,   20.000000,38579.507812,    0.005250,         8388608,    0.000000,    0.000000,    0.000000
005, 402653184,       4, 1454.366699,   20.000000,38554.476562,    0.015377,        16777216,    0.000000,    0.000000,    0.000000
005, 268435456,       3, 1020.409912,   20.000000,39009.347656,    0.010317,       134217728,    0.000000,    0.000000,    0.000000
006, 402653184,       4, 1457.033936,   20.000000,38562.828125,    0.004833,         8388608,    0.000000,    0.000000,    0.000000
006, 402653184,       4, 1457.548096,   20.000000,38551.277344,    0.007573,        16777216,    0.000000,    0.000000,    0.000000
