tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000, 330596353,   10090, 2491.181396,   20.000000,37515.136719,    2.852597,          262144
000, 331350017,    1265, 2495.074463,   20.000000,37504.644531,    0.763813,         2097152
000, 331350017,     159, 2496.346680,   20.000000,37503.460938,    0.179117,        16777216
000, 327155713,      40, 2470.271973,   20.000000,37529.550781,    0.137043,        67108864
001, 330596353,   10090, 2489.321289,   20.000000,37517.089844,    2.878642,          262144
001, 331612161,    1266, 2494.305420,   20.000000,37505.425781,    0.728193,         2097152
001, 331350017,     159, 2495.097900,   20.000000,37504.707031,    0.141673,        16777216
001, 335544321,      41, 2596.380615,   20.000000,37403.460938,    0.126453,        67108864
002, 330596353,   10090, 2490.446777,   20.000000,37516.078125,    3.176074,          262144
002, 331350017,    1265, 2494.365967,   20.000000,37505.335938,    0.792397,         2097152
002, 331350017,     159, 2496.060791,   20.000000,37503.742188,    0.158697,        16777216
002, 327155713,      40, 2467.656982,   20.000000,37532.167969,    0.120290,        67108864
003, 330596353,   10090, 2493.717285,   20.000000,37512.636719,    3.052687,          262144
003, 331612161,    1266, 2497.512207,   20.000000,37502.203125,    0.772380,         2097152
003, 331350017,     159, 2495.440430,   20.000000,37504.363281,    0.140397,        16777216
003, 327155713,      40, 2468.146973,   20.000000,37531.671875,    0.125740,        67108864
004, 330596353,   10090, 2490.048096,   20.000000,37516.355469,    3.023203,          262144
004, 331612161,    1266, 2495.265137,   20.000000,37504.472656,    0.791090,         2097152
004, 330059898,     158, 2485.883545,   20.000000,37513.902344,    0.140663,        16777216
004, 335544321,      41, 2531.202148,   20.000000,37468.648438,    0.127983,        67108864
005, 330563585,   10089, 2489.377686,   20.000000,37517.003906,    2.771847,          262144
005, 331612161,    1266, 2567.707520,   20.000000,37432.015625,    0.780127,         2097152
005, 331350017,     159, 2494.851562,   20.000000,37504.953125,    0.139930,        16777216
005, 327155713,      40, 2536.568848,   20.000000,37463.250000,    0.116563,        67108864
006, 330596353,   10090, 2489.976318,   20.000000,37516.445312,    3.050527,          262144
006, 331612161,    1266, 2496.601318,   20.000000,37503.136719,    0.780777,         2097152
006, 331350017,     159, 2495.984131,   20.000000,37503.824219,    0.144617,        16777216
006, 335544321,      41, 2559.717773,   20.000000,37440.128906,    0.131863,        67108864
007, 330596353,   10090, 2490.958496,   20.000000,37515.472656,    3.248807,          262144
007, 331350017,    1265, 2494.254150,   20.000000,37505.457031,    0.741157,         2097152
007, 331350017,     159, 2495.671387,   20.000000,37504.136719,    0.141503,        16777216
007, 327155713,      40, 2468.341064,   20.000000,37531.480469,    0.150650,        67108864
008, 330563585,   10089, 2490.194092,   20.000000,37516.238281,    3.268163,          262144
008, 331350017,    1265, 2493.963623,   20.000000,37505.746094,    0.857427,         2097152
008, 331350017,     159, 2502.183350,   20.000000,37497.621094,    0.168333,        16777216
008, 327155713,      40, 2468.506348,   20.000000,37531.304688,    0.135583,        67108864
009, 330596353,   10090, 2489.656006,   20.000000,37516.781250,    3.002365,          262144
009, 331350017,    1265, 2492.616943,   20.000000,37507.101562,    0.738723,         2097152
009, 331350017,     159, 2508.191650,   20.000000,37491.617188,    0.160977,        16777216
009, 335544321,      41, 2531.703857,   20.000000,37468.144531,    0.129887,        67108864
010, 330596353,   10090, 2558.960449,   20.000000,37447.601562,    2.953528,          262144
010, 331350017,    1265, 2493.736084,   20.000000,37505.968750,    0.835570,         2097152
010, 331350017,     159, 2501.688232,   20.000000,37498.117188,    0.163950,        16777216
010, 327155713,      40, 2468.119629,   20.000000,37531.703125,    0.124047,        67108864
011, 330596353,   10090, 2490.144775,   20.000000,37516.257812,    2.824298,          262144
011, 331612161,    1266, 2495.534180,   20.000000,37504.187500,    0.785060,         2097152
011, 331350017,     159, 2563.572266,   20.000000,37436.230469,    0.138843,        16777216
011, 327155713,      40, 2468.946533,   20.000000,37530.875000,    0.128423,        67108864
012, 330563585,   10089, 2490.641113,   20.000000,37515.523438,    3.038917,          262144
012, 331350017,    1265, 2492.597168,   20.000000,37507.019531,    0.841620,         2097152
012, 329252865,     158, 2479.584961,   20.000000,37520.042969,    0.147637,        16777216
012, 335544321,      41, 2531.637451,   20.000000,37468.210938,    0.128030,        67108864
013, 330584875,   10089, 2490.137695,   20.000000,37516.261719,    3.065163,          262144
013, 331350017,    1265, 2495.433105,   20.000000,37504.273438,    0.773603,         2097152
013, 331350017,     159, 2495.007812,   20.000000,37504.796875,    0.152307,        16777216
013, 330731454,      40, 2495.170654,   20.000000,37504.644531,    0.124837,        67108864
014, 330563585,   10089, 2489.855225,   20.000000,37516.523438,    3.113819,          262144
014, 331475365,    1265, 2495.480225,   20.000000,37504.226562,    0.844393,         2097152
014, 331350017,     159, 2495.690186,   20.000000,37504.117188,    0.185370,        16777216
014, 327155713,      40, 2468.297363,   20.000000,37531.523438,    0.127063,        67108864
015, 330563585,   10089, 2489.975586,   20.000000,37516.425781,    2.934238,          262144
015, 331350017,    1265, 2493.046875,   20.000000,37506.667969,    0.708103,         2097152
015, 331350017,     159, 2496.291016,   20.000000,37503.515625,    0.166023,        16777216
015, 327155713,      40, 2468.213867,   20.000000,37531.609375,    0.127517,        67108864
-------------------------------------------------------------------------------------------------------

