tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000, 273612801,    8351, 2175.319580,   20.000000,37854.046875,   24.354013,          262144
000, 293601281,    1121, 2362.375000,   20.000000,37637.179688,    3.714513,         2097152
000, 830472193,     397, 7246.192871,   20.000000,32754.148438,    1.713743,        16777216
000,         1,       1,    0.009093,   20.000000,39999.601562,    0.008653,        67108864
001, 359202860,   10963, 2847.813721,   20.000000,37181.562500,   32.386559,          262144
001, 175636481,     671, 1399.984131,   20.000000,38599.980469,    2.178733,         2097152
001,         1,       1,    0.001273,   20.000000,40000.511719,    0.000840,        16777216
001,         1,       1,    0.004620,   20.000000,39999.878906,    0.004423,        67108864
002, 219119617,    6688, 1739.646118,   20.000000,38290.019531,   19.212067,          262144
002, 236716033,     904, 1892.896606,   20.000000,38106.765625,    2.931433,         2097152
002,         1,       1,    0.000657,   20.000000,40000.628906,    0.000367,        16777216
002,         1,       1,    0.004537,   20.000000,39999.906250,    0.003080,        67108864
003, 330530817,   10088, 2620.989990,   20.000000,37408.558594,   29.987806,          262144
003, 297795585,    1137, 2375.140381,   20.000000,37624.765625,    3.610930,         2097152
003,         1,       1,    0.006207,   20.000000,40000.121094,    0.001800,        16777216
003,         1,       1,    0.003800,   20.000000,39999.898438,    0.002493,        67108864
004, 285802497,    8723, 2271.631348,   20.000000,37757.902344,   25.829523,          262144
004, 437518337,    1670, 3502.335693,   20.000000,36497.386719,    5.308424,         2097152
004,  58720257,      29,  482.088470,   20.000000,39518.082031,    0.135677,        16777216
004,         1,       1,    0.000997,   20.000000,39999.960938,    0.000853,        67108864
005, 296615937,    9053, 2350.804199,   20.000000,37678.679688,   26.354330,          262144
005, 568328193,    2169, 4535.516602,   20.000000,35464.265625,    6.883620,         2097152
005, 480247809,     230, 3930.389404,   20.000000,36070.132812,    1.014883,        16777216
005,         1,       1,    0.001523,   20.000000,39999.917969,    0.000697,        67108864
006, 321650689,    9817, 2550.032227,   20.000000,37479.480469,   30.400110,          262144
006, 181665793,     694, 1448.890381,   20.000000,38550.984375,    2.122400,         2097152
006, 773849089,     370, 6379.024902,   20.000000,33621.484375,    1.763467,        16777216
006,         1,       1,    0.000820,   20.000000,40000.039062,    0.000547,        67108864
007, 289112065,    8824, 2293.791260,   20.000000,37735.726562,   25.946369,          262144
007, 288096257,    1100, 2299.132080,   20.000000,37700.761719,    3.447690,         2097152
007,  85983233,      42,  705.025635,   20.000000,39295.515625,    0.163520,        16777216
007,         1,       1,    0.000827,   20.000000,39999.988281,    0.000553,        67108864
008, 274137089,    8367, 2179.160400,   20.000000,37850.199219,   23.699697,          262144
008, 293601281,    1121, 2350.850586,   20.000000,37648.984375,    3.707970,         2097152
008, 830472193,     397, 6816.995605,   20.000000,33183.308594,    1.658680,        16777216
008,         1,       1,    0.006087,   20.000000,40000.027344,    0.005823,        67108864
009, 359137281,   10961, 2847.575928,   20.000000,37181.585938,   32.140438,          262144
009, 175636481,     671, 1400.980103,   20.000000,38598.992188,    2.190050,         2097152
009,         1,       1,    0.000743,   20.000000,40000.570312,    0.000483,        16777216
009,         1,       1,    0.009607,   20.000000,39999.917969,    0.009140,        67108864
010, 219054081,    6686, 1737.867798,   20.000000,38291.562500,   19.951937,          262144
010, 236453889,     903, 1893.651001,   20.000000,38106.152344,    2.836977,         2097152
010,         1,       1,    0.004640,   20.000000,40000.199219,    0.004020,        16777216
010,         1,       1,    0.002840,   20.000000,40000.003906,    0.002563,        67108864
011, 330498049,   10087, 2620.330566,   20.000000,37408.851562,   29.843050,          262144
011, 298057729,    1138, 2378.311768,   20.000000,37621.625000,    3.811923,         2097152
011,         1,       1,    0.041217,   20.000000,40000.011719,    0.005847,        16777216
011,   8388609,       2,  304.042358,   20.000000,39696.011719,    0.011257,        67108864
012, 286064641,    8731, 2273.772949,   20.000000,37755.582031,   24.814573,          262144
012, 437895421,    1671, 3505.719727,   20.000000,36494.070312,    5.302227,         2097152
012,  58720257,      29,  481.761078,   20.000000,39518.867188,    0.104493,        16777216
012,         1,       1,    0.000487,   20.000000,40000.039062,    0.000343,        67108864
013, 296550401,    9051, 2357.031738,   20.000000,37672.312500,   26.441807,          262144
013, 568852481,    2171, 4539.788574,   20.000000,35460.070312,    7.271690,         2097152
013, 478150657,     229, 3910.289551,   20.000000,36090.277344,    0.881563,        16777216
013,         1,       1,    0.006947,   20.000000,39999.945312,    0.005403,        67108864
014, 322142209,    9832, 2552.780518,   20.000000,37474.332031,   29.135229,          262144
014, 181141505,     692, 1452.814331,   20.000000,38546.960938,    2.258617,         2097152
014, 775946241,     371, 6369.573242,   20.000000,33630.820312,    1.552910,        16777216
014,         1,       1,    0.000890,   20.000000,40000.031250,    0.000363,        67108864
015, 289177601,    8826, 2293.194580,   20.000000,37736.156250,   27.087757,          262144
015, 287309825,    1097, 2292.738037,   20.000000,37707.156250,    3.607500,         2097152
015,  90177537,      44,  738.332397,   20.000000,39261.914062,    0.224527,        16777216
015,         1,       1,    0.008510,   20.000000,40000.011719,    0.008050,        67108864
016,  22052865,     674,  178.085419,   20.000000,39851.785156,    2.019357,          262144
016,   3407873,      14,   27.183443,   20.000000,39972.722656,    0.099930,         2097152
016,   4194305,       3,   33.818653,   20.000000,39966.554688,    0.014953,        16777216
016,         1,       1,    0.004417,   20.000000,39999.984375,    0.003880,        67108864
017,  22183937,     678,  193.116013,   20.000000,39836.468750,    2.442897,          262144
017,   2621441,      11,   20.949167,   20.000000,39978.925781,    0.089683,         2097152
017,         1,       1,    0.001440,   20.000000,40000.347656,    0.001210,        16777216
