tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     86928,   86928,    1.433048,   10.000000, 9448.071289,  548.266052, 8885.301758,   10.349773,  558.139893,  533.216187,    3.609018,    1.943280,     86928,               0,000,000
001,     86928,   86928,    1.417938,   10.000000, 9450.654297,  542.809875, 8885.080078,    5.984342,  560.852844,  531.800171,    3.660183,    1.929132,     86928,               0,000,000
002,     86927,   86927,    1.431880,   10.000000, 9446.503906,  546.496765, 8874.294922,    6.999493,  567.622803,  534.854736,    3.632960,    1.937450,     86927,               0,000,000
003,     86928,   86928,    1.443927,   10.000000, 9483.452148,  509.622711, 8939.171875,   10.341233,  539.494263,  493.977020,   11.311190,    2.061495,     86928,               0,000,000
004,     86928,   86928,    1.749592,   10.000000, 9318.989258,  668.431152, 8634.813477,   10.558795,  679.035278,  652.444092,    4.062460,    2.100389,     86928,               0,000,000
005,     86928,   86928,    1.731553,   10.000000, 9325.762695,  667.023254, 8626.862305,    6.549060,  693.754395,  655.032654,    4.344670,    2.016348,     86928,               0,000,000
006,     86928,   86928,    1.782870,   10.000000, 9325.725586,  669.768372, 8641.297852,   11.187774,  679.265991,  653.355042,    4.072715,    2.017058,     86928,               0,000,000
007,     86927,   86927,    1.772902,   10.000000, 9322.006836,  669.744873, 8625.409180,   13.520967,  691.421875,  651.051086,    4.074470,    2.013827,     86927,               0,000,000
000,     87530,   87530,    1.340130,   10.000000, 9444.500977,  552.155212, 8876.674805,   10.922640,  563.275635,  536.606506,    3.519340,    1.951763,     87530,               0,000,001
001,     87529,   87529,    1.337457,   10.000000, 9444.281250,  549.359680, 8873.493164,    8.805305,  566.162109,  535.636780,    3.558565,    1.944205,     87529,               0,000,001
002,     87530,   87530,    1.345477,   10.000000, 9444.690430,  548.583313, 8873.925781,    8.824331,  566.249023,  535.202637,    3.572612,    1.949182,     87530,               0,000,001
003,     87530,   87530,    1.356002,   10.000000, 9482.896484,  510.430939, 8944.819336,    7.595008,  533.346191,  497.567505,   11.195947,    2.089585,     87530,               0,000,001
004,     87530,   87530,    1.407867,   10.000000, 9317.863281,  670.949768, 8632.085938,    9.779190,  681.042297,  656.139954,    3.680840,    2.109645,     87530,               0,000,001
005,     87530,   87530,    1.406952,   10.000000, 9326.498047,  667.445984, 8622.896484,    9.967785,  698.880981,  652.463013,    3.924568,    2.029402,     87530,               0,000,001
006,     87530,   87530,    1.408113,   10.000000, 9325.615234,  671.126404, 8638.120117,    9.573902,  682.721680,  656.727173,    3.522080,    2.033210,     87530,               0,000,001
007,     87530,   87530,    1.399735,   10.000000, 9320.279297,  672.660706, 8635.054688,   11.343188,  680.442200,  656.568665,    3.638555,    2.035193,     87530,               0,000,001
000,     87218,   87218,    1.303480,   10.000000, 9449.957031,  546.826477, 8883.880859,    8.744231,  561.612122,  533.532715,    3.466673,    1.946877,     87218,               0,000,002
001,     87219,   87219,    1.298198,   10.000000, 9446.664062,  547.272156, 8887.752930,   11.000390,  554.382629,  531.396057,    3.500573,    1.945825,     87219,               0,000,002
002,     87218,   87218,    1.306743,   10.000000, 9448.743164,  544.763977, 8873.281250,    6.375747,  571.013794,  533.880737,    3.470715,    1.937180,     87218,               0,000,002
003,     87218,   87218,    1.307938,   10.000000, 9485.305664,  508.180328, 8933.432617,   10.127323,  547.299622,  492.966705,   10.979894,    2.081892,     87218,               0,000,002
004,     87218,   87218,    1.348023,   10.000000, 9318.584961,  670.414246, 8619.152344,   12.896660,  694.316284,  652.646606,    3.578830,    2.098623,     87218,               0,000,002
005,     87218,   87218,    1.351740,   10.000000, 9333.965820,  660.163696, 8640.422852,    6.021955,  688.896851,  649.186523,    3.858558,    2.025498,     87218,               0,000,002
006,     87218,   87218,    1.352505,   10.000000, 9324.995117,  671.972595, 8641.981445,   11.775185,  678.295227,  655.455811,    3.448437,    2.019345,     87218,               0,000,002
007,     87218,   87218,    1.352418,   10.000000, 9328.972656,  664.206116, 8644.787109,    8.861105,  679.482910,  650.667053,    3.578457,    2.020978,     87218,               0,000,002
