tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     52923,   52923,    0.904250,   10.000000, 9482.088867,  516.335022, 9051.311523,   92.838364,  427.177063,  419.497528,    2.560923,    1.622622,     52923,               0,000,000
001,         1,       1,    0.002690,   10.000000,10000.084961,    0.024633,10000.057617,    0.003050,    0.024047,    0.018723,    0.003403,    0.000083,         1,               0,000,000
002,    146700,  146700,    2.649349,   10.000000, 8565.791992, 1427.247314, 7378.276855,  256.767914, 1177.336792, 1159.344116,    6.566648,    3.946899,    146700,               0,000,000
003,         2,       2,    0.002335,   10.000000,10000.705078,    0.030052,10000.664062,    0.004790,    0.038403,    0.022722,    0.003300,    0.000133,         2,               0,000,000
004,     54649,   54649,    1.075512,   10.000000, 9468.649414,  529.400879, 9027.891602,   95.524193,  436.909149,  429.696472,    2.697469,    1.490453,     54649,               0,000,000
005,         1,       1,    0.002650,   10.000000,10000.150391,    0.021530,10000.110352,    0.003150,    0.037510,    0.015567,    0.003397,    0.000087,         1,               0,000,000
006,         1,       1,    0.002760,   10.000000,10000.033203,    0.023137,10000.001953,    0.003280,    0.028397,    0.016917,    0.003477,    0.000090,         1,               0,000,000
007,     52980,   52980,    1.026937,   10.000000, 9481.535156,  516.613953, 9050.178711,   92.540268,  427.611389,  419.954681,    2.605960,    1.447803,     52980,               0,000,000
008,         2,       2,    0.007050,   10.000000,10000.510742,    0.064567,10000.415039,    0.006407,    0.088797,    0.049627,    0.015433,    0.000183,         2,               0,000,000
009,         1,       1,    0.007193,   10.000000,10000.266602,    0.041197,10000.199219,    0.003093,    0.059187,    0.030150,    0.015987,    0.000137,         1,               0,000,000
010,         1,       1,    0.007200,   10.000000,10000.381836,    0.038667,10000.331055,    0.003097,    0.042263,    0.027637,    0.008140,    0.000100,         1,               0,000,000
011,         2,       2,    0.007440,   10.000000,10000.730469,    0.054433,10000.650391,    0.004760,    0.072763,    0.041560,    0.008500,    0.000173,         2,               0,000,000
012,        81,      81,    0.017113,   10.000000, 9999.500977,    1.150626, 9998.441406,    0.193970,    1.043223,    0.935514,    0.021390,    0.003605,        81,               0,000,000
