tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,   4494080,   70220,   18.917721,   10.000000, 9297.365234,  681.330933, 7257.191895,  106.233002, 2034.342651,  568.895203,    3.541324,    2.020912,    254909,       100663296,000,000
001,    227520,    3555,    0.984060,   10.000000, 9964.730469,   34.694981, 9872.690430,    5.419009,   91.730484,   28.966049,    0.178347,    0.104003,     11405,       100663296,000,000
002,   1109696,   17339,    4.631520,   10.000000, 9826.463867,  168.654068, 9375.781250,   25.865810,  449.411560,  141.394913,    0.813089,    0.493262,     55577,       100663296,000,000
003,   2431872,   37998,   10.213060,   10.000000, 9623.531250,  365.444366, 8613.460938,   56.997162, 1007.226562,  305.257935,    1.772590,    1.079795,    126804,       100663296,000,000
004,   1327552,   20743,    5.642430,   10.000000, 9794.740234,  199.421890, 9245.535156,   30.948833,  547.437256,  166.525940,    1.073578,    0.600087,     69183,       100663296,000,000
005,       128,       2,    0.003360,   10.000000,10000.462891,    0.034790,10000.386719,    0.005277,    0.074057,    0.026767,    0.003577,    0.000137,         4,       100663296,000,000
006,   7006272,  109473,   26.195642,   10.000000, 9120.928711,  849.862854, 5661.208984,  149.350403, 3451.406250,  688.924133,    5.513253,    2.730426,    557304,       100663296,000,000
007,       128,       2,    0.003427,   10.000000,10000.115234,    0.034903, 9999.895508,    0.005450,    0.217043,    0.026580,    0.006317,    0.000163,        18,       100663296,000,000
000,    364352,    5693,    1.600786,   10.000000, 9942.546875,   55.952934, 9793.357422,    8.829224,  148.693085,   46.594288,    0.307691,    0.169166,     18416,       100663296,000,001
001,   1717056,   26829,    7.469804,   10.000000, 9731.492188,  260.521423, 9033.461914,   40.616383,  695.747925,  217.484863,    1.395015,    0.776545,     86948,       100663296,000,001
002,       192,       3,    0.006257,   10.000000,10000.293945,    0.055623,10000.115234,    0.008423,    0.173603,    0.041700,    0.008597,    0.000257,        13,       100663296,000,001
003,       192,       3,    0.006107,   10.000000,10000.023438,    0.053877, 9999.865234,    0.008140,    0.151863,    0.040167,    0.008350,    0.000207,        12,       100663296,000,001
004,       256,       4,    0.009203,   10.000000,10000.082031,    0.077433, 9999.678711,    0.011413,    0.395030,    0.058100,    0.013903,    0.000320,        33,       100663296,000,001
005,       192,       3,    0.006217,   10.000000,10000.299805,    0.062240,10000.123047,    0.007830,    0.170803,    0.044953,    0.006123,    0.000253,        14,       100663296,000,001
006,  15259136,  238424,   57.001793,   10.000000, 8081.733887, 1854.275635, 1198.422241,  324.813263, 6865.135742, 1504.435425,   12.045036,    5.935254,   1108565,       100663296,000,001
007,       256,       4,    0.014693,   10.000000, 9999.976562,    0.074992, 9999.817383,    0.009640,    0.152730,    0.058562,    0.012430,    0.000295,        11,       100663296,000,001
000,   4638592,   72478,   19.371252,   10.000000, 9282.836914,  695.730957, 7185.258789,  109.408310, 2091.739990,  580.124390,    3.616231,    2.069429,    264649,       100663296,000,002
001,   2688128,   42002,   11.515747,   10.000000, 9583.430664,  403.989380, 8299.222656,   63.545200, 1280.682373,  336.655518,    2.133309,    1.201260,    162436,       100663296,000,002
002,        64,       1,    0.002820,   10.000000,10000.227539,    0.021547,10000.165039,    0.003023,    0.059650,    0.015850,    0.005433,    0.000093,         4,       100663296,000,002
003,   1579648,   24682,    6.725990,   10.000000, 9755.883789,  236.568192, 9002.696289,   37.530807,  751.162598,  196.826279,    1.247959,    0.705239,     95590,       100663296,000,002
004,   1654336,   25849,    7.096757,   10.000000, 9744.279297,  247.929947, 8951.980469,   38.916119,  790.045227,  206.551758,    1.333754,    0.739482,    100437,       100663296,000,002
005,   4035904,   63061,   16.879047,   10.000000, 9380.251953,  601.018799, 7405.847168,   94.466690, 1969.234619,  500.945709,    3.142222,    1.790501,    251909,       100663296,000,002
006,       128,       2,    0.003075,   10.000000,10000.282227,    0.027767,10000.187500,    0.003907,    0.092032,    0.021455,    0.003633,    0.000115,         9,       100663296,000,002
007,   1276992,   19953,    5.364125,   10.000000, 9802.288086,  191.845978, 9180.221680,   30.101936,  620.394836,  159.928284,    1.024503,    0.570761,     78704,       100663296,000,002
000,        64,       1,    0.002827,   10.000000,10000.417969,    0.021550,10000.348633,    0.003103,    0.066863,    0.015760,    0.003457,    0.000087,         4,       100663296,001,000
001,   8258176,  129034,   30.512354,   10.000000, 8966.214844,  997.623596, 4822.385742,  177.680450, 4133.416992,  809.211609,    6.271069,    3.286731,    672576,       100663296,001,000
002,        64,       1,    0.002843,   10.000000,10000.537109,    0.021233,10000.450195,    0.003173,    0.083417,    0.015410,    0.003393,    0.000060,         6,       100663296,001,000
003,      7040,     110,    0.051400,   10.000000, 9998.744141,    1.297693, 9995.775391,    0.237827,    2.946620,    1.039597,    0.016733,    0.005113,       310,       100663296,001,000
004,       128,       2,    0.005620,   10.000000,10000.296875,    0.048880,10000.049805,    0.006647,    0.241677,    0.037027,    0.006163,    0.000180,        20,       100663296,001,000
005,     96960,    1515,    0.433644,   10.000000, 9984.785156,   14.959158, 9940.634766,    2.394478,   44.007912,   12.422247,    0.096062,    0.045446,      5412,       100663296,001,000
006,   7811904,  122061,   32.302528,   10.000000, 8785.349609, 1178.472290, 5262.152832,  186.303619, 3512.325439,  980.587830,    5.615814,    3.487485,    441995,       100663296,001,000
007,        64,       1,    0.002853,   10.000000,10000.593750,    0.023477,10000.562500,    0.001820,    0.028133,    0.018847,    0.006383,    0.000087,         1,       100663296,001,000
000,       128,       2,    0.003397,   10.000000,10000.348633,    0.035267,10000.266602,    0.005600,    0.079350,    0.026647,    0.002867,    0.000163,         5,       100663296,001,001
001,  14377152,  224643,   53.269196,   10.000000, 8199.423828, 1737.419678, 1609.174561,  308.921906, 6572.787598, 1409.790771,   11.019437,    5.722221,   1066200,       100663296,001,001
002,       128,       2,    0.003497,   10.000000,10000.318359,    0.034047,10000.106445,    0.005577,    0.209507,    0.025607,    0.005410,    0.000117,        19,       100663296,001,001
003,    648384,   10131,    2.711941,   10.000000, 9899.254883,   97.718185, 9630.191406,   15.388317,  268.152039,   81.407822,    0.518981,    0.289730,     33592,       100663296,001,001
004,    802688,   12542,    3.339385,   10.000000, 9874.766602,  121.932465, 9534.287109,   19.061691,  339.346252,  101.663551,    0.643204,    0.356466,     42294,       100663296,001,001
005,       256,       4,    0.004330,   10.000000,10000.090820,    0.063653, 9999.706055,    0.010403,    0.380533,    0.046060,    0.006040,    0.000197,        35,       100663296,001,001
006,   1303488,   20367,    5.440330,   10.000000, 9797.363281,  196.867996, 9248.800781,   31.093916,  546.702393,  163.805984,    0.984871,    0.582929,     68667,       100663296,001,001
007,        64,       1,    0.002860,   10.000000,10000.225586,    0.021170,10000.166992,    0.002837,    0.055253,    0.015677,    0.005403,    0.000093,         4,       100663296,001,001
000,   1694528,   26477,    7.117697,   10.000000, 9736.582031,  255.733307, 8917.698242,   40.449982,  816.470215,  212.819366,    1.365349,    0.754611,    102735,       100663296,001,002
001,   3164544,   49446,   11.970134,   10.000000, 9601.179688,  384.614014, 7767.740723,   68.637070, 1829.435913,  311.696014,    2.519658,    1.280468,    296173,       100663296,001,002
002,    612544,    9571,    2.586959,   10.000000, 9904.169922,   92.939461, 9614.359375,   14.740950,  288.937988,   77.298309,    0.503311,    0.276671,     36295,       100663296,001,002
003,      8448,     132,    0.058197,   10.000000, 9998.577148,    1.579463, 9994.261719,    0.298498,    4.290770,    1.260747,    0.012620,    0.006143,       451,       100663296,001,002
004,   5003648,   78182,   20.682144,   10.000000, 9219.230469,  757.545837, 6896.290527,  119.224640, 2315.933594,  630.915466,    3.841213,    2.229293,    290796,       100663296,001,002
005,       128,       2,    0.003463,   10.000000,10000.122070,    0.034620,10000.023438,    0.005493,    0.095927,    0.026360,    0.003187,    0.000117,         7,       100663296,001,002
006,   4973120,   77705,   20.572590,   10.000000, 9232.965820,  744.227600, 6833.037109,  118.604691, 2392.942383,  618.185730,    3.602159,    2.216507,    304727,       100663296,001,002
007,      1664,      26,    0.013713,   10.000000,10000.109375,    0.322190, 9999.022461,    0.057950,    1.079417,    0.254350,    0.004663,    0.001280,       110,       100663296,001,002
000,   1180096,   18439,    4.922056,   10.000000, 9817.659180,  177.116837, 9320.925781,   27.405205,  495.271423,  148.177673,    0.963364,    0.527838,     62429,       100663296,002,000
001,       128,       2,    0.003387,   10.000000,10000.341797,    0.035927,10000.242188,    0.005923,    0.096660,    0.027140,    0.005600,    0.000160,         6,       100663296,002,000
002,       128,       2,    0.003240,   10.000000,10000.050781,    0.035533, 9999.992188,    0.005653,    0.055380,    0.027053,    0.003343,    0.000160,         3,       100663296,002,000
003,   6205440,   96960,   25.587257,   10.000000, 9038.083984,  933.984985, 6274.925781,  146.299713, 2755.855469,  779.080444,    4.805783,    2.760340,    347491,       100663296,002,000
004,   1753408,   27397,    6.529977,   10.000000, 9784.217773,  208.985428, 8994.336914,   37.673332,  787.859497,  168.579102,    1.338206,    0.685053,    129479,       100663296,002,000
005,   3125888,   48842,   13.065070,   10.000000, 9517.474609,  468.714355, 8148.034668,   72.845314, 1365.760010,  391.783600,    2.264717,    1.397230,    172123,       100663296,002,000
006,   4667904,   72936,   19.692135,   10.000000, 9274.643555,  703.712463, 7289.794434,  109.932510, 1978.676270,  587.218262,    3.481677,    2.117380,    249311,       100663296,002,000
007,       128,       2,    0.003377,   10.000000,10000.188477,    0.034963,10000.127930,    0.005767,    0.057950,    0.026297,    0.005777,    0.000163,         4,       100663296,002,000
000,   2011584,   31431,    8.515409,   10.000000, 9687.724609,  303.137268, 8851.588867,   47.047955,  833.523560,  253.332367,    1.742715,    0.898124,    104749,       100663296,002,001
001,       128,       2,    0.005570,   10.000000,10000.517578,    0.040413,10000.460938,    0.004377,    0.051063,    0.030823,    0.005627,    0.000127,         2,       100663296,002,001
002,       192,       3,    0.006380,   10.000000,10000.233398,    0.055340, 9999.933594,    0.008693,    0.294947,    0.041143,    0.008557,    0.000233,        24,       100663296,002,001
003,   6275712,   98058,   25.989433,   10.000000, 9026.294922,  945.174805, 6410.640137,  147.684540, 2608.175293,  788.782776,    4.916828,    2.804085,    327433,       100663296,002,001
004,   1802240,   28160,    6.877584,   10.000000, 9777.877930,  214.971664, 9027.172852,   38.715569,  748.526611,  173.380707,    1.468758,    0.707746,    123321,       100663296,002,001
