tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     39509,   39509,    0.679128,   10.000000, 9744.934570,  253.254425, 8766.910156,    2.743268,  975.770569,  247.968826,    1.698038,    0.945363,    156719,               0,000,000
001,     39509,   39509,    0.677583,   10.000000, 9744.206055,  252.632156, 8753.486328,    2.831035,  988.380066,  247.074020,    1.672318,    0.920100,    158801,               0,000,000
002,     39509,   39509,    0.680297,   10.000000, 9741.183594,  255.694183, 8772.956055,    2.710505,  965.999878,  250.466766,    1.676094,    0.937175,    152918,               0,000,000
003,     39509,   39509,    0.678877,   10.000000, 9745.401367,  251.289764, 8763.225586,    2.558246,  979.931519,  246.213760,    1.739827,    0.930481,    158061,               0,000,000
004,     39509,   39509,    0.677625,   10.000000, 9744.142578,  252.924240, 8767.230469,    2.826709,  974.633911,  247.232056,    1.723315,    1.056445,    156303,               0,000,000
005,     39509,   39509,    0.678332,   10.000000, 9745.822266,  251.410797, 8758.138672,    2.858822,  985.446716,  245.999252,    1.705705,    0.936340,    158918,               0,000,000
006,     39509,   39509,    0.652907,   10.000000, 9763.755859,  234.469330, 8701.331055,    3.484655, 1059.866577,  227.703247,    1.894240,    0.910374,    183537,               0,000,000
007,     39509,   39509,    0.674135,   10.000000, 9747.000000,  249.837280, 8754.306641,    2.707732,  990.454407,  244.585846,    1.605500,    0.929854,    160789,               0,000,000
000,     39349,   39349,    0.684898,   10.000000, 9745.783203,  252.443359, 8774.298828,    2.781528,  969.245361,  247.121094,    1.689768,    0.936133,    155120,               0,000,001
001,     39349,   39349,    0.683538,   10.000000, 9745.530273,  251.266510, 8772.764648,    2.753303,  970.429016,  245.806290,    1.675333,    0.916978,    155943,               0,000,001
002,     39349,   39349,    0.687903,   10.000000, 9742.302734,  254.538025, 8789.104492,    2.657182,  950.972778,  249.387543,    1.673538,    0.931618,    150012,               0,000,001
003,     39349,   39349,    0.683793,   10.000000, 9747.421875,  249.276901, 8750.731445,    2.575968,  994.443848,  244.202271,    1.751765,    0.929708,    161086,               0,000,001
004,     39349,   39349,    0.685770,   10.000000, 9745.417969,  251.572510, 8757.905273,    2.861603,  985.221436,  245.876877,    1.731890,    1.052360,    158730,               0,000,001
005,     39350,   39350,    0.686847,   10.000000, 9746.612305,  250.656769, 8759.634766,    2.868857,  984.722534,  245.252594,    1.706428,    0.926347,    158686,               0,000,001
006,     39349,   39349,    0.662585,   10.000000, 9764.519531,  233.584183, 8705.720703,    3.466093, 1056.233154,  226.838425,    1.930387,    0.906173,    182967,               0,000,001
007,     39350,   39350,    0.682675,   10.000000, 9748.171875,  248.724243, 8727.184570,    2.726605, 1018.747864,  243.416611,    1.611440,    0.927605,    166163,               0,000,001
000,     39434,   39434,    0.684412,   10.000000, 9746.289062,  252.007202, 8756.940430,    2.780383,  987.136230,  246.733017,    1.679528,    0.939990,    159120,               0,000,002
001,     39434,   39434,    0.657850,   10.000000, 9745.768555,  250.992157, 8758.291992,    2.812555,  985.176331,  245.517975,    1.651670,    0.915198,    158792,               0,000,002
002,     39435,   39435,    0.658378,   10.000000, 9741.984375,  255.143066, 8788.253906,    2.650978,  951.484253,  250.012085,    1.641057,    0.931910,    149997,               0,000,002
003,     39434,   39434,    0.659688,   10.000000, 9746.446289,  250.283997, 8746.652344,    2.588748,  997.607666,  245.210617,    1.725878,    0.944572,    161390,               0,000,002
004,     39434,   39434,    0.658667,   10.000000, 9745.500977,  251.562057, 8768.429688,    2.826997,  974.640442,  245.904938,    1.708943,    1.049703,    157117,               0,000,002
005,     39434,   39434,    0.661938,   10.000000, 9746.049805,  251.073410, 8769.414062,    2.848885,  974.397766,  245.724884,    1.668187,    0.931183,    157049,               0,000,002
006,     39435,   39435,    0.639115,   10.000000, 9764.646484,  233.722672, 8706.961914,    3.461062, 1055.162231,  227.030807,    1.891333,    0.907978,    183139,               0,000,002
007,     39435,   39435,    0.660667,   10.000000, 9747.447266,  249.490616, 8742.762695,    2.724400, 1002.484497,  244.219894,    1.584647,    0.927928,    162860,               0,000,002
000,     38623,   38623,    0.658915,   10.000000, 9751.912109,  246.442581, 8768.770508,    2.500993,  980.938965,  241.476639,    1.635612,    0.995280,    157214,               0,001,000
001,     38623,   38623,    0.654801,   10.000000, 9750.191406,  246.768234, 8768.017578,    2.510754,  979.865051,  241.642929,    1.576524,    0.892645,    157573,               0,001,000
002,     38622,   38622,    0.656934,   10.000000, 9751.064453,  245.738480, 8769.781250,    2.612900,  979.096191,  240.647842,    1.668575,    0.921585,    157925,               0,001,000
003,     38622,   38622,    0.642438,   10.000000, 9767.294922,  229.765091, 8722.843750,    3.246915, 1042.045776,  223.287811,    2.370550,    0.994128,    180540,               0,001,000
004,     38623,   38623,    0.658111,   10.000000, 9752.927734,  244.312180, 8758.076172,    2.479769,  992.610535,  239.235092,    1.643818,    0.908222,    160259,               0,001,000
005,     38623,   38623,    0.662592,   10.000000, 9752.267578,  245.122238, 8756.702148,    2.477286,  993.369690,  240.204346,    1.580123,    1.005171,    160356,               0,001,000
