tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,   2781248,   43457,   10.841848,   10.000000, 9718.281250,  269.927948, 9438.418945,    3.072328,  277.393768,  264.335480,    1.739308,    1.015157,     43457,       100663296,000,000
001,   2781184,   43456,   10.764700,   10.000000, 9711.887695,  274.918243, 9427.723633,    2.754627,  281.468262,  269.624359,    1.921530,    1.016645,     43456,       100663296,000,000
002,   2781184,   43456,   10.721033,   10.000000, 9718.240234,  268.302246, 9439.052734,    3.043608,  276.701843,  262.710602,    1.828335,    1.017623,     43456,       100663296,000,000
003,   2781184,   43456,   10.904487,   10.000000, 9729.354492,  257.108490, 9463.037109,    3.408497,  263.599060,  250.685394,    2.306193,    1.014058,     43456,       100663296,000,000
004,   2781248,   43457,   10.722800,   10.000000, 9716.297852,  270.574615, 9436.463867,    2.974467,  277.298859,  264.987213,    1.814258,    1.018952,     43457,       100663296,000,000
005,   2781248,   43457,   10.776908,   10.000000, 9719.306641,  267.517426, 9441.682617,    2.851583,  275.147186,  262.133240,    1.762618,    1.016843,     43457,       100663296,000,000
006,   2781184,   43456,   10.781857,   10.000000, 9718.913086,  269.379913, 9439.854492,    2.911768,  276.529419,  263.887573,    1.808908,    1.018108,     43456,       100663296,000,000
007,   2781184,   43456,   10.725748,   10.000000, 9719.344727,  267.370697, 9441.587891,    2.777257,  275.308319,  262.071259,    2.031680,    1.015550,     43456,       100663296,000,000
008,   2781120,   43455,   10.963473,   10.000000, 9654.389648,  332.815277, 9313.425781,    3.042870,  337.925568,  326.564423,    2.186008,    1.018817,     43455,       100663296,000,000
009,   2781120,   43455,   10.976722,   10.000000, 9657.512695,  328.101776, 9317.271484,    2.934683,  337.355499,  322.271667,    2.143868,    1.017975,     43455,       100663296,000,000
