tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,    126660,  126660,    2.169067,   10.000000, 9177.476562,  817.350037, 7505.016113,   12.541793, 1665.233398,  797.437622,    5.526860,    2.969637,    264009,               0,000,000
001,    126659,  126659,    2.169027,   10.000000, 9169.694336,  820.109924, 7461.673828,    9.138450, 1700.691895,  803.023438,    5.139085,    2.966403,    266148,               0,000,000
002,    126659,  126659,    2.178419,   10.000000, 9181.627930,  807.898926, 7471.629883,    8.878040, 1702.698364,  791.694702,    5.540154,    2.963904,    272852,               0,000,000
003,    126659,  126659,    2.150766,   10.000000, 9221.129883,  768.291260, 7670.171387,   10.955315, 1543.327515,  748.589172,    6.128631,    3.100919,    258060,               0,000,000
004,         1,       1,    0.004730,   10.000000,10000.053711,    0.030780,10000.011719,    0.000482,    0.036942,    0.025712,    0.009973,    0.000048,         1,               0,000,000
005,         2,       2,    0.004362,   10.000000,10000.149414,    0.037258,10000.055664,    0.000652,    0.089693,    0.031812,    0.009662,    0.000128,         5,               0,000,000
006,         2,       2,    0.004468,   10.000000,10000.244141,    0.034907,10000.150391,    0.000658,    0.088658,    0.029478,    0.010055,    0.000105,         4,               0,000,000
007,         2,       2,    0.004463,   10.000000,10000.333008,    0.037745,10000.210938,    0.000492,    0.116882,    0.032233,    0.010028,    0.000088,         7,               0,000,000
000,    127025,  127025,    1.995695,   10.000000, 9179.351562,  815.653320, 7509.396484,   11.558685, 1662.863770,  796.939331,    5.323220,    2.970657,    264650,               0,000,001
001,    127025,  127025,    1.991473,   10.000000, 9170.230469,  820.164612, 7463.311523,    8.545470, 1699.797485,  803.850281,    4.938810,    2.963440,    265878,               0,000,001
002,    127024,  127024,    1.996578,   10.000000, 9181.530273,  808.627747, 7457.211914,    8.382125, 1717.242065,  793.100952,    5.325609,    2.967899,    275481,               0,000,001
003,    127025,  127025,    1.968220,   10.000000, 9224.071289,  765.957458, 7682.582031,   10.811173, 1534.088989,  746.631165,    5.877059,    3.098225,    257688,               0,000,001
004,         2,       2,    0.001468,   10.000000,10000.140625,    0.022190,10000.064453,    0.000537,    0.075528,    0.021383,    0.003225,    0.000067,         7,               0,000,001
005,         2,       2,    0.001338,   10.000000,10000.083008,    0.026910,10000.026367,    0.000352,    0.054752,    0.025032,    0.001892,    0.000102,         4,               0,000,001
006,         1,       1,    0.000035,   10.000000,10000.057617,    0.009512,10000.048828,    0.000210,    0.008562,    0.009168,    0.000128,    0.000032,         1,               0,000,001
007,         2,       2,    0.001258,   10.000000,10000.116211,    0.020095,10000.071289,    0.000538,    0.042547,    0.019308,    0.002820,    0.000050,         3,               0,000,001
