tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     57527,   57527,    0.966985,   10.000000, 9634.670898,  362.973938, 8889.458008,    5.039545,  741.958923,  354.614166,    2.333578,    1.318263,    118772,               0,000,000
001,     57526,   57526,    0.957847,   10.000000, 9627.219727,  368.446136, 8877.021484,    5.045998,  746.859802,  359.917938,    2.410507,    1.304857,    118736,               0,000,000
002,     57526,   57526,    0.954636,   10.000000, 9633.055664,  362.388031, 8888.584961,    5.588162,  741.208618,  353.467621,    2.432272,    1.328532,    119497,               0,000,000
003,     57526,   57526,    0.955977,   10.000000, 9652.620117,  342.917297, 8925.772461,    5.864174,  723.448608,  333.057739,    2.974990,    1.330914,    123216,               0,000,000
004,     57521,   57521,    1.235455,   10.000000, 9539.447266,  457.021484, 8601.182617,    5.191427,  933.516785,  447.777008,    3.390102,    1.340962,    116948,               0,000,000
005,     57521,   57521,    1.233737,   10.000000, 9541.954102,  452.749969, 8619.156250,    4.915661,  918.969299,  444.073425,    3.004670,    1.348407,    116396,               0,000,000
006,     57521,   57521,    1.233560,   10.000000, 9539.354492,  457.346985, 8609.116211,    5.163876,  926.405457,  448.238281,    2.804150,    1.342952,    116313,               0,000,000
007,     57520,   57520,    1.234762,   10.000000, 9541.904297,  452.439667, 8618.917969,    5.752143,  919.365417,  442.790314,    2.850142,    1.346267,    116925,               0,000,000
000,     57717,   57717,    0.954190,   10.000000, 9634.128906,  363.458344, 8914.072266,    5.496141,  716.820801,  354.682190,    2.307193,    1.315705,    115606,               0,000,001
001,     57717,   57717,    0.953958,   10.000000, 9626.470703,  369.157074, 8895.583984,    5.034215,  727.554199,  360.645508,    2.422160,    1.298260,    115142,               0,000,001
002,     57717,   57717,    0.955905,   10.000000, 9632.332031,  363.044342, 8861.729492,    4.968924,  767.331116,  354.722321,    2.418632,    1.341097,    123778,               0,000,001
003,     57717,   57717,    0.958482,   10.000000, 9651.220703,  344.262573, 8903.531250,    6.255098,  744.295288,  333.991821,    3.002165,    1.341500,    126987,               0,000,001
004,     57701,   57701,    0.981593,   10.000000, 9540.726562,  456.702667, 8608.366211,    5.162070,  928.943665,  447.859039,    2.955115,    1.353797,    116822,               0,000,001
