tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     48547,   48547,    0.962346,   10.000000, 9540.568359,  457.049591, 8830.610352,   64.154823,  706.270081,  388.693024,    2.603287,    1.399516,     86437,               0,000,000
001,     52357,   52357,    0.990908,   10.000000, 9517.272461,  480.180206, 8787.870117,   64.867073,  725.569519,  411.162506,    2.621961,    1.413982,     90604,               0,000,000
002,     56579,   56579,    1.065479,   10.000000, 9470.590820,  526.327087, 8657.352539,   73.616653,  809.083923,  448.164856,    2.760684,    1.558303,    100144,               0,000,000
003,     57247,   57247,    1.038091,   10.000000, 9488.635742,  508.929535, 8694.375977,   68.274063,  790.315857,  436.257690,    2.629222,    1.523533,    101965,               0,000,000
004,     52498,   52498,    0.977794,   10.000000, 9522.365234,  475.218719, 8776.270508,   64.057480,  742.323608,  406.883881,    2.532179,    1.432678,     94129,               0,000,000
005,     49424,   49424,    0.928551,   10.000000, 9549.950195,  447.695038, 8859.234375,   60.640942,  687.214905,  383.130798,    2.680618,    1.344298,     86993,               0,000,000
006,     38723,   38723,    0.706182,   10.000000, 9710.374023,  287.930756, 9204.360352,   42.278908,  503.419617,  242.353928,    1.999358,    1.038887,     78865,               0,000,000
007,     55171,   55171,    1.019228,   10.000000, 9501.208008,  496.214294, 8739.518555,   67.039986,  757.885254,  424.885040,    2.716758,    1.489815,     96703,               0,000,000
000,     54967,   54967,    1.095298,   10.000000, 9490.725586,  506.593719, 8697.706055,   69.178398,  788.881775,  432.715576,    2.932668,    1.570870,     98459,               0,000,001
001,     55338,   55338,    1.030124,   10.000000, 9506.664062,  490.747406, 8750.960938,   65.438271,  751.764465,  420.951813,    2.694865,    1.473135,     97296,               0,000,001
002,     53701,   53701,    1.019915,   10.000000, 9510.800781,  486.389069, 8769.812500,   66.851784,  737.144836,  415.240204,    2.603244,    1.466912,     93627,               0,000,001
