tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,    239674,  239674,    4.532122,   10.000000, 8010.540527, 1978.392334,   16.615383,   28.965599, 7976.861816, 1930.774658,   11.816997,    6.924226,    999460,               0,000,000
000,    238410,  238410,    4.509458,   10.000000, 8020.804199, 1968.147583,   16.561628,   29.921970, 7987.064453, 1919.281860,   11.750630,    6.922570,   1002335,               0,000,001
000,    238826,  238826,    4.525352,   10.000000, 8016.452148, 1972.460327,   16.680571,   28.929197, 7982.622070, 1925.139038,   11.785451,    6.910498,   1000674,               0,000,002
000,    245396,  245396,    4.631582,   10.000000, 7957.708984, 2031.012085,   16.491751,   27.674589, 7923.791504, 1985.421265,   12.294726,    7.784870,    981784,               0,001,000
000,    247958,  247958,    4.688262,   10.000000, 7926.078125, 2062.342041,   16.601065,   28.193920, 7891.863770, 2015.842773,   12.421581,    7.887338,    971821,               0,001,001
000,    248750,  248750,    4.694303,   10.000000, 7920.069824, 2068.371094,   16.674118,   28.256104, 7885.611328, 2021.680176,   12.458047,    7.896612,    971299,               0,001,002
000,    239143,  239143,    4.515302,   10.000000, 8025.341309, 1963.620850,   16.862339,   30.006929, 7991.349121, 1914.828369,   11.940476,    6.760729,   1000459,               0,002,000
000,    238451,  238451,    4.504721,   10.000000, 8029.000488, 1959.951172,   16.795086,   31.301434, 7994.787598, 1908.968994,   11.913808,    6.734426,   1000878,               0,002,001
000,    236643,  236643,    4.361245,   10.000000, 8053.649902, 1935.732422,   16.677076,   29.110424, 8020.109863, 1888.273071,   11.667439,    6.667009,   1007060,               0,002,002
000,    238761,  238761,    4.521335,   10.000000, 8039.869629, 1948.825195,   16.141827,   27.897133, 8006.494629, 1902.308105,   11.964158,    6.761202,   1004785,               0,003,000
000,    236476,  236476,    4.354541,   10.000000, 8061.096191, 1928.021729,   16.020391,   27.640017, 8028.072754, 1882.062134,   11.718848,    6.694256,   1008240,               0,003,001
000,    237255,  237255,    4.379417,   10.000000, 8049.971191, 1939.085693,   16.060741,   27.723406, 8016.845703, 1893.147461,   11.744066,    6.714742,   1007410,               0,003,002
