tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,   2617024,   40891,   16.146811,   10.000000, 9524.578125,  457.648804, 8922.677734,   71.225815,  597.472412,  381.693481,    3.060127,    1.564809,     60762,       100663296,000,000
001,   2617024,   40891,   16.165159,   10.000000, 9515.958008,  464.214233, 8900.319336,   72.011406,  610.921875,  387.399200,    2.749038,    1.554594,     62101,       100663296,000,000
002,   2616960,   40890,   16.054197,   10.000000, 9522.426758,  457.642975, 8937.485352,   72.117867,  580.457153,  380.646820,    2.728739,    1.549872,     59474,       100663296,000,000
003,   2617024,   40891,   16.175856,   10.000000, 9516.815430,  463.896210, 8916.621094,   71.668266,  595.643372,  387.369720,    2.702718,    1.556119,     60488,       100663296,000,000
004,   2617024,   40891,   16.196007,   10.000000, 9512.067383,  468.434601, 8908.340820,   72.862556,  599.207214,  390.688171,    2.732573,    1.566983,     60212,       100663296,000,000
005,   2617024,   40891,   16.045849,   10.000000, 9517.058594,  463.757385, 8908.982422,   70.402817,  603.573853,  388.537415,    2.780471,    1.561082,     60749,       100663296,000,000
006,   2616960,   40890,   14.970324,   10.000000, 9500.122070,  483.347473, 8840.842773,   72.169235,  653.286926,  403.863800,    6.362646,    1.386176,     63912,       100663296,000,000
007,   2617024,   40891,   16.138123,   10.000000, 9514.048828,  466.752533, 8910.455078,   72.439209,  599.115112,  389.570007,    2.770634,    1.554171,     60668,       100663296,000,000
000,   2624960,   41015,   16.278893,   10.000000, 9517.199219,  464.873932, 8897.264648,   70.901993,  615.534424,  389.419281,    3.069985,    1.574023,     61618,       100663296,000,001
001,   2624960,   41015,   16.262920,   10.000000, 9514.381836,  465.688751, 8906.941406,   72.238136,  602.816528,  388.493774,    2.814832,    1.564457,     61540,       100663296,000,001
002,   2624896,   41014,   16.098751,   10.000000, 9528.056641,  451.874023, 8962.112305,   72.210289,  561.346680,  374.707153,    2.789222,    1.562740,     58620,       100663296,000,001
003,   2624896,   41014,   16.264874,   10.000000, 9519.302734,  461.049072, 8917.460938,   71.001457,  597.172424,  384.970703,    2.770377,    1.565510,     61171,       100663296,000,001
004,   2624832,   41013,   16.222311,   10.000000, 9511.411133,  468.634399, 8904.435547,   71.836372,  602.373108,  391.812775,    2.817915,    1.567637,     60488,       100663296,000,001
005,   2624896,   41014,   16.097214,   10.000000, 9512.848633,  467.595612, 8912.105469,   72.252579,  596.280823,  390.800507,    2.832636,    1.575999,     60070,       100663296,000,001
006,   2624896,   41014,   15.115130,   10.000000, 9499.533203,  483.771362, 8834.971680,   72.260933,  658.507507,  404.092163,    6.442545,    1.394286,     64814,       100663296,000,001
007,   2624960,   41015,   16.233173,   10.000000, 9516.872070,  463.771240, 8909.548828,   72.674507,  602.792664,  386.159912,    2.843262,    1.556492,     61832,       100663296,000,001
000,   2615488,   40867,   16.212175,   10.000000, 9519.336914,  462.750183, 8921.463867,   69.772598,  593.495728,  388.388092,    3.055606,    1.564843,     60171,       100663296,000,002
001,   2615424,   40866,   16.243900,   10.000000, 9517.353516,  462.563690, 8916.835938,   71.996292,  595.944641,  385.719391,    2.822769,    1.560195,     61036,       100663296,000,002
002,   2615424,   40866,   16.137039,   10.000000, 9509.455078,  470.449066, 8897.636719,   72.037148,  607.275391,  393.532227,    2.770333,    1.549483,     60749,       100663296,000,002
003,   2615488,   40867,   16.208973,   10.000000, 9517.458984,  463.073029, 8914.871094,   71.944321,  598.012024,  386.203522,    2.747155,    1.565348,     60949,       100663296,000,002
004,   2615424,   40866,   16.060526,   10.000000, 9532.439453,  447.897980, 8961.804688,   71.983856,  565.728210,  370.471619,    2.745722,    1.548403,     59314,       100663296,000,002
005,   2615488,   40867,   16.092352,   10.000000, 9514.151367,  466.440094, 8902.253906,   72.384079,  607.433838,  389.156952,    2.812727,    1.548369,     60986,       100663296,000,002
006,   2615488,   40867,   15.005263,   10.000000, 9502.404297,  481.044067, 8841.038086,   72.036926,  655.326294,  401.651703,    6.349696,    1.384795,     64425,       100663296,000,002
007,   2615488,   40867,   16.206263,   10.000000, 9517.705078,  462.935944, 8889.686523,   72.716866,  623.528564,  385.316742,    2.840141,    1.550200,     63058,       100663296,000,002
000,   2616896,   40889,   16.222013,   10.000000, 9518.656250,  463.454620, 8912.125000,   70.771217,  602.129761,  388.210602,    2.901652,    1.574528,     61053,       100663296,001,000
001,   2616896,   40889,   15.982741,   10.000000, 9535.479492,  445.336945, 8976.929688,   71.583069,  553.915466,  369.024628,    2.586198,    1.563744,     58331,       100663296,001,000
002,   2616960,   40890,   16.130386,   10.000000, 9513.565430,  466.696472, 8909.866211,   70.053429,  599.370667,  392.245850,    2.798310,    1.571293,     60083,       100663296,001,000
003,   2616896,   40889,   16.126965,   10.000000, 9518.299805,  461.747955, 8912.227539,   70.974747,  601.679321,  386.163818,    2.779112,    1.711651,     61187,       100663296,001,000
004,   2616896,   40889,   16.045973,   10.000000, 9509.746094,  470.667908, 8896.578125,   70.315529,  608.616760,  395.422089,    3.418693,    1.570856,     60121,       100663296,001,000
005,   2616896,   40889,   14.970785,   10.000000, 9499.091797,  482.350494, 8851.959961,   70.329117,  641.249512,  405.232056,    6.296003,    1.399537,     63313,       100663296,001,000
006,   2616960,   40890,   16.128584,   10.000000, 9511.963867,  470.480255, 8900.474609,   72.953293,  606.954163,  392.708313,    2.583838,    1.563942,     60500,       100663296,001,000
007,   2616960,   40890,   16.141756,   10.000000, 9510.177734,  470.458466, 8904.539062,   72.673592,  601.167480,  392.891846,    2.783374,    1.545863,     62142,       100663296,001,000
000,   2624192,   41003,   16.249796,   10.000000, 9511.421875,  470.724365, 8906.917969,   71.720360,  600.031311,  394.487122,    2.923275,    1.575673,     60120,       100663296,001,001
001,   2624192,   41003,   16.147409,   10.000000, 9509.566406,  470.993713, 8900.906250,   72.614090,  604.244934,  393.817688,    2.663213,    1.579424,     60539,       100663296,001,001
002,   2624192,   41003,   16.282761,   10.000000, 9509.996094,  469.916748, 8912.153320,   70.361641,  593.417480,  394.969330,    2.889908,    1.571036,     59217,       100663296,001,001
003,   2624192,   41003,   16.230659,   10.000000, 9514.075195,  465.729126, 8913.901367,   70.230034,  595.684937,  390.725708,    2.928037,    1.698497,     59921,       100663296,001,001
004,   2624128,   41002,   16.095100,   10.000000, 9507.868164,  472.356262, 8903.505859,   70.135277,  599.602661,  396.993164,    3.395088,    1.553968,     61512,       100663296,001,001
005,   2624192,   41003,   15.082298,   10.000000, 9496.613281,  484.601135, 8840.054688,   71.576035,  650.532471,  406.215881,    6.360067,    1.408924,     64213,       100663296,001,001
006,   2624192,   41003,   16.213329,   10.000000, 9511.142578,  471.086243, 8909.729492,   72.976143,  596.836426,  393.210236,    2.630248,    1.569999,     59949,       100663296,001,001
