tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,    201004,  201004,    3.892439,   10.000000, 8053.848633, 1936.316528,   14.089124,   27.308620, 8023.858398, 1891.629395,   12.542328,    5.424419,    850717,               0,000,000
000,    201474,  201474,    3.727015,   10.000000, 8025.451660, 1965.331421,   14.241207,   28.698521, 7995.000488, 1918.818970,   12.955279,    5.505826,    838341,               0,000,001
000,    202161,  202161,    3.641178,   10.000000, 8019.173340, 1971.856812,   14.240996,   28.765707, 7988.808594, 1925.744263,   12.838841,    5.534633,    837546,               0,000,002
000,    200614,  200614,    3.994281,   10.000000, 7993.203125, 1996.068237,   14.989511,   31.525976, 7960.557129, 1944.134033,   14.433378,    5.979523,    825394,               0,001,000
000,    199925,  199925,    3.751654,   10.000000, 7999.355957, 1991.490356,   15.122762,   31.594337, 7966.888184, 1939.695557,   14.202600,    5.966785,    824649,               0,001,001
000,    200724,  200724,    3.632206,   10.000000, 8002.041016, 1989.154175,   15.000992,   30.886944, 7969.981445, 1939.113403,   13.661776,    5.805901,    827811,               0,001,002
000,    201530,  201530,    3.985368,   10.000000, 8019.330566, 1970.693726,   13.683931,   28.809362, 7988.128418, 1922.246216,   14.027384,    5.554167,    831584,               0,002,000
000,    200452,  200452,    3.744026,   10.000000, 8024.293457, 1966.479980,   13.578701,   27.753273, 7994.083984, 1919.616455,   13.147424,    5.527602,    833016,               0,002,001
000,    201110,  201110,    3.662063,   10.000000, 8034.609375, 1956.498535,   13.608823,   27.075438, 8004.741211, 1911.114258,   12.737193,    5.546837,    840502,               0,002,002
000,    201559,  201559,    3.957301,   10.000000, 8022.631348, 1967.442749,   13.296347,   27.638319, 7992.229492, 1920.261108,   13.437425,    5.676741,    836617,               0,003,000
000,    200524,  200524,    3.597223,   10.000000, 8038.970215, 1952.296509,   13.051463,   27.201454, 8009.507812, 1906.098999,   12.763863,    5.538757,    839036,               0,003,001
000,    200525,  200525,    3.712080,   10.000000, 8033.996582, 1956.870239,   13.272475,   26.969305, 8004.273438, 1911.589111,   12.801114,    5.648626,    840371,               0,003,002
