tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     49269,   49269,    0.823365,   10.000000, 9597.773438,  400.205597, 8980.343750,   64.162567,  614.724731,  333.161072,    2.085110,    1.127892,     89222,               0,000,000
001,     51810,   51810,    0.864528,   10.000000, 9572.022461,  424.855560, 8919.922852,   65.892502,  649.115295,  355.913116,    2.168995,    1.181222,     93726,               0,000,000
002,     50782,   50782,    0.850041,   10.000000, 9588.496094,  408.391357, 8962.511719,   66.002014,  623.210388,  339.450226,    2.068052,    1.169453,     91402,               0,000,000
003,     59406,   59406,    0.984570,   10.000000, 9573.304688,  423.325012, 8920.811523,   77.224632,  649.148926,  342.043030,    5.621605,    1.377425,    108310,               0,000,000
004,     51985,   51985,    1.155053,   10.000000, 9482.268555,  511.715210, 8566.563477,   63.432693,  911.748779,  443.084198,    3.599467,    1.218071,    104444,               0,000,000
005,     53840,   53840,    1.193372,   10.000000, 9474.997070,  519.770569, 8551.141602,   64.666580,  920.273376,  451.350464,    2.910163,    1.259615,    107765,               0,000,000
006,     54218,   54218,    1.232049,   10.000000, 9476.355469,  520.585815, 8548.145508,   63.980446,  924.602356,  452.870239,    2.763878,    1.275100,    108693,               0,000,000
007,     51210,   51210,    1.120203,   10.000000, 9491.454102,  504.078979, 8597.915039,   62.030548,  890.083191,  438.506439,    2.616913,    1.189710,    102466,               0,000,000
000,     49195,   49195,    0.828930,   10.000000, 9598.583008,  399.384949, 8986.111328,   63.589554,  609.787048,  332.924835,    2.094598,    1.124632,     88520,               0,000,001
001,     52121,   52121,    0.880023,   10.000000, 9569.910156,  427.025543, 8915.308594,   65.774033,  651.599854,  358.177216,    2.177065,    1.181558,     94056,               0,000,001
002,     51081,   51081,    0.862637,   10.000000, 9585.977539,  410.838531, 8957.992188,   66.165466,  625.177795,  341.697998,    2.094588,    1.179050,     91550,               0,000,001
003,     59380,   59380,    0.996485,   10.000000, 9573.040039,  423.410919, 8924.782227,   77.056290,  644.871765,  342.253998,    5.646043,    1.389727,    107260,               0,000,001
004,     51946,   51946,    0.904143,   10.000000, 9484.087891,  510.876160, 8568.780273,   64.049873,  911.712769,  441.991241,    3.259888,    1.221442,    104470,               0,000,001
005,     53818,   53818,    0.936790,   10.000000, 9478.267578,  518.338318, 8556.814453,   64.903625,  918.260376,  450.130615,    2.503950,    1.265010,    107615,               0,000,001
006,     54545,   54545,    0.952795,   10.000000, 9475.101562,  522.549561, 8546.329102,   64.752533,  925.463013,  454.402130,    2.402125,    1.296200,    108959,               0,000,001
007,     51440,   51440,    0.896650,   10.000000, 9491.381836,  505.366241, 8596.446289,   62.741508,  891.872620,  439.455933,    2.276022,    1.200118,    102880,               0,000,001
000,     49268,   49268,    0.783587,   10.000000, 9597.616211,  400.505188, 8982.958008,   64.239502,  612.028687,  333.458221,    2.020928,    1.127780,     88863,               0,000,002
001,     52083,   52083,    0.822805,   10.000000, 9570.761719,  426.356934, 8918.599609,   65.752647,  649.216614,  357.607056,    2.088750,    1.181523,     93703,               0,000,002
002,     51071,   51071,    0.805340,   10.000000, 9586.436523,  410.460205, 8959.732422,   66.354919,  623.976562,  341.204315,    2.022947,    1.169495,     91436,               0,000,002
003,     59355,   59355,    0.928010,   10.000000, 9573.093750,  423.683838, 8921.681641,   77.392853,  648.116821,  342.253937,    5.578303,    1.380048,    107728,               0,000,002
004,     51788,   51788,    0.848535,   10.000000, 9486.337891,  508.821503, 8575.818359,   63.654114,  906.677307,  440.403931,    3.163092,    1.239822,    103988,               0,000,002
005,     54244,   54244,    0.890852,   10.000000, 9474.166992,  522.603943, 8546.126953,   65.260780,  924.875000,  454.058624,    2.471623,    1.314513,    108358,               0,000,002
006,     54438,   54438,    0.898797,   10.000000, 9476.439453,  521.423035, 8550.201172,   64.585594,  923.031372,  453.510559,    2.330287,    1.304918,    108703,               0,000,002
007,     51286,   51286,    0.837608,   10.000000, 9493.213867,  503.746735, 8598.761719,   62.510799,  891.422791,  438.123749,    2.199737,    1.216780,    102818,               0,000,002
000,     51691,   51691,    0.874133,   10.000000, 9593.535156,  404.316650, 8936.145508,   53.789585,  654.443665,  347.419434,    2.208477,    1.202042,     95872,               0,001,000
001,     52969,   52969,    0.887257,   10.000000, 9585.226562,  411.674652, 8911.041016,   54.213306,  671.036255,  354.363525,    2.286090,    1.206398,     98282,               0,001,000
002,     54823,   54823,    0.908107,   10.000000, 9614.918945,  381.712860, 8987.787109,   56.867802,  624.015442,  321.349823,    2.483285,    1.387122,    102677,               0,001,000
003,     52444,   52444,    0.883942,   10.000000, 9584.768555,  412.241547, 8911.672852,   54.071468,  670.119385,  354.917450,    4.821660,    1.256237,     96707,               0,001,000
004,     53490,   53490,    1.172717,   10.000000, 9473.504883,  520.752319, 8527.951172,   55.231918,  941.306152,  459.823242,    3.594047,    1.268517,    107418,               0,001,000
005,     51890,   51890,    1.146062,   10.000000, 9504.666016,  491.261871, 8618.203125,   53.764980,  882.926514,  433.861359,    2.696383,    1.214808,    103657,               0,001,000
006,     53797,   53797,    1.192383,   10.000000, 9484.637695,  512.268250, 8563.531250,   55.305485,  917.453674,  453.177063,    2.704398,    1.282793,    107335,               0,001,000
007,     52795,   52795,    1.175990,   10.000000, 9495.510742,  500.446503, 8590.200195,   54.357037,  901.707825,  442.389374,    2.596910,    1.234712,    105510,               0,001,000
000,     51462,   51462,    0.872082,   10.000000, 9596.806641,  401.144440, 8937.698242,   51.171574,  656.193237,  346.889038,    2.235085,    1.193360,     95915,               0,001,001
001,     56172,   56172,    0.948758,   10.000000, 9564.413086,  432.387634, 8852.709961,   55.186493,  708.380371,  373.901947,    2.416365,    1.277768,    104346,               0,001,001
002,     50732,   50732,    0.850703,   10.000000, 9645.828125,  350.703369, 9066.373047,   51.263287,  576.589844,  296.284943,    2.356747,    1.287752,     95054,               0,001,001
003,     54534,   54534,    0.923648,   10.000000, 9573.000977,  423.624420, 8877.301758,   54.282349,  692.603088,  365.971710,    5.021980,    1.308088,    100810,               0,001,001
004,     51147,   51147,    0.883285,   10.000000, 9496.512695,  498.669434, 8593.227539,   54.466080,  899.553589,  439.145935,    3.128978,    1.215978,    102782,               0,001,001
005,     50977,   50977,    0.877242,   10.000000, 9518.180664,  478.732056, 8655.077148,   54.844143,  859.987061,  420.724823,    2.301675,    1.191933,    101741,               0,001,001
006,     57132,   57132,    0.985937,   10.000000, 9458.478516,  539.227783, 8489.377930,   59.040199,  965.617310,  476.630249,    2.466728,    1.362688,    114148,               0,001,001
007,     53632,   53632,    0.937270,   10.000000, 9492.694336,  504.261719, 8580.667969,   55.898838,  908.788696,  445.006226,    2.258012,    1.256498,    107282,               0,001,001
000,     51284,   51284,    0.855620,   10.000000, 9598.310547,  399.679779, 8942.572266,   50.999767,  652.816345,  345.627319,    2.194218,    1.187497,     95350,               0,001,002
001,     55984,   55984,    0.925910,   10.000000, 9565.593750,  431.174133, 8857.842773,   55.258575,  704.470642,  372.653625,    2.388532,    1.272095,    103891,               0,001,002
002,     50896,   50896,    0.838992,   10.000000, 9643.621094,  352.992218, 9059.966797,   51.536373,  580.781860,  298.240601,    2.335960,    1.302417,     95466,               0,001,002
003,     54692,   54692,    0.908477,   10.000000, 9571.883789,  424.814972, 8874.139648,   54.347614,  694.670288,  367.120422,    5.123348,    1.307692,    101145,               0,001,002
004,     51532,   51532,    0.877908,   10.000000, 9491.986328,  503.015045, 8580.554688,   55.143585,  907.410339,  442.778351,    3.155862,    1.244345,    103665,               0,001,002
005,     50829,   50829,    0.864662,   10.000000, 9519.562500,  477.321930, 8659.679688,   54.597786,  856.809204,  419.571625,    2.271528,    1.242777,    101447,               0,001,002
006,     57007,   57007,    0.961037,   10.000000, 9459.807617,  537.949097, 8492.899414,   58.693439,  963.425598,  475.720947,    2.449363,    1.385923,    113953,               0,001,002
007,     53482,   53482,    0.911560,   10.000000, 9493.838867,  502.979523, 8584.457031,   56.001759,  906.128418,  443.634521,    2.243392,    1.273428,    106997,               0,001,002
