tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000015000, 0.000017083, 0.003355833, 0.008596667, 0.037825000, 0.266216666, 0.008383334, 0.009610000, 0.019915834, 0.000085000, 0.000088333, 0.009477917, 0.000075000, 0.000115000, 0.000250417, 0.008351667, 0.037538748, 0.265850425, 0.008153333, 0.009338333, 0.019530000, 0.000041667, 0.000048750, 0.009486667, 0.000025000, 0.000027500, 0.003806667, 1.000000000, 4.000000000,27.000000000,               0,000
000,10.0, 0.000015000, 0.000017083, 0.004355000, 0.008808333, 0.038194999, 1.787768364, 0.008500000, 0.009658333, 0.023979999, 0.000085000, 0.000098333, 0.000238333, 0.000085000, 0.000118333, 0.009738750, 0.008523333, 0.037895832, 1.787238359, 0.008203333, 0.009376667, 0.023496667, 0.000043333, 0.000048750, 0.004029583, 0.000025000, 0.000027500, 0.000044167, 1.000000000, 4.000000000,33.000000000,               0,001
000,10.0, 0.000015000, 0.000017083, 0.001545000, 0.009183333, 0.038065001, 0.280806661, 0.008525000, 0.009598333, 0.020470001, 0.000083333, 0.000090417, 0.004223333, 0.000076667, 0.000113750, 0.000243333, 0.008903333, 0.037778333, 0.280518323, 0.008303333, 0.009326250, 0.020065418, 0.000041667, 0.000045000, 0.003448333, 0.000025000, 0.000027500, 0.000046250, 1.000000000, 4.000000000,29.000000000,               0,002
000,10.0, 0.000015000, 0.000017083, 0.001542917, 0.008690000, 0.037036669, 0.248006672, 0.008568333, 0.009374583, 0.020340417, 0.000085000, 0.000090417, 0.003621667, 0.000083333, 0.000130833, 0.006913750, 0.008410000, 0.036756668, 0.247669995, 0.008330417, 0.009081666, 0.020048751, 0.000043333, 0.000048333, 0.004022917, 0.000025000, 0.000028333, 0.003743333, 1.000000000, 4.000000000,26.000000000,               0,003
000,10.0, 0.000015000, 0.000017083, 0.001524167, 0.008636666, 0.037822917, 0.233740002, 0.006381667, 0.009545000, 0.021587500, 0.000085000, 0.000088333, 0.003980000, 0.000075000, 0.000115000, 0.009718333, 0.008361666, 0.037536666, 0.233469993, 0.006103334, 0.009273750, 0.020640001, 0.000041667, 0.000048750, 0.003972500, 0.000025000, 0.000027500, 0.000044583, 1.000000000, 4.000000000,24.000000000,               0,000
000,10.0, 0.000015000, 0.000017083, 0.001517917, 0.009124166, 0.038146667, 0.209411666, 0.008685000, 0.009644167, 0.020455834, 0.000085000, 0.000098333, 0.010335000, 0.000085000, 0.000118333, 0.000313750, 0.008854583, 0.037844166, 0.209138334, 0.008383334, 0.009358333, 0.020067500, 0.000043333, 0.000048750, 0.002090417, 0.000025000, 0.000027500, 0.009442500, 1.000000000, 4.000000000,22.000000000,               0,001
000,10.0, 0.000015000, 0.000017083, 0.001503333, 0.008756666, 0.038215000, 0.241688326, 0.008595000, 0.009678333, 0.020520834, 0.000083333, 0.000090417, 0.009360000, 0.000076667, 0.000113750, 0.009557917, 0.008508333, 0.037921667, 0.241396666, 0.008373333, 0.009406250, 0.020137917, 0.000041667, 0.000045000, 0.009713750, 0.000025000, 0.000027500, 0.000037917, 1.000000000, 4.000000000,25.000000000,               0,002
000,10.0, 0.000015000, 0.000017083, 0.003715833, 0.008735000, 0.037051667, 0.217205837, 0.006856667, 0.009370834, 0.019961666, 0.000085000, 0.000092500, 0.009722083, 0.000081667, 0.000130000, 0.009605000, 0.008476667, 0.036771666, 0.216900840, 0.006550000, 0.009083333, 0.019564584, 0.000043333, 0.000050000, 0.000196667, 0.000025000, 0.000027500, 0.000046250, 1.000000000, 4.000000000,23.000000000,               0,003
000,10.0, 0.000015000, 0.000017083, 0.000084167, 0.008786666, 0.038011666, 0.234455004, 0.008440000, 0.009597917, 0.020690000, 0.000085000, 0.000090417, 0.009556250, 0.000075000, 0.000116667, 0.009993333, 0.008531666, 0.037726250, 0.234160006, 0.008215000, 0.009330000, 0.020232916, 0.000041667, 0.000050000, 0.004471667, 0.000025000, 0.000027500, 0.000044167, 1.000000000, 4.000000000,25.000000000,               0,000
000,10.0, 0.000015000, 0.000016667, 0.000069583, 0.008985000, 0.037713334, 0.259928346, 0.008553334, 0.009546666, 0.021370417, 0.000086667, 0.000098333, 0.009534583, 0.000085000, 0.000116667, 0.003760000, 0.008723333, 0.037421666, 0.259579986, 0.008315000, 0.009271666, 0.021048751, 0.000043333, 0.000048333, 0.000178750, 0.000025000, 0.000027500, 0.000043333, 1.000000000, 4.000000000,26.000000000,               0,001
000,10.0, 0.000015000, 0.000017083, 0.000073333, 0.008800000, 0.038183331, 0.235317916, 0.008518334, 0.009670000, 0.020237917, 0.000083333, 0.000090417, 0.009559167, 0.000076667, 0.000113750, 0.009525416, 0.008550000, 0.037896667, 0.235044166, 0.008238333, 0.009400833, 0.019894583, 0.000041667, 0.000044583, 0.009644167, 0.000025000, 0.000027500, 0.000040000, 1.000000000, 4.000000000,24.000000000,               0,002
000,10.0, 0.000015000, 0.000017083, 0.000062917, 0.008680000, 0.036966667, 0.214382917, 0.008475000, 0.009368333, 0.020384166, 0.000085000, 0.000092500, 0.003630000, 0.000081667, 0.000128333, 0.004471667, 0.008426666, 0.036694583, 0.214101255, 0.008170000, 0.009082084, 0.020029999, 0.000043333, 0.000048750, 0.000155000, 0.000025000, 0.000028333, 0.000044583, 1.000000000, 4.000000000,23.000000000,               0,003
