tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000205000, 0.000250000, 0.026336666, 0.057085000, 0.250038326, 1.358039975, 0.006100000, 0.006405000, 0.130216673, 0.020874999, 0.223934993, 1.300431609, 0.000055000, 0.000146667, 0.006221666, 0.006241667, 0.024529999, 0.130594999, 0.005890000, 0.006135000, 0.129816666, 0.000035000, 0.000040000, 0.002576667, 0.000021667, 0.000023333, 0.000066667, 1.000000000, 4.000000000,21.000000000,       100663296,001
001,10.0, 0.000220000, 0.000245000, 0.006326667, 0.175128341, 0.250193328, 1.304766655, 0.005203333, 0.005838333, 0.016648334, 0.157979995, 0.221630007, 0.623846650, 0.000056667, 0.000101667, 0.005566667, 0.005771667, 0.022661667, 1.087783337, 0.004996667, 0.005588333, 0.013558334, 0.000038333, 0.000045000, 0.002900000, 0.000021667, 0.000023333, 0.000060000, 1.000000000, 4.000000000,37.000000000,       100663296,001
002,10.0, 0.000225000, 0.000253333, 0.005371667, 0.165096670, 0.250120819, 1.488236666, 0.006070000, 0.006340000, 0.015765000, 0.152593330, 0.224197507, 1.394593358, 0.000055000, 0.000131667, 0.006210000, 0.006163334, 0.024440000, 0.363889992, 0.005861667, 0.006081667, 0.015490000, 0.000035000, 0.000040000, 0.006463333, 0.000021667, 0.000025000, 0.000063333, 1.000000000, 4.000000000,22.000000000,       100663296,001
003,10.0, 0.000225000, 0.000250000, 0.009606667, 0.112746663, 0.250115007, 1.364459991, 0.005125000, 0.006400000, 0.016580001, 0.067209996, 0.225255832, 1.340126634, 0.000055000, 0.000063333, 0.004985000, 0.006311667, 0.024563333, 0.118576668, 0.004928333, 0.006186667, 0.016319999, 0.000036667, 0.000040000, 0.003590000, 0.000021667, 0.000023333, 0.000080000, 1.000000000, 4.000000000,19.000000000,       100663296,001
004,10.0, 0.000215000, 0.000248333, 0.001775000, 0.177035004, 0.249795005, 1.314396620, 0.006130000, 0.006415000, 0.016206667, 0.154103339, 0.224181667, 1.294516683, 0.000055000, 0.000141667, 0.009850000, 0.006315000, 0.024525000, 0.140126660, 0.005910000, 0.006141667, 0.015548334, 0.000035000, 0.000038333, 0.005585000, 0.000021667, 0.000023333, 0.000080000, 1.000000000, 4.000000000,23.000000000,       100663296,001
005,10.0, 0.000223333, 0.000253333, 0.009738334, 0.173325002, 0.250111669, 1.415855050, 0.004516667, 0.006360000, 0.016493334, 0.149496660, 0.224923328, 1.376823306, 0.000058333, 0.000068333, 0.006111667, 0.006225000, 0.024601666, 0.123578332, 0.004335000, 0.006146667, 0.016306667, 0.000035000, 0.000040000, 0.003036667, 0.000021667, 0.000023333, 0.002828333, 1.000000000, 4.000000000,20.000000000,       100663296,001
006,10.0, 0.000233333, 0.000250000, 0.006981667, 0.170928329, 0.250100821, 1.388173342, 0.006133333, 0.006381667, 0.015745001, 0.124229997, 0.224645838, 1.346741676, 0.000058333, 0.000130000, 0.009198333, 0.006261667, 0.024565000, 0.125386670, 0.005910000, 0.006120000, 0.015473333, 0.000035000, 0.000038333, 0.003116667, 0.000021667, 0.000023333, 0.009290000, 1.000000000, 4.000000000,20.000000000,       100663296,001
007,10.0, 0.000231667, 0.000248333, 0.005325000, 0.170921668, 0.249673337, 1.521185040, 0.006126666, 0.006390000, 0.015968334, 0.146491662, 0.224377498, 1.483450055, 0.000055000, 0.000125000, 0.005865000, 0.006221666, 0.024458334, 0.250766665, 0.005903333, 0.006135000, 0.015748333, 0.000035000, 0.000036667, 0.003308333, 0.000021667, 0.000023333, 0.000083333, 1.000000000, 4.000000000,24.000000000,       100663296,001
000,10.0, 0.000205000, 0.000250000, 0.009595000, 0.067934997, 0.253537506, 1.405449986, 0.005016667, 0.006420000, 0.033961665, 0.023259999, 0.225593328, 1.330388308, 0.000055000, 0.000130000, 0.000438333, 0.006261667, 0.024575001, 0.177366674, 0.004801667, 0.006170000, 0.033668332, 0.000035000, 0.000040000, 0.002916667, 0.000021667, 0.000023333, 0.003351667, 1.000000000, 4.000000000,29.000000000,       100663296,002
001,10.0, 0.000235000, 0.000253333, 0.007076667, 0.169754997, 0.253276676, 1.567366719, 0.006148333, 0.006440000, 0.016755000, 0.157103330, 0.227818340, 1.546863317, 0.000056667, 0.000146667, 0.009305000, 0.006235000, 0.024520000, 0.211843327, 0.005918333, 0.006161666, 0.015736667, 0.000035000, 0.000036667, 0.002531667, 0.000021667, 0.000023333, 0.000083333, 1.000000000, 4.000000000,22.000000000,       100663296,002
